create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.aggregation_action,parameters.chromInfo,parameters.dbkey,parameters.exclude_count,parameters.input_file,parameters.keep_zero_length,parameters.quality_score,parameters.score_comparison,parameters.step_size,parameters.trim_ends,parameters.window_size,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2013-12-11 16:48:00.383660,slurm_normal,1452743502.0,0.0,1.0,main_w2_handler0,1723028,6235022,False,,6218201,fastqsanger,5764466.roundup,slurm,,132112168.0,corral-repl,,"""min""","""/galaxy/data/chrom/?.len""","""?""","""0""",12974715,"""False""","""20.0""",""">=""","""1""","""53""","""1""",32.0,,12314715,1452743492.0,ok,1023996.0,fastq_quality_trimmer,1.0.0,,2016-01-14 03:52:15.474754,42638.0,10.0
2014-01-15 00:46:02.399837,slurm_normal,1452743689.0,0.0,1.0,main_w1_handler1,1765562,6363511,False,,134175897,fastqsanger,5764619.roundup,slurm,,132112168.0,corral-repl,,"""max""","""/galaxy/data/chrom/?.len""","""?""","""0""",13744163,"""True""","""20.0""",""">=""","""1""","""53""","""1""",32.0,,12837705,1452743610.0,ok,1023996.0,fastq_quality_trimmer,1.0.0,,2016-01-14 03:55:50.898597,43840.0,79.0
2014-01-15 00:49:14.282005,slurm_normal,1452745411.0,0.0,1.0,main_w1_handler1,1765562,6363582,False,,132944741,fastqsanger,5765670.roundup,slurm,,132112168.0,corral-repl,,"""max""","""/galaxy/data/chrom/?.len""","""?""","""0""",13744733,"""True""","""20.0""",""">=""","""1""","""53""","""1""",32.0,,12837705,1452745318.0,ok,1023996.0,fastq_quality_trimmer,1.0.0,,2016-01-14 04:23:53.082291,43840.0,93.0
