bamfiles,bamfiles1,bamfiles10,bamfiles10_filetype,bamfiles11,bamfiles11_filetype,bamfiles12,bamfiles12_filetype,bamfiles13,bamfiles13_filetype,bamfiles14,bamfiles14_filetype,bamfiles15,bamfiles15_filetype,bamfiles16,bamfiles16_filetype,bamfiles1_filetype,bamfiles2,bamfiles2_filetype,bamfiles3,bamfiles3_filetype,bamfiles4,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamfiles.values,parameters.chromInfo,parameters.dbkey,parameters.histogram,parameters.plotTitle,parameters.samplesLabel,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
9663690474,9663690474,,,,,,,,,,,,,,,bam,7761182771.0,bam,,,,,,,,,,,,,,,bam,,,2016-10-28 18:42:29.032855,slurm_multi,1477681004.0,0,6.0,main_w4_handler2,2827058,14202192,False,,8413843,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cfccf0a6102f0f30'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c039f969f28a1763'}]","""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""true""","""""","""""",32.0,,33968163,1477680835.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2016-10-28 18:56:46.187929,90658,169.0
3333545381,3333545381,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2016-11-07 11:07:25.373057,slurm_multi,1478517077.0,0,6.0,main_w4_handler2,2844174,14272566,False,,8481041,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b597ed519b95028577'}]","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""""","""""",32.0,,34118446,1478517060.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2016-11-07 11:11:19.501408,91518,17.0
2045806235,2045806235,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2016-11-10 05:53:38.208714,slurm_multi,1478757656.0,0,6.0,main_w3_handler2,2883328,14303277,False,,8511355,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50dca69c46702372e'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","""Fragment_Length""","""""",32.0,,34180827,1478757565.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2016-11-10 06:00:59.040348,86398,91.0
2600717756,2600717756,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2016-11-11 06:26:53.912204,slurm_multi,1478846918.0,0,6.0,main_w3_handler2,2883328,14313253,False,,8521503,slurm,,132112168.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50cc81053d5ecd30a'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","""""","""""",32.0,,34180827,1478846819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2016-11-11 06:48:42.207654,86398,99.0
633234090,633234090,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2016-11-16 14:22:45.547013,slurm_multi,1479307384.0,0,6.0,main_w4_handler2,2412434,14355302,False,,8561482,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f5238d46c3490fae'}]","""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""true""","""""","""""",32.0,,32581613,1479307342.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2016-11-16 14:43:27.500942,67943,42.0
2043228113,2043228113,,,,,,,,,,,,,,,bam,1399442503.0,bam,5689745125.0,bam,,,,,,,,,,,,,bam,,,2016-12-02 14:22:12.874743,slurm_multi,1480690052.0,0,6.0,main_w4_handler2,2911802,14473378,False,,8666818,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27465075}, {'src': 'hda', 'id': 27465139}, {'src': 'hda', 'id': 27465638}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","""""","""""",32.0,,34579549,1480689706.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2016-12-02 14:47:37.334055,67921,346.0
1727386,1727386,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2016-12-12 09:06:38.896348,slurm_multi,1481534073.0,0,6.0,main_w3_handler2,2926711,14546752,False,,8728932,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27589016}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""false""","""""","""""",32.0,,34799064,1481533755.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2016-12-12 09:14:36.031472,96731,318.0
2503040726,2503040726,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-01-20 16:41:57.123019,slurm_multi,1484933636.0,0,6.0,main_w4_handler2,2950831,14830365,False,,8990923,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27859771}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""false""","""1. Apre NT IgG""","""""",32.0,,35204014,1484933595.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-01-20 17:33:59.462489,71689,41.0
2040557028,2040557028,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,2017-01-20 16:45:23.683459,slurm_multi,1484935105.0,0,6.0,main_w3_handler2,2950831,14830403,False,Job output deleted by user before job completed.,8991133,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27859788}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""false""","""5 Apre NuSAP TNF2""","""""",32.0,,35204014,1484935072.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2017-01-20 17:58:27.232330,71689,33.0
5251571562,5251571562,9058765858.0,bam,5454092668.0,bam,5430705201.0,bam,5080233337.0,bam,4956127879.0,bam,6123415809.0,bam,6509894143.0,bam,bam,6498722113.0,bam,1701081848.0,bam,4602471869.0,bam,7281619851.0,bam,677927723.0,bam,5439855564.0,bam,6497631466.0,bam,5926651925.0,bam,bam,,,2016-12-16 15:28:43.957517,slurm_multi,1481903403.0,0,6.0,main_w4_handler2,2926332,14593570,False,,8772151,slurm,,132112168.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 27584901}, {'src': 'hda', 'id': 27584903}, {'src': 'hda', 'id': 27584905}, {'src': 'hda', 'id': 27584907}, {'src': 'hda', 'id': 27584909}, {'src': 'hda', 'id': 27584911}, {'src': 'hda', 'id': 27584913}, {'src': 'hda', 'id': 27584915}, {'src': 'hda', 'id': 27584917}, {'src': 'hda', 'id': 27584919}, {'src': 'hda', 'id': 27617889}, {'src': 'hda', 'id': 27617891}, {'src': 'hda', 'id': 27617893}, {'src': 'hda', 'id': 27617895}, {'src': 'hda', 'id': 27617897}, {'src': 'hda', 'id': 27617899}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""true""","""""","""""",32.0,,33689896,1481902403.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.3.6.0,2.3.6.0,,2016-12-16 15:50:05.877440,15202,1000.0
