chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.assume_sorted,parameters.chromInfo,parameters.comment,parameters.dbkey,parameters.duplicate_scoring_strategy,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.minimum_distance,parameters.optical_duplicate_pixel_distance,parameters.read_name_regex,parameters.remove_duplicates,parameters.skip_pairs_with_no_mate_cigar,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-08-14 18:02:00.649994,slurm_normal,1502737319.0,0,,1.0,main_w3_handler1,3219810,16578780,False,,425638987,bam,10650302.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""TOTAL_MAPPED_REFERENCE_LENGTH""",,"[{'src': 'hda', 'id': 30870714}]",,"""-1""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""false""","""true""","""LENIENT""",32.0,,39863307.0,1502737131.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicatesWithMateCigar/2.7.1.0,2.7.1.0,,2017-08-14 19:02:02.549490,110062.0,188.0
,,2017-08-14 18:02:02.751620,slurm_normal,1502737370.0,0,,1.0,main_w3_handler1,3219810,16578788,False,,262578226,bam,10650318.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""TOTAL_MAPPED_REFERENCE_LENGTH""",,"[{'src': 'hda', 'id': 30870726}]",,"""-1""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""false""","""true""","""LENIENT""",32.0,,39863307.0,1502737238.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicatesWithMateCigar/2.7.1.0,2.7.1.0,,2017-08-14 19:02:56.293233,110062.0,132.0
,,2017-08-14 18:02:03.530911,slurm_normal,1502737537.0,0,,1.0,main_w3_handler1,3219810,16578790,False,,344856477,bam,10650353.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""TOTAL_MAPPED_REFERENCE_LENGTH""",,"[{'src': 'hda', 'id': 30870728}]",,"""-1""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""false""","""true""","""LENIENT""",32.0,,39863307.0,1502737409.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicatesWithMateCigar/2.7.1.0,2.7.1.0,,2017-08-14 19:05:39.576067,110062.0,128.0
,,2017-08-14 18:02:04.086094,slurm_normal,1502738762.0,0,,1.0,main_w3_handler1,3219810,16578793,False,,422989423,bam,10650616.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""TOTAL_MAPPED_REFERENCE_LENGTH""",,"[{'src': 'hda', 'id': 30870731}]",,"""-1""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""false""","""true""","""LENIENT""",32.0,,39863307.0,1502738570.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicatesWithMateCigar/2.7.1.0,2.7.1.0,,2017-08-14 19:26:08.731628,110062.0,192.0
,,2017-08-14 18:02:01.931717,slurm_normal,1502739006.0,0,,1.0,main_w3_handler0,3219810,16578786,False,,403462619,bam,10650705.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""TOTAL_MAPPED_REFERENCE_LENGTH""",,"[{'src': 'hda', 'id': 30870722}]",,"""-1""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""false""","""true""","""LENIENT""",32.0,,39863307.0,1502738871.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicatesWithMateCigar/2.7.1.0,2.7.1.0,,2017-08-14 19:30:11.428881,110062.0,135.0
,,2017-08-14 18:02:01.448156,slurm_normal,1502738931.0,0,,1.0,main_w3_handler0,3219810,16578785,False,,245733068,bam,10650679.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""TOTAL_MAPPED_REFERENCE_LENGTH""",,"[{'src': 'hda', 'id': 30870720}]",,"""-1""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""false""","""true""","""LENIENT""",32.0,,39863307.0,1502738780.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicatesWithMateCigar/2.7.1.0,2.7.1.0,,2017-08-14 19:29:01.540383,110062.0,151.0
,,2017-08-14 18:02:01.250304,slurm_normal,1502740076.0,0,,1.0,main_w4_handler0,3219810,16578784,False,,352991746,bam,10650875.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""TOTAL_MAPPED_REFERENCE_LENGTH""",,"[{'src': 'hda', 'id': 30870718}]",,"""-1""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""false""","""true""","""LENIENT""",32.0,,39863307.0,1502739811.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicatesWithMateCigar/2.7.1.0,2.7.1.0,,2017-08-14 19:48:03.960615,110062.0,265.0
,,2017-08-14 18:02:00.853838,slurm_normal,1502739087.0,0,,1.0,main_w3_handler0,3219810,16578781,False,,576405421,bam,10650675.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""TOTAL_MAPPED_REFERENCE_LENGTH""",,"[{'src': 'hda', 'id': 30870715}]",,"""-1""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""false""","""true""","""LENIENT""",32.0,,39863307.0,1502738776.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicatesWithMateCigar/2.7.1.0,2.7.1.0,,2017-08-14 19:31:30.453679,110062.0,311.0
,,2017-08-14 18:02:02.324747,slurm_normal,1502739146.0,0,,1.0,main_w3_handler0,3219810,16578787,False,,198916922,bam,10650740.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""TOTAL_MAPPED_REFERENCE_LENGTH""",,"[{'src': 'hda', 'id': 30870724}]",,"""-1""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""false""","""true""","""LENIENT""",32.0,,39863307.0,1502739018.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicatesWithMateCigar/2.7.1.0,2.7.1.0,,2017-08-14 19:32:35.065819,110062.0,128.0
,,2017-08-14 18:02:05.362267,slurm_normal,1502739520.0,0,,1.0,main_w3_handler0,3219810,16578796,False,,402125976,bam,10650805.roundup,slurm,,132112168.0,corral-repl,,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""""","""hg19""","""TOTAL_MAPPED_REFERENCE_LENGTH""",,"[{'src': 'hda', 'id': 30870734}]",,"""-1""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""false""","""true""","""LENIENT""",32.0,,39863307.0,1502739368.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicatesWithMateCigar/2.7.1.0,2.7.1.0,,2017-08-14 19:38:46.363289,110062.0,152.0
