chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,guide_gff,guide_gff_filetype,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.guide.__current_case__,parameters.guide.guide_gff.values,parameters.guide.input_estimation,parameters.guide.output_ballgown,parameters.guide.use_guide,parameters.input_bam.values,parameters.input_bam|__identifier__,parameters.option_set.__current_case__,parameters.option_set.abundance_estimation,parameters.option_set.bdist,parameters.option_set.bundle_fraction,parameters.option_set.disable_trimming,parameters.option_set.fraction,parameters.option_set.min_anchor_cov,parameters.option_set.min_anchor_len,parameters.option_set.min_bundle_cov,parameters.option_set.min_tlen,parameters.option_set.multi_mapping,parameters.option_set.name_prefix,parameters.option_set.omit_sequences,parameters.option_set.options,parameters.option_set.sensitive,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-01-10 09:45:22.847287,slurm_multi,1484041531.0,0,,6.0,,,main_w4_handler2,2931971,14722453,False,,6566366,bam,8891153,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767290}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041525.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:45:32.065324,80465,6.0
,,2017-01-10 09:45:29.350280,slurm_multi,1484041644.0,0,,6.0,,,main_w4_handler2,2931971,14722468,False,,20409822,bam,8891176,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767305}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041638.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:47:25.732167,80465,6.0
,,2017-01-10 09:45:29.790407,slurm_multi,1484041668.0,0,,6.0,,,main_w3_handler2,2931971,14722469,False,,116366508,bam,8891180,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767306}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041658.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:47:49.790173,80465,10.0
,,2017-01-10 09:45:24.131263,slurm_multi,1484041551.0,0,,6.0,,,main_w3_handler2,2931971,14722456,False,,64642786,bam,8891156,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767293}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041544.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:45:52.791114,80465,7.0
,,2017-01-10 09:45:24.922726,slurm_multi,1484041561.0,0,,6.0,,,main_w3_handler2,2931971,14722457,False,,25727183,bam,8891157,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767294}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041555.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:46:03.777735,80465,6.0
,,2017-01-10 09:45:26.817040,slurm_multi,1484041616.0,0,,6.0,,,main_w3_handler2,2931971,14722462,False,,71602669,bam,8891171,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767299}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041606.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:46:58.375233,80465,10.0
,,2017-01-10 09:45:25.320735,slurm_multi,1484041579.0,0,,6.0,,,main_w3_handler2,2931971,14722458,False,,17093217,bam,8891162,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767295}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041574.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:46:21.485387,80465,5.0
,,2017-01-10 09:45:26.157434,slurm_multi,1484041562.0,0,,6.0,,,main_w4_handler2,2931971,14722460,False,,3946491,bam,8891158,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767297}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041555.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:46:03.288615,80465,7.0
,,2017-01-10 09:45:23.345940,slurm_multi,1484041540.0,0,,6.0,,,main_w3_handler2,2931971,14722454,False,,35672561,bam,8891154,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767291}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041535.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:45:41.946654,80465,5.0
,,2017-01-10 09:45:23.778309,slurm_multi,1484041549.0,0,,6.0,,,main_w4_handler2,2931971,14722455,False,,19288582,bam,8891155,slurm,,132111800.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,no,"[{'src': 'hda', 'id': 27767292}]",,1,true,50,0.95,false,0.15,1,10,2,200,false,STRG,,advanced,false,32.0,,34931652.0,1484041544.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/1.2.3,1.2.3,,2017-01-10 09:45:50.194630,80465,5.0
