chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.assume_sorted,parameters.barcode_tag,parameters.chromInfo,parameters.comments,parameters.dbkey,parameters.duplicate_scoring_strategy,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.optical_duplicate_pixel_distance,parameters.read_name_regex,parameters.remove_duplicates,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-03-04 13:48:19.585182,slurm_normal_16gb,1457108056.0,0,,1.0,main_w2_handler1,2621110,12020147,False,,274553560,bam,6250543.roundup,slurm,,132112168.0,corral-repl,,"""95e1de94e20f11e5a726005056a51846""","""True""",,"""/galaxy-repl/localdata/chrom/?.len""","[{""comment"": ""SNP Output 2.3"", ""__index__"": 0}]","""?""","""SUM_OF_BASE_QUALITIES""",23669453,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",32.0,,28340270.0,1457107712.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-03-04 16:14:21.711270,78509.0,344.0
,,2016-05-08 20:36:33.820550,slurm_normal_16gb,1462739890.0,0,,1.0,main_w2_handler1,2698358,12824998,False,,4564,bam,7025394.roundup,slurm,,132112168.0,corral-repl,,,"""true""",,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58512028bd020d602'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,29642069.0,1462739830.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-08 20:38:13.013552,72952.0,60.0
,,2016-05-09 00:34:21.568184,slurm_normal_16gb,1462754187.0,0,,1.0,main_w2_handler1,2698358,12826307,False,,6298,bam,7027032.roundup,slurm,,132112168.0,corral-repl,,,"""true""",,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53dbc43c80a4a3a75'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,29642069.0,1462754091.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-09 00:36:29.847260,72952.0,96.0
,,2016-05-09 05:37:39.326617,slurm_normal_16gb,1462773209.0,0,,1.0,main_w2_handler0,2682872,12827841,False,,31047045,bam,7028975.roundup,slurm,,132112168.0,corral-repl,,"""20a7da1215a811e6b681005056a52a46""","""true""",,"""/galaxy-repl/localdata/chrom/?.len""",[],"""?""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5615eeb24c6d782b7'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,29796896.0,1462773119.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-09 05:53:32.594913,83239.0,90.0
,,2016-05-09 06:13:47.170404,slurm_normal_16gb,1462775217.0,0,,1.0,main_w1_handler2,2682872,12828140,False,,31047047,bam,7029174.roundup,slurm,,132112168.0,corral-repl,,"""277f69d615ad11e685c0005056a51846""","""true""",,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52b99361818c4e962'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,29796896.0,1462775135.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-09 06:27:01.245224,83239.0,82.0
,,2016-05-09 11:55:12.550454,slurm_normal_16gb,1462799358.0,0,,1.0,main_w2_handler1,2699128,12830745,False,,31054762,bam,7032550.roundup,slurm,,132112168.0,corral-repl,,"""d5ad932815dc11e68cc9005056a51846""","""true""",,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",[],"""Homo_sapiens_nuHg19_mtrCRS""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b6ce058209d1b63e'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,30064841.0,1462799284.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-09 13:09:23.568738,79897.0,74.0
,,2016-05-09 12:10:33.587829,slurm_normal_16gb,1462802088.0,0,,1.0,main_w2_handler1,2699175,12830973,False,,31054762,bam,7033212.roundup,slurm,,132112168.0,corral-repl,,"""fdd5434e15de11e69dd3005056a51846""","""true""",,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",[],"""Homo_sapiens_nuHg19_mtrCRS""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58fe04a931457725c'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,30064841.0,1462802021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-09 13:54:49.907228,79897.0,67.0
,,2016-05-09 12:44:19.604694,slurm_normal_16gb,1462805462.0,0,,1.0,main_w1_handler1,2699124,12831344,False,,31054762,bam,7033832.roundup,slurm,,132112168.0,corral-repl,,"""b95a1c2615e311e6bab7005056a51846""","""true""",,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",[],"""Homo_sapiens_nuHg19_mtrCRS""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5677fb4e62818ee66'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,30064841.0,1462805361.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-09 14:51:10.702236,79897.0,101.0
,,2016-05-11 21:35:45.829770,slurm_normal_16gb,1463008455.0,0,,1.0,main_w2_handler1,2702915,12861191,False,,31085560,bam,7062611.roundup,slurm,,132112168.0,corral-repl,,"""4965248617c011e69455005056a52a46""","""true""",,"""/galaxy-repl/localdata/chrom/?.len""",[],"""?""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f62c4f9d35bca36'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,30029036.0,1463008318.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-11 23:14:20.059452,82624.0,137.0
,,2016-05-10 15:07:54.752870,slurm_normal_16gb,1462932335.0,0,,1.0,main_w2_handler0,2699124,12845286,False,,31054762,bam,7050897.roundup,slurm,,132112168.0,corral-repl,,"""e61b725e16c011e685cc005056a51846""","""true""",,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",[],"""Homo_sapiens_nuHg19_mtrCRS""","""SUM_OF_BASE_QUALITIES""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c23405d954a8c3f6'}]",,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""true""","""LENIENT""",32.0,,30064841.0,1462932267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2016-05-11 02:05:38.333183,79897.0,68.0
