create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.allow_unaffected,parameters.chromInfo,parameters.d,parameters.dbkey,parameters.families,parameters.filter.__current_case__,parameters.filter.filter,parameters.filter.filter_selector,parameters.gt_pl_max,parameters.infile,parameters.infile.values,parameters.max_priority,parameters.min_genotypequality,parameters.min_kindreds,parameters.pattern_only,parameters.report.__current_case__,parameters.report.report_selector,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-13 17:21:53.422651,slurm_normal,1473787337.0,0,1.0,main_w4_handler1,2819207,13843680,False,186754048,gemini.sqlite,,8066372.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""0""","""hg19""","""""",0,,no,"""-1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b516c7148ca977be92'}]","""1""","""0""","""1""","""false""",0,all,32.0,,32940546.0,1473787329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_comp_hets/gemini_comp_hets/0.18.1.0,0.18.1.0,,2016-09-13 17:22:20.619465,43732.0,8.0
2016-09-13 17:50:49.622335,slurm_normal,1473789105.0,0,1.0,main_w4_handler0,2819267,13843842,False,428916736,gemini.sqlite,,8066532.roundup,slurm,,132112168.0,corral-repl,,"""9a08919e79da11e69842005056a52a46""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""0""","""hg19""","""""",0,,no,"""-1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fa4684f99e7efcf1'}]","""1""","""0""","""1""","""false""",0,all,32.0,,32941547.0,1473789065.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_comp_hets/gemini_comp_hets/0.18.1.0,0.18.1.0,,2016-09-13 17:51:49.572819,42102.0,40.0
2016-09-14 12:40:06.345767,slurm_normal,1473859188.0,0,1.0,main_w3_handler1,2820023,13848711,False,355899392,gemini.sqlite,,8071978.roundup,slurm,,132112168.0,corral-repl,,"""5ba100e67a7811e691cd005056a51846""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""0""","""hg19""","""""",0,,no,"""-1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cf301a70542a6d0a'}]","""1""","""0""","""1""","""false""",0,all,32.0,,32950954.0,1473859182.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_comp_hets/gemini_comp_hets/0.18.1.0,0.18.1.0,,2016-09-14 13:19:49.106829,42102.0,6.0
2016-09-15 03:43:01.476845,slurm_normal,1473912951.0,0,1.0,main_w3_handler1,2820747,13853452,False,355900416,gemini.sqlite,,8076569.roundup,slurm,,132112168.0,corral-repl,,"""7e91f12c7af611e69275005056a51846""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""0""","""hg19""","""""",0,,no,"""-1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b7dc5313125a001b'}]","""1""","""0""","""1""","""false""",0,all,32.0,,32950954.0,1473912944.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_comp_hets/gemini_comp_hets/0.18.1.0,0.18.1.0,,2016-09-15 04:15:52.098193,42102.0,7.0
2016-09-15 04:54:03.348148,slurm_normal,1473919092.0,0,1.0,main_w4_handler0,2820818,13853577,False,264665088,gemini.sqlite,,8076761.roundup,slurm,,132112168.0,corral-repl,,"""6b77e24a7b0011e69bbc005056a51846""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""0""","""hg19""","""""",0,,no,"""-1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54574ce2002df6084'}]","""1""","""0""","""1""","""false""",0,all,32.0,,32950954.0,1473919086.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_comp_hets/gemini_comp_hets/0.18.1.0,0.18.1.0,,2016-09-15 05:58:13.869247,42102.0,6.0
2016-09-15 04:54:28.623538,slurm_normal,1474031773.0,0,1.0,main_w3_handler0,2820819,13853590,False,2804011008,gemini.sqlite,,8088121.roundup,slurm,,132112168.0,corral-repl,,"""7a3864f87b0011e6a225005056a51846""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""0""","""hg19""","""""",0,,no,"""-1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52d8ef989ebd250d4'}]","""1""","""0""","""1""","""false""",0,all,32.0,,32950954.0,1474031769.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_comp_hets/gemini_comp_hets/0.18.1.0,0.18.1.0,,2016-09-16 13:16:16.330002,42102.0,4.0
2016-09-16 14:47:37.420528,slurm_normal,1474040370.0,0,1.0,main_w3_handler0,2822388,13865991,False,355899392,gemini.sqlite,,8089933.roundup,slurm,,132112168.0,corral-repl,,"""7f659cee7c1c11e6a24e005056a52a46""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""0""","""hg19""","""""",0,,no,"""-1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52beee0c9cf90c658'}]","""1""","""0""","""1""","""false""",0,all,32.0,,32993553.0,1474040350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_comp_hets/gemini_comp_hets/0.18.1.0,0.18.1.0,,2016-09-16 15:39:35.421649,38442.0,20.0
2016-09-17 05:45:08.336616,slurm_normal,1474092780.0,0,1.0,main_w3_handler1,2822924,13870478,False,355899392,gemini.sqlite,,8093918.roundup,slurm,,132112168.0,corral-repl,,"""e2c5fb127c9911e69c9d005056a52a46""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""0""","""hg19""","""""",0,,no,"""-1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ae1498386aa231c1'}]","""1""","""0""","""1""","""false""",0,all,32.0,,32993553.0,1474092775.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_comp_hets/gemini_comp_hets/0.18.1.0,0.18.1.0,,2016-09-17 06:13:01.070284,38442.0,5.0
2016-09-18 05:54:21.092634,slurm_normal,1474178076.0,0,1.0,main_w3_handler0,2813708,13873568,False,1058846720,gemini.sqlite,,8096891.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""0""","""hg19""","""""",0,,no,"""-1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52092a620e2b2d50d'}]","""1""","""0""","""1""","""false""",0,all,32.0,,33008780.0,1474178071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_comp_hets/gemini_comp_hets/0.18.1.0,0.18.1.0,,2016-09-18 05:54:38.253806,90397.0,5.0
2016-09-19 08:14:33.600549,slurm_normal,1474272893.0,0,1.0,main_w3_handler1,2819267,13880352,False,428916736,gemini.sqlite,,8103399.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""0""","""hg19""","""""",0,,no,"""-1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5100c84dcafd45e0d'}]","""1""","""0""","""1""","""false""",0,all,32.0,,33021032.0,1474272888.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_comp_hets/gemini_comp_hets/0.18.1.0,0.18.1.0,,2016-09-19 08:14:56.042475,42102.0,5.0
