create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.infile.values,parameters.method_options.__current_case__,parameters.method_options.method_options_selector,parameters.method_options.number,parameters.method_options.percentage,parameters.seed,parameters.tsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-07-06 11:41:41.862621,slurm_normal,1499341496.0,0,,1.0,main_w3_handler0,3167912,16270977,False,1526586742,bam,,10341804.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30141443}]",0,percentage,,80.0,"""1""","""""",32.0,,39131662,1499341325.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_randsample/2.1.1.20160309.0,2.1.1.20160309.0,,2017-07-06 11:45:01.625728,104224.0,171.0
2017-07-06 11:20:54.794353,slurm_normal,1499340183.0,0,,1.0,main_w4_handler1,3167912,16270794,False,1010503503,bam,,10341692.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30140903}]",0,percentage,,80.0,"""1""","""""",32.0,,39131662,1499340075.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_randsample/2.1.1.20160309.0,2.1.1.20160309.0,,2017-07-06 11:23:07.372719,104224.0,108.0
2017-07-07 12:30:04.370728,slurm_normal,1499430862.0,0,,1.0,main_w4_handler1,3172658,16283117,False,831501604,bam,,10353575.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""","[{'src': 'hda', 'id': 30194151}]",1,number,16000000,,"""1""","""18937297""",32.0,,39155301,1499430616.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_randsample/2.1.1.20160309.0,2.1.1.20160309.0,,2017-07-07 12:34:24.200277,108204.0,246.0
2017-07-28 16:31:21.648701,slurm_normal,1501259685.0,0,,1.0,main_w4_handler1,3205345,16447309,False,1008264827,bam,,10515229.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30657187}]",0,percentage,,66.0,"""1""","""""",32.0,,39563524,1501259489.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_randsample/2.1.1.20160309.0,2.1.1.20160309.0,,2017-07-28 16:34:47.835968,99302.0,196.0
2017-08-09 02:24:05.133140,slurm_normal,1502245488.0,0,,1.0,main_w3_handler0,3216855,16535012,False,516906999,bed,,10605694.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 30804851}]",1,number,1000,,"""6""","""36""",32.0,,38913306,1502245456.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_randsample/2.1.1.20160309.0,2.1.1.20160309.0,,2017-08-09 02:24:50.532596,75605.0,32.0
2017-08-14 20:47:09.419336,slurm_normal,1502743711.0,0,,1.0,main_w4_handler0,3221928,16580159,False,22592148,sam,,10651482.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","[{'src': 'hda', 'id': 30872773}]",0,percentage,,50.0,"""1""","""""",32.0,,39864843,1502743698.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_randsample/2.1.1.20160309.0,2.1.1.20160309.0,,2017-08-14 20:48:39.563282,110140.0,13.0
2017-10-24 13:32:52.772061,slurm_normal,1508852020.0,0,,1.0,main_w4_handler1,3298056,17196798,False,15363126,bed,,11255787,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg18.len""","""hg18""","[{'src': 'hda', 'id': 31851084}]",0,percentage,,75.0,"""1""","""""",32.0,,41263870,1508852007.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_randsample/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-24 13:33:53.567627,103446.0,13.0
2017-11-20 09:25:08.828516,slurm_normal,1511182358.0,0,,1.0,main_w3_handler1,3331814,17515567,False,28381,bed,,11577857,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32412187}]",1,number,100,,"""1""","""""",32.0,,42110939,1511182350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_randsample/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-20 12:52:38.942208,,8.0
2017-12-02 21:33:41.728804,slurm_normal,1512250450.0,0,,1.0,main_w3_handler0,3349301,17677946,False,12632429,bam,,11740383,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 32696349}]",0,percentage,,80.0,"""1""","""270631""",32.0,,42414907,1512250429.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_randsample/2.1.1.20160309.0,2.1.1.20160309.0,,2017-12-02 21:34:11.937132,117627.0,21.0
2017-12-04 20:19:02.668615,slurm_normal,1512418799.0,0,,1.0,main_w4_handler0,2754214,17695078,False,914519409,sam,,11759265,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32657258}]",0,percentage,,10.0,"""1""","""""",32.0,,41795179,1512418754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_randsample/2.1.1.20160309.0,2.1.1.20160309.0,,2017-12-04 20:20:00.984183,86816.0,45.0
2018-01-25 09:43:37.827111,slurm_normal,1516873441.0,0,,1.0,main_w4_handler1,3380710,18152694,False,7630750,bed,,12233694,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33493635}]",0,percentage,,80.0,"""1""","""""",32.0,,42959822,1516873433.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_randsample/2.1.1.20160309.0,2.1.1.20160309.0,,2018-01-25 09:44:07.998795,,8.0
