chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.allow_contig_length_discordance,parameters.allow_incomplete_dict_concordance,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.__class__,parameters.reference_source.ref_file.value,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-08-25 10:40:02.057156,slurm_normal,1503658504.0,0,,1.0,main_w3_handler0,3232800,16657188,False,,210881856,bam,10729504.roundup,slurm,,132112168.0,corral-repl,,"""bced76cc898111e7836d005056ba55fb""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30988447}]",1,,,,"[{'src': 'hda', 'id': 30988411}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1503658389.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-08-25 10:55:08.186925,83620.0,115.0
,,2017-08-28 13:17:33.971622,slurm_normal,1503927548.0,0,,1.0,main_w4_handler1,3235217,16673076,False,,283760294,bam,10745516.roundup,slurm,,132112168.0,corral-repl,,"""3d64dec68bf311e7be53005056ba2773""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31014597}]",1,,,,"[{'src': 'hda', 'id': 31014483}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1503927297.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-08-28 13:39:11.566022,83620.0,251.0
,,2017-08-28 15:17:37.202073,slurm_normal,1503934706.0,0,,1.0,main_w3_handler0,3235346,16673883,False,,279290747,bam,10746240.roundup,slurm,,132112168.0,corral-repl,,"""03d874228c0411e79d47005056ba2773""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31015866}]",1,,,,"[{'src': 'hda', 'id': 31015845}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1503934582.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-08-28 15:38:29.625705,83620.0,124.0
,,2017-08-28 15:30:35.306457,slurm_normal,1503935380.0,0,,1.0,main_w4_handler1,3235380,16674083,False,,251950869,bam,10746347.roundup,slurm,,132112168.0,corral-repl,,"""d438942a8c0511e796da005056ba55fb""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31016087}]",1,,,,"[{'src': 'hda', 'id': 31016069}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1503935231.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-08-28 15:49:44.443196,83620.0,149.0
,,2017-08-29 10:22:43.428524,slurm_normal,1504003278.0,0,,1.0,main_w4_handler0,3235843,16681011,False,,262695476,bam,10753102.roundup,slurm,,132112168.0,corral-repl,,"""fc0055808ca311e7be53005056ba2773""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31027033}]",1,,,,"[{'src': 'hda', 'id': 31027002}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1504003138.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-08-29 10:41:20.315123,83620.0,140.0
,,2017-08-29 12:01:27.002910,slurm_normal,1504011667.0,0,,1.0,main_w4_handler0,3236267,16681862,False,,853283742,bam,10754272.roundup,slurm,,132112168.0,corral-repl,,"""c6989f2a8cb111e78c86005056ba2773""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31028258}]",1,,,,"[{'src': 'hda', 'id': 31028246}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1504011373.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-08-29 13:01:08.608880,83620.0,294.0
,,2017-08-29 14:39:37.043003,slurm_normal,1504018691.0,0,,1.0,main_w4_handler1,3236526,16683543,False,,235409802,bam,10755509.roundup,slurm,,132112168.0,corral-repl,,"""89d1c1a08cc711e788b5005056ba2773""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31030547}]",1,,,,"[{'src': 'hda', 'id': 31030480}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1504018524.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-08-29 14:58:16.841946,83620.0,167.0
,,2017-09-04 13:18:10.241298,slurm_normal,1504531483.0,0,,1.0,main_w4_handler1,3241947,16729956,False,,66920487,bam,10798496.roundup,slurm,,132112168.0,corral-repl,,"""75beed9a917311e7ba80005056ba2773""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31100102}]",1,,,,"[{'src': 'hda', 'id': 31099726}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1504531425.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-04 13:24:47.799162,80563.0,58.0
,,2017-09-04 13:59:41.341985,slurm_normal,1504534720.0,0,,1.0,main_w4_handler1,3241962,16730206,False,,269607271,bam,10798872.roundup,slurm,,132112168.0,corral-repl,,"""34d70910917911e780a2005056ba2773""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31100510}]",1,,,,"[{'src': 'hda', 'id': 31099942}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1504534565.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-04 14:18:46.754661,80563.0,155.0
,,2017-09-05 11:47:08.047155,slurm_normal,1504613436.0,0,,1.0,main_w4_handler0,3242876,16736381,False,,271278997,bam,10805699.roundup,slurm,,132112168.0,corral-repl,,"""ee90ea9a922f11e797cb005056ba2773""","""false""","""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 31109235}]",1,,,,"[{'src': 'hda', 'id': 31109200}]",history,"""LENIENT""",32.0,3199905909.0,fasta,,,1504613323.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.126.0,1.126.0,,2017-09-05 12:10:37.962043,80563.0,113.0
