annot,annot_filetype,create_time,destination_id,end_epoch,exit_code,files_0|input,files_0|input_filetype,files_1|input,files_1|input_filetype,files_2|input,files_2|input_filetype,files_3|input,files_3|input_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_operon,input_operon_filetype,input_ref,input_ref_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.annot.values,parameters.chromInfo,parameters.dbkey,parameters.files,parameters.files_0|input|__identifier__,parameters.gene_selection,parameters.input_operon.values,parameters.input_ref.values,parameters.input_size,parameters.min_contig,parameters.threshold_contig,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-05 16:25:22.744809,slurm_normal,1509899167.0,0,5497087,fasta,,,,,,,,1.0,main_w3_handler0,3310874,17336464,False,,,,,,11398864,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 32060389}]}}]",,"""prokaryotes""",,,"""""","""500""","""0,1000""",32.0,,41768606.0,1509899137.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-11-05 16:26:14.884993,104897.0,30.0
,,2017-08-14 21:30:02.563083,slurm_normal,1502746680.0,0,1382536077,fasta,,,,,,,,1.0,main_w4_handler1,2500853,16580674,False,,,,,,10651928.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""scaffold"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 21936278}]}}]",,"""eukaryote""",,,"""1500000000""","""500""","""0,1000""",32.0,,39865872.0,1502746216.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-14 21:38:04.204733,45138.0,464.0
,,2017-08-15 11:29:35.644728,slurm_normal,1502796600.0,4,13450213,fasta,,,,,,,,1.0,main_w3_handler0,3222502,16584201,False,,,,,,10655364.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 30878375}]}}]",,"""metagenes""",,,"""""","""500""","""0,1000""",32.0,,39875875.0,1502796587.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-15 11:30:03.013102,,13.0
,,2017-08-16 14:35:00.244162,slurm_normal,1502894140.0,0,4765933,fasta,,,,,,,,1.0,main_w4_handler0,3171810,16594218,False,,,,,,10666094.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""scaffold"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 30892718}]}}]",,"""prokaryotes""",,,"""""","""500""","""0,1000""",32.0,,39882708.0,1502894112.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-16 14:35:43.776823,91803.0,28.0
53796887.0,gff,2017-08-20 00:46:13.426171,slurm_normal,1503190027.0,0,74098693,fasta,,,,,,,,1.0,main_w3_handler0,3227014,16615562,False,,,,,,10687348.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 30925148}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 30925144}]}}]",,"""eukaryote""",,,"""""","""500""","""0,1000""",32.0,,39968303.0,1503189983.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-20 00:47:10.976608,,44.0
,,2017-08-21 07:25:39.573533,slurm_normal,1503300376.0,0,543,fasta,,,,,,,,1.0,main_w3_handler0,3224718,16620354,False,,,,,,10692034.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 30933354}]}}]",,"""prokaryotes""",,,"""""","""200""","""0,1000""",32.0,,39979321.0,1503300351.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-21 07:26:18.411355,110260.0,25.0
,,2017-10-06 14:47:13.884199,slurm_normal,1507301283.0,0,4777175,fasta,,,,,,,,1.0,main_w4_handler0,3277222,17040955,False,,,,,,11097933.roundup,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31584398}]}}]",,"""prokaryotes""",,,"""""","""500""","""0,1000""",32.0,,40824356.0,1507301275.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-10-06 14:48:24.736696,104543.0,8.0
,,2017-08-23 15:40:03.794118,slurm_normal,1503503028.0,0,498893572,fasta,,,,,,,,1.0,main_w3_handler0,2439683,16641821,False,,,,,,10714321.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""scaffold"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 21262220}]}}]",,"""eukaryote""",,,"""""","""500""","""0,1000""",32.0,,38524248.0,1503502811.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-23 15:43:49.556856,69316.0,217.0
,,2017-08-24 11:31:55.648544,slurm_normal,1503574347.0,0,6195146,fasta,,,,,,,,1.0,main_w3_handler1,3231513,16647786,False,,,,,,10720534.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 30972909}]}}]",,"""prokaryotes""",,,"""""","""500""","""0,1000""",32.0,,40044842.0,1503574328.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-24 11:32:35.227897,109036.0,19.0
,,2017-08-24 11:31:28.515273,slurm_normal,1503574349.0,0,5452791,fasta,,,,,,,,1.0,main_w3_handler0,3231513,16647783,False,,,,,,10720531.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 30972907}]}}]",,"""prokaryotes""",,,"""""","""500""","""0,1000""",32.0,,40044842.0,1503574299.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-24 11:32:33.478058,109036.0,50.0
,,2017-08-24 19:22:00.593314,slurm_normal,1503602548.0,0,31962904,fasta,,,,,,,,1.0,main_w4_handler0,3231547,16651364,False,,,,,,10724252.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 30972661}]}}]","""SRR5217493""","""eukaryote""",,,"""""","""500""","""0,1000""",32.0,,39261442.0,1503602531.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-24 19:22:35.923315,108873.0,17.0
,,2017-08-24 19:22:01.151684,slurm_normal,1503602549.0,0,31564899,fasta,,,,,,,,1.0,main_w4_handler0,3231547,16651365,False,,,,,,10724253.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 30972663}]}}]","""SRR5217494""","""eukaryote""",,,"""""","""500""","""0,1000""",32.0,,39261442.0,1503602531.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-24 19:22:36.392748,108873.0,18.0
,,2017-08-30 18:02:14.265926,slurm_normal,1504116165.0,0,1472200,fasta,,,,,,,,1.0,main_w3_handler1,3226131,16696593,False,,,,,,10768696.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31048133}]}}]",,"""prokaryotes""",,,"""""","""500""","""0,1000""",32.0,,39951261.0,1504116147.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-30 18:02:50.946447,110306.0,18.0
,,2017-08-30 17:14:16.599533,slurm_normal,1504133310.0,0,78010893,fasta,,,,,,,,1.0,main_w3_handler0,3235799,16696122,False,,,,,,10771410.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""type_file"": ""contig"", ""__index__"": 0, ""input"": {""values"": [{""src"": ""hda"", ""id"": 31048072}]}}]",,"""eukaryote""",,,"""""","""500""","""0,1000""",32.0,,40125217.0,1504133274.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.1.1,4.1.1,,2017-08-30 22:48:38.622684,110661.0,36.0
