chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.centre,parameters.chromInfo,parameters.compliant.__current_case__,parameters.compliant.addgenes,parameters.compliant.compliant_select,parameters.compliant.mincontig,parameters.dbkey,parameters.evalue,parameters.fast,parameters.genus,parameters.gffver,parameters.increment,parameters.input.values,parameters.input|__identifier__,parameters.kingdom.__current_case__,parameters.kingdom.gcode,parameters.kingdom.kingdom_select,parameters.locustag,parameters.metagenome,parameters.norrna,parameters.notrna,parameters.outputs,parameters.plasmid,parameters.proteins.values,parameters.rfam,parameters.species,parameters.strain,parameters.usegenus,processor_count,proteins,proteins_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-10-09 13:07:37.518896,slurm_multi,1507554811.0,0,,6.0,main_w4_handler2,3280136,17055446,False,,4820418,fasta,11112576.roundup,slurm,,132112168.0,corral-repl,,0.0,no,,,"""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,false,no,200,"""?""","""1e-06""","""false""","""""","""3""","""1""","[{'src': 'hda', 'id': 31609863}]",,1,11,Bacteria,"""PROKKA""","""false""","""false""","""false""","[""gff"", ""gbk"", ""fna"", ""faa"", ""ffn"", ""sqn"", ""fsa"", ""tbl"", ""err"", ""txt""]","""""",,"""false""","""""","""""","""false""",32.0,,,,41153676.0,1507554692.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.12.0,1.12.0,,2017-10-09 13:13:42.399775,69444,119.0
,,2017-10-10 15:52:04.410518,slurm_multi,1507659701.0,0,,6.0,main_w3_handler2,3280099,17067490,False,,4728433,fasta,11126351.roundup,slurm,,132112168.0,corral-repl,,0.0,no,,,"""NCIMB""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,false,no,200,"""?""","""1e-06""","""false""","""Escherichia""","""3""","""1""","[{'src': 'hda', 'id': 31626339}]",,1,11,Bacteria,"""PROKKA""","""false""","""false""","""false""","[""gff"", ""gbk"", ""fna"", ""faa"", ""ffn"", ""sqn"", ""fsa"", ""tbl"", ""err"", ""txt""]","""""",,"""false""","""coli""","""""","""false""",32.0,,,,41156963.0,1507659537.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.12.0,1.12.0,,2017-10-10 18:23:31.886118,113123,164.0
,,2017-10-09 13:07:35.391622,slurm_multi,1507554863.0,0,,6.0,main_w4_handler2,3280136,17055445,False,,4870034,fasta,11112570.roundup,slurm,,132111800.0,corral-repl,,0.0,no,,,"""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,false,no,200,"""?""","""1e-06""","""false""","""""","""3""","""1""","[{'src': 'hda', 'id': 31609862}]",,1,11,Bacteria,"""PROKKA""","""false""","""false""","""false""","[""gff"", ""gbk"", ""fna"", ""faa"", ""ffn"", ""sqn"", ""fsa"", ""tbl"", ""err"", ""txt""]","""""",,"""false""","""""","""""","""false""",32.0,,,,41153676.0,1507554668.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.12.0,1.12.0,,2017-10-09 13:14:29.406207,69444,195.0
,,2017-12-15 09:10:10.493827,slurm_multi,1513329158.0,0,,6.0,main_w4_handler2,2303946,17815413,False,,4698238,fasta,11884014,slurm,,132112168.0,corral-repl,,0.0,no,,,"""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,false,no,200,"""?""","""1e-06""","""false""","""""","""3""","""1""","[{'src': 'hda', 'id': 30837025}]",,1,11,Bacteria,"""PROKKA""","""false""","""false""","""false""","[""gff"", ""gbk"", ""fna"", ""faa"", ""ffn"", ""sqn"", ""fsa"", ""tbl"", ""err"", ""txt""]","""""",,"""false""","""""","""""","""false""",32.0,,,,42677616.0,1513329021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.12.0,1.12.0,,2017-12-15 09:12:43.764033,63431,137.0
,,2017-09-29 18:55:35.011858,slurm_multi,1506712646.0,0,,6.0,main_w4_handler2,3267350,16974962,False,,43199,fasta,11042785.roundup,slurm,,132111800.0,corral-repl,,0.0,no,,,"""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,false,no,200,"""?""","""1e-06""","""false""","""""","""3""","""1""","[{'src': 'hda', 'id': 31471715}]",,1,11,Bacteria,"""PROKKA""","""false""","""false""","""false""","[""gff"", ""gbk"", ""fna"", ""faa"", ""ffn"", ""sqn"", ""fsa"", ""tbl"", ""err"", ""txt""]","""""",,"""false""","""""","""""","""false""",32.0,,,,40893290.0,1506712622.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.12.0,1.12.0,,2017-09-29 19:17:34.894051,110149,24.0
,,2017-12-15 10:44:28.220318,slurm_multi,1513334693.0,0,,6.0,main_w4_handler2,3365576,17816392,False,,22705,fasta,11884852,slurm,,132112168.0,corral-repl,,0.0,no,,,"""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/19519.len""",0,false,no,200,"""19519""","""1e-06""","""false""","""clostridium""","""3""","""1""","[{'src': 'hda', 'id': 32946225}]",,1,11,Bacteria,"""PROKKA""","""false""","""false""","""false""","[""faa""]","""""",,"""false""","""botulinum""","""""","""true""",32.0,,,,42679036.0,1513334682.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.12.0,1.12.0,,2017-12-15 10:44:56.008836,55065,11.0
,,2017-09-29 22:11:25.741619,slurm_multi,1506723565.0,0,,6.0,main_w3_handler2,3091808,16975742,False,,14419501,fasta,11043500.roundup,slurm,,132112168.0,corral-repl,,0.0,no,,,"""V""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,false,no,200,"""?""","""1e-06""","""false""","""Pseudomonas""","""3""","""1""","[{'src': 'hda', 'id': 31480775}]",,1,11,Bacteria,"""P""","""false""","""false""","""false""","[""gff"", ""gbk"", ""fna"", ""faa"", ""ffn"", ""sqn"", ""fsa"", ""tbl"", ""err"", ""txt""]","""""",,"""false""","""""","""""","""false""",32.0,,,,39569211.0,1506723091.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.12.0,1.12.0,,2017-09-29 22:19:30.486774,104897,474.0
,,2017-09-30 01:33:37.908029,slurm_multi,1506735257.0,0,,6.0,main_w3_handler2,3271101,16976220,False,,181425,fasta,11043975.roundup,slurm,,132111800.0,corral-repl,,0.0,no,,,"""V""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,false,no,200,"""?""","""1e-06""","""false""","""Staphylococcus""","""3""","""1""","[{'src': 'hda', 'id': 31485101}]",,1,11,Bacteria,"""PROKKA""","""false""","""false""","""false""","[""gff"", ""gbk"", ""fna"", ""faa"", ""ffn"", ""sqn"", ""fsa"", ""tbl"", ""err"", ""txt""]","""""",,"""false""","""aureus""","""""","""false""",32.0,,,,40434144.0,1506735227.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.12.0,1.12.0,,2017-09-30 01:34:21.198770,92488,30.0
,,2017-09-30 05:41:51.493376,slurm_multi,1506750220.0,0,,6.0,main_w4_handler2,3267350,16976609,False,,977136,fasta,11044319.roundup,slurm,,132109816.0,corral-repl,,0.0,no,,,"""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,false,no,200,"""?""","""1e-06""","""false""","""""","""3""","""1""","[{'src': 'hda', 'id': 31485046}]",,1,11,Bacteria,"""PROKKA""","""false""","""false""","""false""","[""gff"", ""gbk"", ""fna"", ""faa"", ""ffn"", ""sqn"", ""fsa"", ""tbl"", ""err"", ""txt""]","""""",,"""false""","""""","""""","""false""",32.0,,,,40899557.0,1506750163.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.12.0,1.12.0,,2017-09-30 05:43:47.072238,110149,57.0
,,2017-10-09 13:07:34.064227,slurm_multi,1507555059.0,0,,6.0,main_w3_handler2,3280136,17055444,False,,5055300,fasta,11112610.roundup,slurm,,132109816.0,corral-repl,,0.0,no,,,"""""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,false,no,200,"""?""","""1e-06""","""false""","""""","""3""","""1""","[{'src': 'hda', 'id': 31609861}]",,1,11,Bacteria,"""PROKKA""","""false""","""false""","""false""","[""gff"", ""gbk"", ""fna"", ""faa"", ""ffn"", ""sqn"", ""fsa"", ""tbl"", ""err"", ""txt""]","""""",,"""false""","""""","""""","""false""",32.0,,,,41153676.0,1507554923.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.12.0,1.12.0,,2017-10-09 13:17:53.665536,69444,136.0
