create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.genomeSource.__current_case__,parameters.genomeSource.index,parameters.genomeSource.index.__class__,parameters.genomeSource.index.value,parameters.genomeSource.ownFile,parameters.genomeSource.refGenomeSource,parameters.input_file,parameters.mingenomefrac,parameters.out_prefix,parameters.windowsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-07-25 16:38:52.731919,slurm_normal,1437842412.0,0,1.0,main_w1_handler2,2305820,9981619,False,,3357383057,sam,4264590.roundup,slurm,,132112168.0,corral-repl,8791418.0,fasta,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,,19707365.0,history,19930494,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,23076036,1437842352.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-07-25 16:40:15.397711,63505.0,60.0
2015-07-25 16:38:50.368227,slurm_normal,1437842541.0,0,1.0,main_w2_handler0,2305820,9981617,False,,5825592836,sam,4264605.roundup,slurm,,132112168.0,corral-repl,8791418.0,fasta,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,,19707365.0,history,19930490,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,23076036,1437842429.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-07-25 16:42:25.411487,63505.0,112.0
2015-09-01 09:36:47.020832,slurm_normal,1441100334.0,0,1.0,main_w1_handler2,2412722,10235519,False,,15910143,bam,4514687.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,hg38,,,,default,20886511,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,24849410,1441100223.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-09-01 09:38:57.731091,67952.0,111.0
2015-09-05 14:15:03.106033,slurm_normal,1441462591.0,0,1.0,main_w1_handler0,2427990,10264716,False,,5805340035,sam,4551649.roundup,slurm,,132112168.0,corral-repl,62250207.0,fasta,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,,21007735.0,history,21017277,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,25026142,1441462522.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-09-05 14:16:33.985914,65985.0,69.0
2015-10-07 03:42:47.522534,slurm_normal,1444189635.0,0,1.0,main_w1_handler0,1724766,10515528,False,,2256126128,bam,4790557.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,hg19,,,,default,21423842,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,25411742,1444189381.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-10-07 03:47:18.187919,42716.0,254.0
2015-10-13 16:41:30.248355,slurm_normal,1444754597.0,0,1.0,main_w2_handler0,2464878,10561194,False,,56753734,bam,4834120.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,hg19,,,,default,21444631,"""1e-05""","""Short Read GC Bias Metrics""","""150""",32.0,,25658336,1444754515.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-10-13 16:43:20.296547,68909.0,82.0
2015-10-13 18:26:24.462036,slurm_normal,1444761051.0,0,1.0,main_w2_handler0,2469637,10561942,False,,362487048,bam,4834803.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,hg19,,,,default,21502222,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,25658336,1444760814.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-10-13 18:31:00.102935,68909.0,237.0
2015-11-11 20:17:06.703763,slurm_normal,1447273195.0,0,1.0,main_w2_handler1,1238087,10879053,False,,401947208,bam,5132636.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,mm9,,,,default,21951231,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,26206614,1447273044.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2015-11-11 20:20:00.377552,29303.0,151.0
2014-11-03 18:40:53.725720,rodeo_normal,1415040082.0,0,1.0,main_w2_handler1,2103697,8091976,False,,27798482,bam,116640.rodeo,slurm,,8059880.0,corral-repl,6411.0,fasta,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,,17413007.0,history,17394886,"""1e-05""","""Short Read GC Bias Metrics""","""100""",1.0,,18093614,1415040074.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-11-03 18:41:24.871858,55268.0,8.0
2014-09-18 18:01:27.745579,roundup_single,1411063305.0,0,1.0,main_w2_handler0,2051529,7814054,False,,13713853,bam,1798723,slurm,,132112264.0,corral-repl,155555.0,fasta,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,,,16936595.0,history,16936597,"""1e-05""","""Short Read GC Bias Metrics""","""100""",32.0,,17000981,1411063295.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardGCBiasMetrics/1.56.0,1.56.0,,2014-09-18 18:01:48.742908,52881.0,10.0
