aligned_or_read1_and_read2|aligned_bams_0|aligned_bam,aligned_or_read1_and_read2|aligned_bams_0|aligned_bam_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.add_mate_cigar,parameters.aligned_or_read1_and_read2.__current_case__,parameters.aligned_or_read1_and_read2.aligned_bams,parameters.aligned_or_read1_and_read2.aligned_or_read1_and_read2_selector,parameters.aligned_reads_only,parameters.aligner_proper_pair_flags,parameters.attributes_to_remove,parameters.attributes_to_retain,parameters.chromInfo,parameters.clip_adapters,parameters.clip_overlapping_reads,parameters.dbkey,parameters.include_secondary_alignments,parameters.is_bisulfite_sequence,parameters.max_insertions_or_deletions,parameters.primary_alignment_strategy,parameters.read1_trim,parameters.read2_trim,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.unmapped_bam.values,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,unmapped_bam,unmapped_bam_filetype,update_time,user_id,runtime
517905810,bam,2018-03-09 18:08:40.078202,slurm_normal,1520619345.0,0,7680.0,1.0,main_w3_handler0,3449972,18675074,False,,12771235,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 34327344}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 34179187}]",history,"[{'src': 'hda', 'id': 34327343}]","""LENIENT""",32.0,2136446.0,fasta,,43413986,1520618932.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,687942212,bam,2018-03-09 18:15:48.223272,92921.0,413.0
411609930,bam,2018-03-09 18:10:12.988834,slurm_normal,1520619315.0,0,7680.0,1.0,main_w3_handler0,3449972,18675089,False,,12771248,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 34327235}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 34179187}]",history,"[{'src': 'hda', 'id': 34327270}]","""LENIENT""",32.0,2136446.0,fasta,,43413986,1520619026.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,558576264,bam,2018-03-09 18:15:17.116216,92921.0,289.0
393507560,bam,2018-03-09 18:09:34.875309,slurm_normal,1520619235.0,0,7680.0,1.0,main_w4_handler1,3449972,18675081,False,,12771239,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 34327518}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 34179187}]",history,"[{'src': 'hda', 'id': 34327478}]","""LENIENT""",32.0,2136446.0,fasta,,43413986,1520618984.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,526177038,bam,2018-03-09 18:13:57.957463,92921.0,251.0
369446135,bam,2018-03-09 18:10:55.962498,slurm_normal,1520619496.0,0,7680.0,1.0,main_w4_handler1,3449972,18675114,False,,12771292,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 34327520}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 34179187}]",history,"[{'src': 'hda', 'id': 34327514}]","""LENIENT""",32.0,2136446.0,fasta,,43413986,1520619244.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,501542544,bam,2018-03-09 18:18:19.549603,92921.0,252.0
411253093,bam,2018-03-09 18:07:29.910837,slurm_normal,1520619187.0,0,7680.0,1.0,main_w4_handler0,3449972,18675065,False,,12771225,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 34327136}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 34179187}]",history,"[{'src': 'hda', 'id': 34327265}]","""LENIENT""",32.0,2136446.0,fasta,,43413986,1520618857.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,546498276,bam,2018-03-09 18:13:09.836942,92921.0,330.0
397081754,bam,2018-03-09 18:11:38.019892,slurm_normal,1520619501.0,0,7680.0,1.0,main_w3_handler0,3449972,18675122,False,,12771287,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 34327633}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 34179187}]",history,"[{'src': 'hda', 'id': 34327618}]","""LENIENT""",32.0,2136446.0,fasta,,43413986,1520619196.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,536612166,bam,2018-03-09 18:18:23.258367,92921.0,305.0
411609930,bam,2018-03-09 18:25:20.887801,slurm_normal,1520620249.0,0,7680.0,1.0,main_w3_handler0,3449972,18675336,False,,12771447,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 34327235}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 34179187}]",history,"[{'src': 'hda', 'id': 34327270}]","""LENIENT""",32.0,2136446.0,fasta,,43413986,1520619932.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,558576264,bam,2018-03-09 18:30:51.067100,92921.0,317.0
324721417,bam,2018-02-24 13:11:26.777584,slurm_normal,1519478006.0,0,7680.0,1.0,main_w3_handler1,3441090,18506791,False,,12602728,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 34047335}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",0,hg19,,cached,"[{'src': 'hda', 'id': 34047335}]","""LENIENT""",32.0,,,,44134966,1519477897.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,324721417,bam,2018-02-24 13:13:27.567834,,109.0
7654471751,bam,2017-08-23 01:44:32.067867,slurm_normal,1503455131.0,0,,1.0,main_w4_handler1,3228456,16637259,False,,10709463.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 30958124}]}}]",paired_one_file,"""false""","""false""",[],[],"""/galaxy-repl/localdata/chrom/?.len""","""true""","""true""","""?""","""false""","""false""","""1""","""BestMapq""","""0""","""0""",0,mm10,,cached,"[{'src': 'hda', 'id': 30958124}]","""LENIENT""",32.0,,,,39993512,1503452683.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,7654471751,bam,2017-08-23 02:25:34.996050,38451.0,2448.0
28525885798,sam,2017-08-25 06:55:57.146576,slurm_normal,1503647839.0,0,,1.0,main_w3_handler1,3228456,16656082,False,,10727950.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 30957550}]}}]",paired_one_file,"""false""","""false""",[],[],"""/galaxy-repl/localdata/chrom/?.len""","""true""","""true""","""?""","""false""","""false""","""1""","""BestMapq""","""0""","""0""",0,mm10,,cached,"[{'src': 'hda', 'id': 30958124}]","""LENIENT""",32.0,,,,40063451,1503644171.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,7654471751,bam,2017-08-25 08:16:29.964370,38451.0,3668.0
25651746246,sam,2017-08-29 23:52:17.541303,slurm_normal,1504054415.0,0,,1.0,main_w3_handler0,3228456,16688914,False,,10760947.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31038148}]}}]",paired_one_file,"""false""","""false""",[],[],"""/galaxy-repl/localdata/chrom/?.len""","""true""","""true""","""?""","""false""","""false""","""1""","""BestMapq""","""0""","""0""",0,mm10,,cached,"[{'src': 'hda', 'id': 31038349}]","""LENIENT""",32.0,,,,40147368,1504050882.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,7272270956,bam,2017-08-30 00:53:37.268925,38451.0,3533.0
22526017684,sam,2017-09-07 01:37:38.446686,slurm_normal,1504751795.0,0,,1.0,main_w4_handler1,3228456,16756646,False,,10823125.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31132176}]}}]",paired_one_file,"""false""","""false""",[],[],"""/galaxy-repl/localdata/chrom/?.len""","""true""","""true""","""?""","""false""","""false""","""1""","""BestMapq""","""0""","""0""",0,mm10,,cached,"[{'src': 'hda', 'id': 31137625}]","""LENIENT""",32.0,,,,40319504,1504748396.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,7106253103,bam,2017-09-07 02:36:38.384327,38451.0,3399.0
13157045,bam,2017-09-18 06:20:02.104366,slurm_normal,1505715619.0,0,,1.0,main_w4_handler0,3256562,16851246,False,,10918184.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31285574}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Homo_sapiens_nuHg19_mtrCRS.len""","""true""","""true""","""Homo_sapiens_nuHg19_mtrCRS""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",0,hg19,,cached,"[{'src': 'hda', 'id': 31285574}]","""LENIENT""",32.0,,,,40587376,1505715609.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,13157045,bam,2017-09-18 06:20:21.344072,111584.0,10.0
2702354133,sam,2017-10-08 16:38:43.991650,slurm_normal,1507481145.0,0,,1.0,main_w3_handler0,3088949,17051691,False,,11108229.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31604128}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""false""","""false""","""1""","""BestMapq""","""0""","""0""",0,mm10,,cached,"[{'src': 'hda', 'id': 31604386}]","""LENIENT""",32.0,,,,41129719,1507480749.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,811945756,bam,2017-10-08 16:45:49.948189,104802.0,396.0
7708066,bam,2017-12-20 17:12:15.720018,slurm_normal,1513792610.0,0,,1.0,main_w4_handler1,3363302,17861224,False,,11934248,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33013395}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 32919524}]",history,"[{'src': 'hda', 'id': 33022379}]","""LENIENT""",32.0,12360704.0,fasta,,42311652,1513789939.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,9554273624,bam,2017-12-20 17:56:51.838429,108966.0,2671.0
5478678304,sam,2017-10-13 19:59:55.240932,slurm_normal,1507925553.0,0,,1.0,main_w3_handler1,3286726,17098414,False,,11155090.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31684343}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""false""","""false""","""1""","""BestMapq""","""0""","""0""",0,mm10,,cached,"[{'src': 'hda', 'id': 31683673}]","""LENIENT""",32.0,,,,41272130,1507924798.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,1643514049,bam,2017-10-13 20:12:38.411999,104802.0,755.0
3852564158,sam,2017-10-13 23:39:49.615720,slurm_normal,1507938558.0,0,,1.0,main_w3_handler1,3286726,17099260,False,,11156130.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31685668}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""false""","""false""","""1""","""BestMapq""","""0""","""0""",0,mm10,,cached,"[{'src': 'hda', 'id': 31685599}]","""LENIENT""",32.0,,,,41272130,1507937992.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,1120513323,bam,2017-10-13 23:49:21.501785,104802.0,566.0
6478551712,sam,2017-10-14 02:47:00.926004,slurm_normal,1507950048.0,0,,1.0,main_w4_handler0,3286726,17099645,False,,11156646.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31686242}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""false""","""false""","""1""","""BestMapq""","""0""","""0""",0,mm10,,cached,"[{'src': 'hda', 'id': 31685762}]","""LENIENT""",32.0,,,,41272130,1507949227.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,1980376106,bam,2017-10-14 03:00:56.120767,104802.0,821.0
14643496306,sam,2017-10-14 23:23:44.744288,slurm_normal,1508025421.0,0,,1.0,main_w4_handler1,3286726,17102843,False,,11160043.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31691206}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""false""","""false""","""1""","""BestMapq""","""0""","""0""",0,mm10,,cached,"[{'src': 'hda', 'id': 31690733}]","""LENIENT""",32.0,,,,41272130,1508023433.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,3912712341,bam,2017-10-14 23:57:02.611188,104802.0,1988.0
10959496796,sam,2017-10-15 03:16:00.039282,slurm_normal,1508038871.0,0,,1.0,main_w3_handler0,3286726,17103214,False,,11160475.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31691838}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""false""","""false""","""1""","""BestMapq""","""0""","""0""",0,mm10,,cached,"[{'src': 'hda', 'id': 31691759}]","""LENIENT""",32.0,,,,41272130,1508037363.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,2961404518,bam,2017-10-15 03:41:13.512969,104802.0,1508.0
2252570006,sam,2017-10-17 01:04:50.137019,slurm_normal,1508202622.0,0,,1.0,main_w4_handler0,3286726,17118210,False,,11175652,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31717271}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""false""","""false""","""1""","""BestMapq""","""0""","""0""",0,mm10,,cached,"[{'src': 'hda', 'id': 31716027}]","""LENIENT""",32.0,,,,41272130,1508202294.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,614939123,bam,2017-10-17 01:10:24.938912,104802.0,328.0
454407,bam,2017-10-17 19:32:23.104800,slurm_normal,1508268846.0,0,,1.0,main_w3_handler0,3289392,17122474,False,,11179113,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31720399}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",0,sacCer3,,cached,"[{'src': 'hda', 'id': 31723868}]","""LENIENT""",32.0,,,,41225896,1508268748.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,229266070,bam,2017-10-17 19:34:10.899405,108966.0,98.0
200053521,bam,2017-10-17 21:15:19.196655,slurm_normal,1508275066.0,0,,1.0,main_w3_handler1,3289392,17123482,False,,11180245,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31726249}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 31725804}]",history,"[{'src': 'hda', 'id': 31723868}]","""LENIENT""",32.0,12360636.0,fasta,,41225896,1508274933.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,229266070,bam,2017-10-17 21:17:51.861108,108966.0,133.0
229266070,bam,2017-10-17 21:35:31.829414,slurm_normal,1508276213.0,0,,1.0,main_w3_handler0,3289392,17123596,False,,11180406,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31723868}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/sacCer2.len""","""true""","""true""","""sacCer2""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",0,sacCer2,,cached,"[{'src': 'hda', 'id': 31726387}]","""LENIENT""",32.0,,,,41225896,1508276144.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,198901578,bam,2017-10-17 21:37:00.320413,108966.0,69.0
