aligned_or_read1_and_read2|aligned_bams_0|aligned_bam,aligned_or_read1_and_read2|aligned_bams_0|aligned_bam_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.add_mate_cigar,parameters.aligned_or_read1_and_read2.__current_case__,parameters.aligned_or_read1_and_read2.aligned_bams,parameters.aligned_or_read1_and_read2.aligned_or_read1_and_read2_selector,parameters.aligned_reads_only,parameters.aligner_proper_pair_flags,parameters.attributes_to_remove,parameters.attributes_to_retain,parameters.chromInfo,parameters.clip_adapters,parameters.clip_overlapping_reads,parameters.dbkey,parameters.include_secondary_alignments,parameters.is_bisulfite_sequence,parameters.max_insertions_or_deletions,parameters.primary_alignment_strategy,parameters.read1_trim,parameters.read2_trim,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.unmapped_bam.values,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,unmapped_bam,unmapped_bam_filetype,update_time,user_id,runtime
1376228258,bam,2017-12-11 23:22:36.652249,slurm_normal,1513034633.0,0,,1.0,main_w4_handler1,3296993,17778208,False,,11846296,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 31992179}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""-1""","""BestMapq""","""0""","""0""",0,sacCer3,,cached,"[{'src': 'hda', 'id': 32864454}]","""LENIENT""",32.0,,,,42311652,1513034566.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,16303990,bam,2017-12-11 23:23:57.005448,108966.0,67.0
1460165307,bam,2017-12-12 04:17:47.965905,slurm_normal,1513052817.0,0,,1.0,main_w3_handler1,3362074,17779528,False,,11847710,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 32867165}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 32866855}]",history,"[{'src': 'hda', 'id': 32867081}]","""LENIENT""",32.0,12360704.0,fasta,,42311652,1513052277.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,1376228258,bam,2017-12-12 04:26:59.659323,108966.0,540.0
16298070,bam,2017-12-13 20:46:49.559846,slurm_normal,1513198448.0,0,,1.0,main_w4_handler0,3363302,17800572,False,,11870055,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 32919561}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 32919524}]",history,"[{'src': 'hda', 'id': 32920708}]","""LENIENT""",32.0,12360704.0,fasta,,42311652,1513198021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,1376221926,bam,2017-12-13 20:54:10.603878,108966.0,427.0
534781700,sam,2018-01-25 18:05:09.175721,slurm_normal,1516903928.0,0,,1.0,main_w3_handler1,3289348,18156984,False,,12238136,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33499607}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 33043257}]",history,"[{'src': 'hda', 'id': 33414485}]","""SILENT""",32.0,190438056.0,fasta,,43328438,1516903531.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,77611681,bam,2018-01-25 18:12:56.100430,113756.0,397.0
108661549,bam,2018-01-25 18:04:39.832908,slurm_normal,1516903993.0,0,,1.0,main_w4_handler0,3289348,18156982,False,,12238129,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33499561}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 33043257}]",history,"[{'src': 'hda', 'id': 33414485}]","""SILENT""",32.0,190438056.0,fasta,,43328438,1516903500.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,77611681,bam,2018-01-25 18:13:22.331651,113756.0,493.0
97660963,bam,2018-01-29 20:05:03.659445,slurm_normal,1517256446.0,0,,1.0,main_w3_handler1,3386654,18192815,False,,12273404,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33559344}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 33557885}]",history,"[{'src': 'hda', 'id': 33559414}]","""SILENT""",32.0,16864.0,fasta,,43526372,1517256315.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,102491155,bam,2018-01-29 20:07:30.002981,119579.0,131.0
383864545,sam,2018-01-29 20:04:30.825842,slurm_normal,1517256410.0,0,,1.0,main_w4_handler1,3386654,18192798,False,,12273388,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33559319}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 33557885}]",history,"[{'src': 'hda', 'id': 33559413}]","""SILENT""",32.0,16864.0,fasta,,43526372,1517256293.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,77966561,bam,2018-01-29 20:06:52.405757,119579.0,117.0
69029612,bam,2018-01-29 20:04:31.858247,slurm_normal,1517256415.0,0,,1.0,main_w3_handler0,3386654,18192799,False,,12273395,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33559334}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 33557885}]",history,"[{'src': 'hda', 'id': 33559413}]","""SILENT""",32.0,16864.0,fasta,,43526372,1517256301.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,77966561,bam,2018-01-29 20:06:57.041520,119579.0,114.0
493736750,sam,2018-01-29 20:05:03.257258,slurm_normal,1517256446.0,0,,1.0,main_w3_handler1,3386654,18192814,False,,12273402,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 33559325}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 33557885}]",history,"[{'src': 'hda', 'id': 33559414}]","""SILENT""",32.0,16864.0,fasta,,43526372,1517256314.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,102491155,bam,2018-01-29 20:07:30.050571,119579.0,132.0
492488680,bam,2018-03-09 16:56:19.975521,slurm_normal,1520614899.0,0,7680.0,1.0,main_w3_handler1,3449972,18674287,False,,12770512,slurm,,132112168.0,corral-repl,,"""true""",0,"[{'__index__': 0, 'aligned_bam': {'values': [{'src': 'hda', 'id': 34179811}]}}]",paired_one_file,"""false""","""false""",[],[],"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""true""","""true""","""?""","""true""","""false""","""1""","""BestMapq""","""0""","""0""",1,,"[{'src': 'hda', 'id': 34179187}]",history,"[{'src': 'hda', 'id': 34327063}]","""LENIENT""",32.0,2136446.0,fasta,,43413986,1520614593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeBamAlignment/2.7.1.0,2.7.1.0,,660294662,bam,2018-03-09 17:01:44.212161,92921.0,306.0
