create_time,destination_id,end_epoch,exit_code,features,features1,features1_filetype,features2,features2_filetype,features_filetype,featuresheader,featuresheader_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.conditionaltype.__current_case__,parameters.conditionaltype.alignment,parameters.conditionaltype.smoothing,parameters.dbkey,parameters.features.values,parameters.featuresheader.values,parameters.plotres.average,parameters.plotres.conditionalplottype.__current_case__,parameters.plotres.conditionalplottype.plottype,parameters.plotres.conditionalplottype.probabilitiessection.prob0,parameters.plotres.conditionalplottype.probabilitiessection.prob1,parameters.plotres.conditionalplottype.probabilitiessection.prob2,parameters.plotres.conditionalplottype.probabilitiessection.probabilities,parameters.plotres.size,parameters.regions.values,parameters.regionsheader.values,parameters.zerobased,processor_count,regions,regions1,regions1_filetype,regions2,regions2_filetype,regions3,regions3_filetype,regions4,regions4_filetype,regions_filetype,regionsheader,regionsheader_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-08-21 20:04:39.757326,slurm_normal,1503345919.0,0,222300,222300,bed,220628.0,bed,bed,56.0,tabular,,1.0,main_w4_handler0,3222809,16626434,False,,10698091.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,center,no,"""?""","[{'src': 'hda', 'id': 30882690}, {'src': 'hda', 'id': 30882691}]","[{'src': 'hda', 'id': 30882689}]",true,0,boxplot,0.25,0.5,0.75,[],true,"[{'src': 'hda', 'id': 30882685}, {'src': 'hda', 'id': 30882686}, {'src': 'hda', 'id': 30882687}]","[{'src': 'hda', 'id': 30882684}]","""TRUE""",32.0,597,597,bed,479,bed,664.0,bed,,,bed,155.0,tabular,,39267366,1503345895.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_loadandplot/iwtomics_loadandplot/1.0.0.0,1.0.0.0,,2017-08-21 20:05:30.979006,21457.0,24.0
2017-08-21 20:19:28.776363,slurm_normal,1503346803.0,0,222300,222300,bed,220628.0,bed,bed,56.0,tabular,,1.0,main_w4_handler1,3216480,16626545,False,,10698409.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,center,no,"""?""","[{'src': 'hda', 'id': 30799789}, {'src': 'hda', 'id': 30799790}]","[{'src': 'hda', 'id': 30799788}]",true,0,boxplot,0.25,0.5,0.75,[],true,"[{'src': 'hda', 'id': 30799784}, {'src': 'hda', 'id': 30799785}, {'src': 'hda', 'id': 30799786}, {'src': 'hda', 'id': 30799787}]","[{'src': 'hda', 'id': 30799783}]","""TRUE""",32.0,597,597,bed,479,bed,664.0,bed,843.0,bed,bed,155.0,tabular,,39886679,1503346778.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_loadandplot/iwtomics_loadandplot/1.0.0.0,1.0.0.0,,2017-08-21 20:20:10.252541,54213.0,25.0
2017-08-31 16:49:49.814474,slurm_normal,1504198484.0,0,222300,222300,bed,220628.0,bed,bed,56.0,tabular,,1.0,main_w4_handler0,3216480,16705146,False,,10777847.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,center,no,"""?""","[{'src': 'hda', 'id': 30799789}, {'src': 'hda', 'id': 30799790}]","[{'src': 'hda', 'id': 30799788}]",true,0,boxplot,0.25,0.5,0.75,[],true,"[{'src': 'hda', 'id': 30799784}, {'src': 'hda', 'id': 30799785}, {'src': 'hda', 'id': 30799786}, {'src': 'hda', 'id': 30799787}]","[{'src': 'hda', 'id': 30799783}]","""TRUE""",32.0,597,597,bed,479,bed,664.0,bed,843.0,bed,bed,155.0,tabular,,39886679,1504198201.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_loadandplot/iwtomics_loadandplot/1.0.0.0,1.0.0.0,,2017-08-31 16:54:52.812851,54213.0,283.0
2017-10-09 19:17:59.106635,slurm_normal,1507576699.0,0,393725,393725,interval,,,interval,,,,1.0,main_w3_handler1,3271029,17058121,False,,11115436.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,center,no,"""?""","[{'src': 'hda', 'id': 31614567}]",,true,0,boxplot,0.25,0.5,0.75,[],true,"[{'src': 'hda', 'id': 31614565}, {'src': 'hda', 'id': 31614566}]",,"""TRUE""",32.0,27313,27313,bed,30652,bed,,,,,bed,,,,40965185,1507576685.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_loadandplot/iwtomics_loadandplot/1.0.0.0,1.0.0.0,,2017-10-09 19:18:22.523936,,14.0
2017-12-06 19:32:23.080197,slurm_normal,1512588773.0,0,393725,393725,interval,,,interval,142.0,tabular,,1.0,main_w4_handler0,3354453,17723871,False,,11789738,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,center,no,"""?""","[{'src': 'hda', 'id': 32776853}]","[{'src': 'hda', 'id': 32776857}]",true,0,boxplot,0.25,0.5,0.75,[],true,"[{'src': 'hda', 'id': 32776851}, {'src': 'hda', 'id': 32776852}]","[{'src': 'hda', 'id': 32776856}]","""TRUE""",32.0,30652,30652,bed,27313,bed,,,,,bed,224.0,tabular,,41821143,1512588756.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_loadandplot/iwtomics_loadandplot/1.0.0.0,1.0.0.0,,2017-12-06 19:32:57.371466,101581.0,17.0
2017-12-07 16:26:45.209066,slurm_normal,1512664035.0,0,393725,393725,interval,,,interval,142.0,tabular,,1.0,main_w3_handler0,3354453,17737781,False,,11804157,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,center,no,"""?""","[{'src': 'hda', 'id': 32801707}]","[{'src': 'hda', 'id': 32801709}]",true,0,boxplot,0.25,0.5,0.75,[],true,"[{'src': 'hda', 'id': 32801705}, {'src': 'hda', 'id': 32801706}]","[{'src': 'hda', 'id': 32801708}]","""TRUE""",32.0,30652,30652,bed,27313,bed,,,,,bed,224.0,tabular,,41821143,1512664019.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_loadandplot/iwtomics_loadandplot/1.0.0.0,1.0.0.0,,2017-12-07 16:27:18.635659,101581.0,16.0
2017-12-07 16:57:34.552863,slurm_normal,1512665886.0,0,393725,393725,interval,,,interval,142.0,tabular,,1.0,main_w3_handler1,3354453,17738233,False,,11804565,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,center,no,"""?""","[{'src': 'hda', 'id': 32802365}]","[{'src': 'hda', 'id': 32802368}]",true,0,boxplot,0.25,0.5,0.75,[],true,"[{'src': 'hda', 'id': 32802363}, {'src': 'hda', 'id': 32802364}]","[{'src': 'hda', 'id': 32802367}]","""TRUE""",32.0,30652,30652,bed,27313,bed,,,,,bed,224.0,tabular,,41821143,1512665869.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_loadandplot/iwtomics_loadandplot/1.0.0.0,1.0.0.0,,2017-12-07 16:58:17.160242,101581.0,17.0
2017-12-07 20:37:27.493699,slurm_normal,1512679076.0,0,393725,393725,interval,,,interval,142.0,tabular,,1.0,main_w4_handler1,3357743,17740337,False,,11806588,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,center,no,"""?""","[{'src': 'hda', 'id': 32805331}]","[{'src': 'hda', 'id': 32805338}]",true,0,boxplot,0.25,0.5,0.75,[],true,"[{'src': 'hda', 'id': 32805329}, {'src': 'hda', 'id': 32805330}]","[{'src': 'hda', 'id': 32805337}]","""TRUE""",32.0,30652,30652,bed,27313,bed,,,,,bed,224.0,tabular,,41821143,1512679062.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_loadandplot/iwtomics_loadandplot/1.0.0.0,1.0.0.0,,2017-12-07 20:38:01.825195,101581.0,14.0
2018-01-22 18:26:00.773312,slurm_normal,1516645597.0,0,393725,393725,interval,,,interval,142.0,tabular,,1.0,main_w4_handler0,3401049,18123727,False,,12201699,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,center,no,"""?""","[{'src': 'hda', 'id': 33448030}]","[{'src': 'hda', 'id': 33448054}]",true,0,boxplot,0.25,0.5,0.75,[],true,"[{'src': 'hda', 'id': 33448028}, {'src': 'hda', 'id': 33448029}]","[{'src': 'hda', 'id': 33448053}]","""TRUE""",32.0,30652,30652,bed,27313,bed,,,,,bed,224.0,tabular,,43355232,1516645581.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_loadandplot/iwtomics_loadandplot/1.0.0.0,1.0.0.0,,2018-01-22 18:26:41.779865,101581.0,16.0
2018-02-19 19:35:00.083137,slurm_normal,1519068931.0,0,393725,393725,interval,,,interval,142.0,tabular,7680.0,1.0,main_w4_handler1,3435007,18439572,False,,12534085,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,center,no,"""?""","[{'src': 'hda', 'id': 33944478}]","[{'src': 'hda', 'id': 33944482}]",true,0,boxplot,0.25,0.5,0.75,[],true,"[{'src': 'hda', 'id': 33944476}, {'src': 'hda', 'id': 33944477}]","[{'src': 'hda', 'id': 33944481}]","""TRUE""",32.0,30652,30652,bed,27313,bed,,,,,bed,224.0,tabular,,43355232,1519068912.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_loadandplot/iwtomics_loadandplot/1.0.0.0,1.0.0.0,,2018-02-19 19:35:33.901629,101581.0,19.0
