create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,name,name_filetype,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.diffs,parameters.fasta.values,parameters.fasta|__identifier__,parameters.gapextend,parameters.gapopen,parameters.match,parameters.mismatch,parameters.name.values,parameters.name|__identifier__,parameters.topdown,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-24 13:39:29.563954,slurm_normal,1508852394.0,0,48362733,mothur.align,,1.0,main_w3_handler0,3276720,17196906,False,,11256006,slurm,,132112168.0,196198.0,mothur.count_table,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""2""","[{'src': 'hda', 'id': 31851121}]",,"""-1""","""-2""","""1""","""-1""","[{'src': 'hda', 'id': 31850982}]",,"""true""",32.0,,41090485.0,1508852382.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster/1.36.1.0,1.36.1.0,,2017-10-24 13:39:59.941054,112972.0,12.0
2018-03-04 23:23:52.136077,slurm_normal,1520205851.0,0,406067,fasta,7680.0,1.0,main_w4_handler0,3437115,18603879,False,,12699161,slurm,,132112168.0,51878.0,mothur.count_table,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""2""","[{'src': 'hda', 'id': 34206473}]",,"""-1""","""-2""","""1""","""-1""","[{'src': 'hda', 'id': 34206474}]",,"""true""",32.0,,44053269.0,1520205846.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster/1.36.1.0,1.36.1.0,,2018-03-04 23:24:17.949410,122464.0,5.0
2018-01-04 08:50:56.581727,slurm_normal,1515106638.0,0,6992215,fasta,,1.0,main_w3_handler0,3381610,17942087,False,,12018084,slurm,,132112168.0,5548803.0,mothur.names,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""1""","[{'src': 'hda', 'id': 33166901}]",,"""-1""","""-2""","""1""","""-1""","[{'src': 'hda', 'id': 33166902}]",,"""true""",32.0,,42575159.0,1515055864.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster/1.36.1.0,1.36.1.0,,2018-01-04 22:57:24.430843,10761.0,50774.0
2017-10-27 11:09:42.047343,slurm_normal,1509105241.0,0,70,fasta,,1.0,main_w3_handler1,3302099,17238720,False,,11299695,slurm,,132112168.0,104.0,mothur.count_table,corral-repl,,"""4a459548bb0711e78748005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""4""","[{'src': 'hda', 'id': 31922222}]",,"""-1""","""-2""","""1""","""-1""","[{'src': 'hda', 'id': 31922225}]",,"""true""",32.0,,,1509105236.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster/1.36.1.0,1.36.1.0,,2017-10-27 11:54:19.039696,72172.0,5.0
2017-10-27 11:03:40.467573,slurm_normal,1509105612.0,0,70,fasta,,1.0,main_w3_handler0,3302094,17238631,False,,11299768,slurm,,132112168.0,104.0,mothur.count_table,corral-repl,,"""71e8f05abb0611e79fc3005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""4""","[{'src': 'hda', 'id': 31921913}]",,"""-1""","""-2""","""1""","""-1""","[{'src': 'hda', 'id': 31921916}]",,"""true""",32.0,,,1509105607.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster/1.36.1.0,1.36.1.0,,2017-10-27 12:00:17.604348,72172.0,5.0
2017-10-27 11:08:38.893507,slurm_normal,1509105721.0,0,70,fasta,,1.0,main_w3_handler1,3302097,17238700,False,,11299802,slurm,,132112168.0,104.0,mothur.count_table,corral-repl,,"""0d4d609ebb0711e7a597005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""4""","[{'src': 'hda', 'id': 31922155}]",,"""-1""","""-2""","""1""","""-1""","[{'src': 'hda', 'id': 31922158}]",,"""true""",32.0,,,1509105717.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster/1.36.1.0,1.36.1.0,,2017-10-27 12:02:17.505953,72172.0,4.0
2017-10-27 11:11:34.434582,slurm_normal,1509105747.0,0,70,fasta,,1.0,main_w3_handler1,3302101,17238741,False,,11299805,slurm,,132112168.0,104.0,mothur.count_table,corral-repl,,"""791858c4bb0711e79865005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""4""","[{'src': 'hda', 'id': 31922292}]",,"""-1""","""-2""","""1""","""-1""","[{'src': 'hda', 'id': 31922295}]",,"""true""",32.0,,,1509105742.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster/1.36.1.0,1.36.1.0,,2017-10-27 12:02:42.933751,72172.0,5.0
2017-10-29 19:57:02.083270,slurm_normal,1509307208.0,0,460029,fasta,,1.0,main_w4_handler1,3303860,17258731,False,,11317003,slurm,,132112168.0,71395.0,mothur.count_table,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""2""","[{'src': 'hda', 'id': 31954837}]",,"""-1""","""-2""","""1""","""-1""","[{'src': 'hda', 'id': 31954866}]",,"""true""",32.0,,41333763.0,1509307043.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster/1.36.1.0,1.36.1.0,,2017-10-29 20:00:18.696448,110472.0,165.0
2017-10-30 15:35:44.632172,slurm_normal,1509377795.0,0,2305667,fasta,,1.0,main_w4_handler1,3304442,17265834,False,,11324969,slurm,,132112168.0,328629.0,mothur.count_table,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""2""","[{'src': 'hda', 'id': 31966824}]",,"""-1""","""-2""","""1""","""-1""","[{'src': 'hda', 'id': 31966825}]",,"""true""",32.0,,39677360.0,1509377788.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster/1.36.1.0,1.36.1.0,,2017-10-30 15:38:24.705308,654.0,7.0
2017-11-01 07:35:28.702085,slurm_normal,1509523103.0,0,1410515574,mothur.align,,1.0,main_w3_handler0,3302101,17283276,False,,11344522,slurm,,132112168.0,5187840.0,mothur.count_table,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""4""","[{'src': 'hda', 'id': 31922282}]",,"""-1""","""-2""","""1""","""-1""","[{'src': 'hda', 'id': 31922285}]",,"""true""",32.0,,41658202.0,1509521739.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pre_cluster/mothur_pre_cluster/1.36.1.0,1.36.1.0,,2017-11-01 07:58:56.834802,72172.0,1364.0
