chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,kraken_output,kraken_output_filetype,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.kraken_database,parameters.kraken_output.values,parameters.kraken_output|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-22 16:44:00.505143,slurm_normal,1511369073.0,0,,1.0,main_w3_handler1,3335706,17551592,False,,11611852,slurm,1909694,taxonomy,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 32474996}]",,32.0,,42182557.0,1511369050.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.2.3,1.2.3,,2017-11-22 16:44:35.583574,116461.0,23.0
,,2017-10-24 17:36:12.745384,slurm_normal,1508866605.0,0,,1.0,main_w3_handler1,3297149,17200629,False,,11259874,slurm,64080124,tabular,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 31832454}]",,32.0,,41476027.0,1508866584.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.2.3,1.2.3,,2017-10-24 17:36:46.844172,23806.0,21.0
,,2017-12-05 12:53:06.786525,slurm_normal,1512478413.0,0,,1.0,main_w4_handler0,3345838,17701716,False,,11766390,slurm,6502919,tabular,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 32738051}]",,32.0,,42449947.0,1512478393.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.2.3,1.2.3,,2017-12-05 12:53:34.977589,117591.0,20.0
,,2017-12-07 08:59:30.257762,slurm_normal,1512637268.0,0,,1.0,main_w4_handler1,3345799,17731313,False,,11797623,slurm,11953612,tabular,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 32788348}]",,32.0,,42509436.0,1512637225.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.2.3,1.2.3,,2017-12-07 09:01:11.076638,117583.0,43.0
,,2017-10-26 20:35:09.314292,slurm_normal,1509050195.0,0,,1.0,main_w3_handler0,3301012,17233644,False,,11293920,slurm,52834394,tabular,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 31902330}]",,32.0,,41543622.0,1509050131.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.2.3,1.2.3,,2017-10-26 20:36:42.433094,23806.0,64.0
,,2018-02-02 15:19:14.259070,slurm_normal,1517739709.0,0,,1.0,main_w4_handler1,3413492,18236367,False,,12332254,slurm,527498822,tabular,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 33635909}]",,32.0,,43635577.0,1517739655.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.2.3,1.2.3,,2018-02-04 10:21:50.995301,84166.0,54.0
,,2017-11-30 02:10:47.205758,slurm_normal,1512007925.0,0,,1.0,main_w4_handler1,3345796,17644199,False,,11703751,slurm,7485219,tabular,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 32635888}]",,32.0,,42338805.0,1512007858.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.2.3,1.2.3,,2017-11-30 02:12:07.443507,117581.0,67.0
,,2017-12-07 08:44:36.212302,slurm_normal,1512636380.0,0,,1.0,main_w4_handler1,3345799,17731211,False,,11797432,slurm,4836501,tabular,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 32788130}]",,32.0,,42509436.0,1512636313.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.2.3,1.2.3,,2017-12-07 08:46:24.060896,117583.0,67.0
,,2018-02-02 14:56:25.962080,slurm_normal,1517646206.0,0,,1.0,main_w3_handler1,3413492,18235875,False,,12326265,slurm,337014685,tabular,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","[{'src': 'hda', 'id': 33635284}]",,32.0,,43635577.0,1517646138.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.2.3,1.2.3,,2018-02-03 08:23:39.556502,84166.0,68.0
,,2018-03-02 15:26:20.579162,slurm_normal,1520004441.0,0,7680.0,1.0,main_w3_handler0,3313851,18582534,False,,12677094,slurm,1883685,tabular,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""plasmids""","[{'src': 'hda', 'id': 34172299}]",,32.0,,43586355.0,1520004415.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_report/kraken-report/1.2.3,1.2.3,,2018-03-02 15:27:25.494497,114247.0,26.0
