create_time,destination_id,end_epoch,exit_code,forward,forward_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.allow_outies,parameters.chromInfo,parameters.dbkey,parameters.generate_histogram,parameters.layout.__current_case__,parameters.layout.forward.values,parameters.layout.reads.values,parameters.layout.reverse.values,parameters.layout.select_layout,parameters.max_mismatch_density,parameters.max_overlap,parameters.min_overlap,processor_count,reads1,reads1_filetype,reads2,reads2_filetype,reverse,reverse_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-18 15:49:56.961727,slurm_normal,1508341943.0,0,2625698260.0,fastqsanger,,1.0,main_w4_handler0,3065572,17134002,False,,11190824,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""",0,"[{'src': 'hda', 'id': 31724850}]",,"[{'src': 'hda', 'id': 31724851}]",individual,"""0.25""","""65""","""10""",32.0,,,,,2625698260.0,fastqsanger,,41331706.0,1508341844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/flash/flash/1.2.11.1,1.2.11.1,,2017-10-18 15:52:45.222481,103834.0,99.0
2017-10-18 15:54:52.727706,slurm_normal,1508342319.0,0,3511608213.0,fastqsanger,,1.0,main_w4_handler1,3065572,17134065,False,,11190918,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""",0,"[{'src': 'hda', 'id': 31724862}]",,"[{'src': 'hda', 'id': 31724864}]",individual,"""0.25""","""65""","""10""",32.0,,,,,3511608213.0,fastqsanger,,41331706.0,1508342177.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/flash/flash/1.2.11.1,1.2.11.1,,2017-10-18 15:58:55.855621,103834.0,142.0
2017-10-11 15:43:12.001620,slurm_normal,1507736613.0,0,275943519.0,fastqsanger,,1.0,main_w4_handler1,3281317,17079736,False,,11135515.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""",0,"[{'src': 'hda', 'id': 31623210}]",,"[{'src': 'hda', 'id': 31623385}]",individual,"""0.25""","""100""","""10""",32.0,,,,,275943519.0,fastqsanger,,41180913.0,1507736594.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/flash/flash/1.2.11.1,1.2.11.1,,2017-10-11 15:43:37.952185,105745.0,19.0
2017-10-11 15:47:44.897075,slurm_normal,1507736898.0,0,417574303.0,fastqsanger,,1.0,main_w4_handler1,3281317,17079789,False,,11135583.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""",0,"[{'src': 'hda', 'id': 31622903}]",,"[{'src': 'hda', 'id': 31623153}]",individual,"""0.25""","""65""","""10""",32.0,,,,,417574303.0,fastqsanger,,41180913.0,1507736870.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/flash/flash/1.2.11.1,1.2.11.1,,2017-10-11 15:48:21.824458,105745.0,28.0
2017-10-12 08:53:53.033906,slurm_normal,1507798458.0,0,417574303.0,fastqsanger,,1.0,main_w3_handler0,3281317,17084897,False,,11141007.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""",0,"[{'src': 'hda', 'id': 31622903}]",,"[{'src': 'hda', 'id': 31623153}]",individual,"""0.5""","""400""","""40""",32.0,,,,,417574303.0,fastqsanger,,41180913.0,1507798439.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/flash/flash/1.2.11.1,1.2.11.1,,2017-10-12 08:54:23.177571,105745.0,19.0
2017-10-11 19:12:26.418252,slurm_normal,1507749214.0,0,104501118.0,fastq,,1.0,main_w4_handler1,3283527,17081491,False,,11137301.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""",0,"[{'src': 'hda', 'id': 31654931}]",,"[{'src': 'hda', 'id': 31654932}]",individual,"""0.25""","""65""","""10""",32.0,,,,,104509680.0,fastq,,41223431.0,1507749205.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/flash/flash/1.2.11.1,1.2.11.1,,2017-10-11 19:13:44.620527,,9.0
2017-10-12 08:53:04.420018,slurm_normal,1507798428.0,0,417574303.0,fastqsanger,,1.0,main_w3_handler1,3281317,17084893,False,,11141005.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""",0,"[{'src': 'hda', 'id': 31622903}]",,"[{'src': 'hda', 'id': 31623153}]",individual,"""0.25""","""400""","""50""",32.0,,,,,417574303.0,fastqsanger,,41180913.0,1507798409.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/flash/flash/1.2.11.1,1.2.11.1,,2017-10-12 08:54:00.192693,105745.0,19.0
2017-10-12 15:39:42.245153,slurm_normal,1507822850.0,0,73541925.0,fastq,,1.0,main_w4_handler1,3285016,17088457,False,,11144582.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""",0,"[{'src': 'hda', 'id': 31665859}]",,"[{'src': 'hda', 'id': 31665860}]",individual,"""0.25""","""200""","""10""",32.0,,,,,73822107.0,fastq,,40982380.0,1507822840.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/flash/flash/1.2.11.1,1.2.11.1,,2017-10-12 15:41:00.487645,88558.0,10.0
2017-10-13 17:24:35.462342,slurm_normal,1507915503.0,0,87137959.0,fastq,,1.0,main_w3_handler0,3286443,17097089,False,,11153768.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""",0,"[{'src': 'hda', 'id': 31679877}]",,"[{'src': 'hda', 'id': 31679869}]",individual,"""0.25""","""150""","""5""",32.0,,,,,87137959.0,fastq,,41268912.0,1507915493.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/flash/flash/1.2.11.1,1.2.11.1,,2017-10-13 17:25:12.403475,49970.0,10.0
2017-10-13 15:28:30.897586,slurm_normal,1507908529.0,0,75196106.0,fastq,,1.0,main_w4_handler0,3275744,17096241,False,,11152730.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""",0,"[{'src': 'hda', 'id': 31561313}]",,"[{'src': 'hda', 'id': 31561312}]",individual,"""0.25""","""65""","""10""",32.0,,,,,75196106.0,fastq,,41268912.0,1507908516.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/flash/flash/1.2.11.1,1.2.11.1,,2017-10-13 15:28:54.629602,49970.0,13.0
