beds,beds1,beds1_filetype,beds2,beds2_filetype,beds3,beds3_filetype,beds4,beds4_filetype,beds5,beds5_filetype,beds6,beds6_filetype,beds7,beds7_filetype,beds8,beds8_filetype,beds9,beds9_filetype,beds_0|input,beds_0|input_filetype,beds_1|input,beds_1|input_filetype,beds_2|input,beds_2|input_filetype,beds_3|input,beds_3|input_filetype,beds_4|input,beds_4|input_filetype,beds_5|input,beds_5|input_filetype,beds_6|input,beds_6|input_filetype,beds_7|input,beds_7|input_filetype,beds_8|input,beds_8|input_filetype,beds_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,names|beds_0|input,names|beds_0|input_filetype,object_store_id,param_filename,parameters.both,parameters.chromInfo,parameters.counts,parameters.dbkey,parameters.inputA,parameters.inputA.values,parameters.names.__current_case__,parameters.names.beds,parameters.names.beds.values,parameters.names.names_select,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
12058080.0,12058080.0,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed,,,2016-02-04 20:42:41.414740,slurm_normal,1454618602.0,0,1.0,main_w1_handler2,2578950,11713212,False,,633644,vcf,5971004.roundup,slurm,,132112168.0,,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""",23085352,,1,23119391,,no,"""""",32.0,,28101190,1454618589.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.22.0,2.22.0,,2016-02-04 20:43:28.284923,77257.0,13.0
2426078.0,2426078.0,bed,2525600.0,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed,,,2015-12-31 21:32:24.078549,slurm_normal,1451597694.0,0,1.0,main_w1_handler2,2529151,11354736,False,,2525600,bed,5627770.roundup,slurm,,132112168.0,,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/278.len""","""False""","""278""",22697130,,1,"22701261,22697130",,no,"""""",32.0,,26604475,1451597640.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.22.0,2.22.0,,2015-12-31 21:34:57.640852,74827.0,54.0
2426078.0,2426078.0,bed,2525600.0,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed,,,2015-12-31 21:32:23.318537,slurm_normal,1451597789.0,0,1.0,main_w1_handler0,2529151,11354735,False,,2426078,bed,5627771.roundup,slurm,,132112168.0,,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/278.len""","""False""","""278""",22701261,,1,"22701261,22697130",,no,"""""",32.0,,26604475,1451597640.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.22.0,2.22.0,,2015-12-31 21:36:31.348978,74827.0,149.0
2876286.0,2876286.0,bed,2684447.0,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed,,,2016-01-01 03:21:38.753448,slurm_normal,1451618540.0,0,1.0,main_w1_handler2,2552391,11355202,False,,3598016,bed,5628241.roundup,slurm,,132112168.0,,,corral-repl,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""True""","""hg19""",22701843,,1,"22701769,22701772",,no,"""""",32.0,,26552201,1451618531.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.22.0,2.22.0,,2016-01-01 03:22:22.443090,74621.0,9.0
2876286.0,2876286.0,bed,2684447.0,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed,,,2016-01-01 03:21:36.986820,slurm_normal,1451618542.0,0,1.0,main_w2_handler1,2552391,11355201,False,,6536587,bed,5628240.roundup,slurm,,132112168.0,,,corral-repl,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""True""","""hg19""",22701842,,1,"22701769,22701772",,no,"""""",32.0,,26552201,1451618531.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.22.0,2.22.0,,2016-01-01 03:22:24.641573,74621.0,11.0
2876286.0,2876286.0,bed,2684447.0,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed,,,2016-01-01 03:20:02.032023,slurm_normal,1451618452.0,0,1.0,main_w1_handler2,2552391,11355190,False,Job output deleted by user before job completed.,6536587,bed,5628229.roundup,slurm,,132112168.0,,,corral-repl,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""True""","""hg19""",22701842,,1,"22701769,22701772",,no,"""""",32.0,,26552201,1451618436.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.22.0,2.22.0,,2016-01-01 03:20:53.086673,74621.0,16.0
2876286.0,2876286.0,bed,2684447.0,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed,,,2016-01-01 03:21:35.497430,slurm_normal,1451618590.0,0,1.0,main_w1_handler0,2552391,11355200,False,,4826514,bed,5628251.roundup,slurm,,132112168.0,,,corral-repl,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""True""","""hg19""",22701841,,1,"22701769,22701772",,no,"""""",32.0,,26552201,1451618580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.22.0,2.22.0,,2016-01-01 03:23:14.207871,74621.0,10.0
2876286.0,2876286.0,bed,2684447.0,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed,,,2016-01-01 03:21:33.691882,slurm_normal,1451618609.0,0,1.0,main_w1_handler0,2552391,11355199,False,,8214069,bed,5628248.roundup,slurm,,132112168.0,,,corral-repl,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""True""","""hg19""",22701840,,1,"22701769,22701772",,no,"""""",32.0,,26552201,1451618557.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.22.0,2.22.0,,2016-01-01 03:23:32.378602,74621.0,52.0
8214069.0,8214069.0,bed,4826514.0,bed,6536587.0,bed,3598016.0,bed,3598021.0,bed,33708987.0,bed,3543021.0,bed,3543005.0,bed,31008528.0,bed,,,,,,,,,,,,,,,,,,,bed,,,2016-01-01 03:33:23.582909,slurm_normal,1451619300.0,0,1.0,main_w1_handler1,2552391,11355250,False,,2876286,bed,5628281.roundup,slurm,,132112168.0,,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""",22701769,,1,"22701840,22701841,22701842,22701843,22701844,22701845,22701846,22701847,22701848",,no,"""""",32.0,,26552201,1451619238.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.22.0,2.22.0,,2016-01-01 03:35:02.625166,74621.0,62.0
2876286.0,2876286.0,bed,2684447.0,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bed,,,2016-01-01 03:21:42.078795,slurm_normal,1451618636.0,0,1.0,main_w2_handler1,2552391,11355207,False,,31008528,bed,5628252.roundup,slurm,,132112168.0,,,corral-repl,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""True""","""hg19""",22701848,,1,"22701769,22701772",,no,"""""",32.0,,26552201,1451618596.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_annotatebed/2.22.0,2.22.0,,2016-01-01 03:23:59.364197,74621.0,40.0
