corData,corData_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.corData,parameters.corData.values,parameters.dbkey,parameters.outFileFormat,parameters.outFileNameData,parameters.plotTitle,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2756518,deeptools_coverage_matrix,2016-05-02 08:45:31.311554,slurm_normal,1462181851.0,0,1.0,main_w1_handler1,2688408,12723060,False,,6927869.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bf48ded44ca3c932'}]","""hg38""","""png""","""false""","""PCA 5mC""",32.0,,28198923,1462181841.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-02 09:37:33.440610,70838.0,10.0
2797365,deeptools_coverage_matrix,2016-05-02 08:45:43.492798,slurm_normal,1462182412.0,0,1.0,main_w2_handler1,2688408,12723073,False,,6927995.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52d313c7e818f6004'}]","""hg38""","""png""","""false""","""PCA 5hmC""",32.0,,28198923,1462182401.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-02 09:46:55.754943,70838.0,11.0
2804199,deeptools_coverage_matrix,2016-05-02 08:45:54.470060,slurm_normal,1462184307.0,0,1.0,main_w1_handler1,2688408,12723097,False,,6928361.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532ff3d66f2f328ad'}]","""hg38""","""png""","""false""","""PCA input""",32.0,,28198923,1462184301.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-02 10:18:30.285607,70838.0,6.0
217614,deeptools_coverage_matrix,2016-05-02 16:59:15.153856,slurm_normal,1462208517.0,0,1.0,main_w1_handler2,2663268,12735476,False,,6934503.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f8145ae19b0ec522'}]","""mm9""","""png""","""false""","""""",32.0,,29538637,1462208399.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-02 17:02:01.150620,48080.0,118.0
5130035,deeptools_coverage_matrix,2016-05-02 17:19:27.579073,slurm_normal,1462209735.0,0,1.0,main_w2_handler1,2663268,12735620,False,,6934775.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d95546e9c0d02e72'}]","""mm9""","""png""","""false""","""""",32.0,,29538637,1462209609.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-02 17:22:20.151275,48080.0,126.0
3694308,deeptools_coverage_matrix,2016-05-04 15:27:07.846890,slurm_normal,1462379481.0,0,1.0,main_w2_handler1,2677536,12770861,False,,6974998.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58cc1d6e58dabf15f'}]","""hg19""","""png""","""false""","""D12 Bowtie BAMs""",32.0,,29911499,1462379467.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-04 16:31:37.072081,64365.0,14.0
1956456,deeptools_coverage_matrix,2016-05-05 11:58:42.113824,slurm_normal,1462452262.0,0,1.0,main_w2_handler0,2695715,12792327,False,,6992006.roundup,slurm,,132112168.0,corral-repl,,"""abbe07d612b811e6aaba005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d34d04b70cc98a64'}]","""hg19""","""png""","""false""","""""",32.0,,29445865,1462452249.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-05 12:44:24.622772,81993.0,13.0
7275323,deeptools_coverage_matrix,2016-05-07 17:06:42.844929,slurm_normal,1462640842.0,0,1.0,main_w1_handler0,2697306,12817071,False,,7018219.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cf45c6536b71c625'}]","""hg38""","""png""","""false""","""PCA of 16 samples""",32.0,,30084119,1462640830.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-07 17:07:23.292439,82005.0,12.0
91011,deeptools_coverage_matrix,2016-05-07 19:15:24.974135,slurm_normal,1462648562.0,0,1.0,main_w1_handler1,2696874,12817705,False,,7018871.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52ec7f2f509964003'}]","""hg19""","""png""","""false""","""""",32.0,,30078878,1462648557.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-07 19:16:05.019339,83951.0,5.0
6343588,deeptools_coverage_matrix,2016-05-09 13:46:32.058831,slurm_normal,1462801633.0,0,1.0,main_w1_handler1,2697306,12832154,False,,7033117.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b541deda0e69c7e3d8'}]","""hg38""","""png""","""false""","""Chromatin state""",32.0,,30102823,1462801616.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.2.0,2.2.2.0,,2016-05-09 13:47:38.468135,82005.0,17.0
