count,count_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,name,name_filetype,object_store_id,otu,otu_filetype,param_filename,parameters.__workflow_invocation_uuid__,parameters.basis,parameters.chromInfo,parameters.count.values,parameters.cutoff,parameters.dbkey,parameters.label,parameters.name.values,parameters.otu.values,parameters.persample,parameters.probs,parameters.reftax.__current_case__,parameters.reftax.source2,parameters.reftax.sum.values,parameters.reftax.taxonomy.values,parameters.tax.__current_case__,parameters.tax.source,parameters.tax.taxonomy.values,processor_count,runner_name,session_id,start_epoch,state,sum,sum_filetype,swaptotal,taxonomy,taxonomy_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
40706.0,mothur.count_table,2017-10-27 06:56:54.510543,slurm_normal,1509087500.0,0,,1.0,main_w4_handler0,3295976,17236945,False,,11297585,slurm,,132112168.0,,,corral-repl,122389,mothur.list,,"""f3fc5a8cbae311e7a597005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31809682}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918518}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31809691}]",32.0,,,1509087496.0,ok,,,1023996.0,107413,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 06:58:33.773263,72172,4.0
359230.0,mothur.count_table,2017-10-27 06:58:15.548716,slurm_normal,1509087609.0,0,,1.0,main_w3_handler0,3295979,17236962,False,,11297620,slurm,,132112168.0,,,corral-repl,1084323,mothur.list,,"""2c6f7af2bae411e78494005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31809900}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918561}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31809909}]",32.0,,,1509087601.0,ok,,,1023996.0,940385,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:01:20.457685,72172,8.0
314076.0,mothur.count_table,2017-10-27 07:00:14.993880,slurm_normal,1509087685.0,0,,1.0,main_w3_handler1,3295980,17236976,False,,11297625,slurm,,132112168.0,,,corral-repl,643960,mothur.list,,"""6c6b2598bae411e7a597005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31809945}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918596}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31809954}]",32.0,,,1509087679.0,ok,,,1023996.0,823958,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:01:47.038377,72172,6.0
3545.0,mothur.count_table,2017-10-27 07:19:43.766859,slurm_normal,1509088859.0,0,,1.0,main_w4_handler0,3296001,17237092,False,,11297767,slurm,,132112168.0,,,corral-repl,14008,mothur.list,,"""2b395f42bae711e7b7a8005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31810564}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918956}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31810575}]",32.0,,,1509088853.0,ok,,,1023996.0,9310,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:21:25.739741,72172,6.0
276356.0,mothur.count_table,2017-10-27 07:01:21.043123,slurm_normal,1509087808.0,0,,1.0,main_w3_handler0,3295984,17236983,False,,11297646,slurm,,132112168.0,,,corral-repl,834399,mothur.list,,"""9844b274bae411e7b44f005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31810005}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918621}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31810014}]",32.0,,,1509087801.0,ok,,,1023996.0,724195,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:04:46.143303,72172,7.0
208294.0,mothur.count_table,2017-10-27 07:02:26.692368,slurm_normal,1509087836.0,0,,1.0,main_w3_handler1,3295987,17236991,False,,11297648,slurm,,132112168.0,,,corral-repl,426550,mothur.list,,"""c7e5103cbae411e78421005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31810066}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918646}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31810076}]",32.0,,,1509087830.0,ok,,,1023996.0,545892,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:04:15.406064,72172,6.0
244904.0,mothur.count_table,2017-10-27 07:06:15.566984,slurm_normal,1509088060.0,0,,1.0,main_w3_handler1,3295994,17237026,False,,11297695,slurm,,132112168.0,,,corral-repl,739662,mothur.list,,"""4783ffc4bae511e7b66c005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31810303}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918765}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31810312}]",32.0,,,1509088055.0,ok,,,1023996.0,646345,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:08:10.409335,72172,5.0
349107.0,mothur.count_table,2017-10-27 07:04:21.040993,slurm_normal,1509088011.0,0,,1.0,main_w3_handler0,3295992,17237005,False,,11297684,slurm,,132112168.0,,,corral-repl,716158,mothur.list,,"""00044064bae511e7b66c005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31810178}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918694}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31810187}]",32.0,,,1509088006.0,ok,,,1023996.0,917876,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:07:37.470627,72172,5.0
388883.0,mothur.count_table,2017-10-27 07:08:52.849991,slurm_normal,1509088303.0,0,,1.0,main_w3_handler1,3295998,17237044,False,,11297720,slurm,,132112168.0,,,corral-repl,1173666,mothur.list,,"""a5ec48a0bae511e7952c005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31810466}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918838}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31810475}]",32.0,,,1509088297.0,ok,,,1023996.0,1014033,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:12:13.378137,72172,6.0
381917.0,mothur.count_table,2017-10-27 07:07:48.978803,slurm_normal,1509088338.0,0,,1.0,main_w4_handler0,3295997,17237034,False,,11297722,slurm,,132112168.0,,,corral-repl,1153274,mothur.list,,"""7f07cea8bae511e797bf005056ba55fb""","""otu""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31810411}]","""60""","""?""",,,"[{'src': 'hda', 'id': 31918807}]","""false""","""true""",0,,,,1,hist,"[{'src': 'hda', 'id': 31810423}]",32.0,,,1509088333.0,ok,,,1023996.0,998546,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,1.36.1.0,,2017-10-27 07:13:17.761776,72172,5.0
