chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.keep_sscs,parameters.min_reads,parameters.qual_format,parameters.qual_thres,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-01-27 12:52:59.254761,slurm_normal,1453899249.0,0,1.0,main_w2_handler0,2442115,11614229,False,,162057420,tabular,5878814.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23056517,,"""False""","""3""","""sanger""","""25""",32.0,,27820998.0,1453899205.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-01-27 12:54:12.412286,69506.0,44.0
,,2016-02-18 10:00:02.474704,slurm_normal,1455789651.0,0,1.0,main_w2_handler1,2592686,11865196,False,,54686527,sam,6105793.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23391218,,"""True""","""50""","""sanger""","""25""",32.0,,27861392.0,1455789646.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-02-18 10:00:59.668050,77405.0,5.0
,,2016-02-18 10:03:08.858780,slurm_normal,1455789826.0,0,1.0,main_w1_handler1,2592686,11865352,False,,54686527,sam,6105837.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23391218,,"""False""","""3""","""sanger""","""25""",32.0,,27861392.0,1455789820.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-02-18 10:03:56.486860,77405.0,6.0
,,2016-02-24 20:45:38.566166,slurm_normal,1456347123.0,0,1.0,main_w1_handler1,2610977,11932581,False,,1911,tabular,6161417.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23503348,,"""False""","""10""","""sanger""","""25""",32.0,,28238844.0,1456347113.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-02-24 20:52:09.213216,62216.0,10.0
,,2016-05-02 05:01:47.048733,slurm_normal,1462168060.0,0,1.0,main_w1_handler2,2691382,12719533,False,,51467964,tabular,6926108.roundup,slurm,,132112168.0,corral-repl,,"""f75bd0b2102211e68af9005056a52a46""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5db9c84a5066d294f'}]","""true""","""3""","""sanger""","""20""",32.0,,29967161.0,1462168050.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-05-02 05:47:41.909010,75824.0,10.0
,,2016-03-14 21:37:09.371872,slurm_normal,1458023685.0,0,1.0,main_w1_handler0,2633552,12132012,False,,924750404,tabular,6355149.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23835431,,"""True""","""3""","""sanger""","""25""",32.0,,28920883.0,1458023632.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-03-15 06:34:49.611134,80372.0,53.0
,,2016-06-20 20:45:07.449081,slurm_normal,1466455543.0,0,1.0,main_w1_handler1,2743471,13215397,False,,2639642,tabular,7400048.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fb7b64712c3da203'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455538.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:46.209437,86313.0,5.0
,,2016-06-20 20:44:59.833805,slurm_normal,1466455516.0,0,1.0,main_w1_handler0,2743471,13215388,False,,3495726,tabular,7400036.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53821b1e1bd123fc9'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455511.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:19.915715,86313.0,5.0
,,2016-06-20 20:45:10.490811,slurm_normal,1466455530.0,0,1.0,main_w2_handler1,2743471,13215402,False,,2879948,tabular,7400043.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fde3b2a0e99fe953'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455526.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:33.980995,86313.0,4.0
,,2016-06-20 20:45:20.912051,slurm_normal,1466455584.0,0,1.0,main_w2_handler1,2743471,13215425,False,,4591068,tabular,7400064.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b565fe8fd47acc4fd0'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:46:28.608056,86313.0,4.0
,,2016-06-20 20:45:06.821923,slurm_normal,1466455552.0,0,1.0,main_w1_handler1,2743471,13215396,False,,3216064,tabular,7400045.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5516a0842026b5064'}]","""false""","""3""","""sanger""","""25""",32.0,,30952259.0,1466455529.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/duplex/0.3,0.3,,2016-06-20 20:45:54.823005,86313.0,23.0
