create_time,destination_id,dist,dist_filetype,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,otu,otu_filetype,param_filename,parameters.chromInfo,parameters.dbkey,parameters.dist|__identifier__,parameters.fontsize,parameters.input.__current_case__,parameters.input.calc,parameters.input.dist.values,parameters.input.groups,parameters.input.label,parameters.input.otu.values,parameters.input.source,parameters.otu|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-11-19 07:45:24.533379,slurm_normal,1657.0,mothur.dist,1511077530.0,0,,1.0,main_w3_handler1,3329759,17506045,False,,11566564,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""thetayc.0.03.lt""","""24""",2.0,,"[{'src': 'hda', 'id': 32393655}]",,,,phylip,,32.0,,42083511,1511077526.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim/1.36.1.0,1.36.1.0,,2017-11-19 07:45:32.636654,113498.0,4.0
2017-11-19 07:45:22.715513,slurm_normal,1657.0,mothur.dist,1511077529.0,0,,1.0,main_w3_handler1,3329759,17506041,False,,11566562,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""jclass.0.03.lt.ave""","""24""",2.0,,"[{'src': 'hda', 'id': 32393651}]",,,,phylip,,32.0,,42083511,1511077525.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim/1.36.1.0,1.36.1.0,,2017-11-19 07:45:30.716593,113498.0,4.0
2017-11-19 07:45:25.281040,slurm_normal,1657.0,mothur.dist,1511077536.0,0,,1.0,main_w4_handler1,3329759,17506046,False,,11566566,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""thetayc.0.03.lt.std""","""24""",2.0,,"[{'src': 'hda', 'id': 32393656}]",,,,phylip,,32.0,,42083511,1511077532.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim/1.36.1.0,1.36.1.0,,2017-11-19 07:45:38.336929,113498.0,4.0
2017-11-19 07:45:23.698233,slurm_normal,1657.0,mothur.dist,1511077532.0,0,,1.0,main_w4_handler0,3329759,17506043,False,,11566565,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""jclass.0.03.lt.std""","""24""",2.0,,"[{'src': 'hda', 'id': 32393653}]",,,,phylip,,32.0,,42083511,1511077526.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim/1.36.1.0,1.36.1.0,,2017-11-19 07:45:38.864967,113498.0,6.0
2017-11-19 07:45:24.013380,slurm_normal,1657.0,mothur.dist,1511077545.0,0,,1.0,main_w4_handler0,3329759,17506044,False,,11566568,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""thetayc.0.03.lt.ave""","""24""",2.0,,"[{'src': 'hda', 'id': 32393654}]",,,,phylip,,32.0,,42083511,1511077540.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim/1.36.1.0,1.36.1.0,,2017-11-19 07:45:46.915252,113498.0,5.0
2018-01-12 07:46:25.817881,slurm_normal,,,1515743195.0,0,,1.0,main_w4_handler0,3389962,18011468,False,,12088809,slurm,,132112168.0,corral-repl,33283.0,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""24""",0.0,"['jest', 'thetayc']",,"['10', '11', '12', '13', '2', '3', '4', '5', '6', '7', '8', '9']",['0.03'],"[{'src': 'hda', 'id': 33276463}]",shared,,32.0,,43151651,1515743190.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim/1.36.1.0,1.36.1.0,,2018-01-12 07:46:37.416544,72172.0,5.0
2018-01-12 08:06:57.999345,slurm_normal,625.0,mothur.dist,1515744430.0,0,,1.0,main_w3_handler0,3389962,18011701,False,,12089002,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""24""",2.0,,"[{'src': 'hda', 'id': 33276779}]",,,,phylip,,32.0,,43151651,1515744424.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim/1.36.1.0,1.36.1.0,,2018-01-12 08:07:13.035285,72172.0,6.0
2018-01-12 08:07:06.825364,slurm_normal,625.0,mothur.dist,1515744435.0,0,,1.0,main_w4_handler0,3389962,18011702,False,,12089003,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"""24""",2.0,,"[{'src': 'hda', 'id': 33276780}]",,,,phylip,,32.0,,43151651,1515744431.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim/1.36.1.0,1.36.1.0,,2018-01-12 08:07:17.743974,72172.0,4.0
2018-03-06 14:21:06.818265,slurm_normal,1657.0,mothur.dist,1520346081.0,0,7680.0,1.0,main_w3_handler0,3443094,18624241,False,,12720544,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""jclass.0.03.lt.std""","""24""",2.0,,"[{'src': 'hda', 'id': 34239272}]",,,,phylip,,32.0,,44368180,1520346077.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim/1.36.1.0,1.36.1.0,,2018-03-06 14:21:23.157808,122824.0,4.0
2018-03-06 14:21:06.509246,slurm_normal,1657.0,mothur.dist,1520346081.0,0,7680.0,1.0,main_w3_handler1,3443094,18624240,False,,12720541,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""jclass.0.03.lt""","""24""",2.0,,"[{'src': 'hda', 'id': 34239270}]",,,,phylip,,32.0,,44368180,1520346077.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim/1.36.1.0,1.36.1.0,,2018-03-06 14:21:23.654466,122824.0,4.0
