create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.relabel,parameters.sizeout,parameters.sorting_mode.__current_case__,parameters.sorting_mode.infile,parameters.sorting_mode.maxsize,parameters.sorting_mode.minsize,parameters.sorting_mode.sorting_mode_select,parameters.topn,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-02 12:11:04.664497,slurm_normal,1454415100.0,0,1.0,main_w2_handler1,2215219,11677610,False,226809561,fasta,,5932184.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""""","""True""",1,23107138,,,sortbyabundance,"""""",32.0,,26689588,1454415088.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_sorting/1.1.3.2,1.1.3.2,,2016-02-02 12:11:43.212475,60032,12.0
2016-02-02 09:56:37.253156,slurm_normal,1454407014.0,0,1.0,main_w2_handler1,2585054,11669884,False,40236112,fasta,,5930075.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""","""True""",1,23130194,,,sortbyabundance,"""""",32.0,,27992077,1454407008.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_sorting/1.1.3.2,1.1.3.2,,2016-02-02 09:56:59.444986,62362,6.0
2016-02-02 09:55:49.832981,slurm_normal,1454406976.0,0,1.0,main_w2_handler1,2585054,11669823,False,40236112,fasta,,5930066.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""""","""False""",1,23130194,,,sortbyabundance,"""""",32.0,,27992077,1454406968.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_sorting/1.1.3.2,1.1.3.2,,2016-02-02 09:56:21.751893,62362,8.0
2016-02-08 19:52:44.781268,slurm_normal,1454961357.0,0,1.0,main_w1_handler1,2215219,11752575,False,10178615,fasta,,6007896.roundup,slurm,,132112168.0,corral-repl,,"""7be87046ce9d11e5b253005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""""","""True""",1,23243756,,,sortbyabundance,"""""",32.0,,27571111,1454961352.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_sorting/1.1.3.2,1.1.3.2,,2016-02-08 19:56:08.299829,60032,5.0
2016-02-07 21:40:03.014684,slurm_normal,1454881225.0,0,1.0,main_w1_handler2,2215219,11739683,False,17310692,fasta,,5996251.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""""","""True""",1,23227128,,,sortbyabundance,"""""",32.0,,27571111,1454881218.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_sorting/1.1.3.2,1.1.3.2,,2016-02-07 21:40:26.517050,60032,7.0
2016-02-08 09:46:40.365699,slurm_normal,1454924827.0,0,1.0,main_w1_handler1,2215219,11742462,False,15794431,fasta,,5998798.roundup,slurm,,132112168.0,corral-repl,,"""da3f1b40ce4811e5a5aa005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""""","""True""",1,23230805,,,sortbyabundance,"""""",32.0,,26689588,1454924823.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_sorting/1.1.3.2,1.1.3.2,,2016-02-08 09:47:10.042648,60032,4.0
2016-02-08 13:21:28.698238,slurm_normal,1454937884.0,0,1.0,main_w1_handler1,2215219,11746510,False,13527377,fasta,,6002678.roundup,slurm,,132112168.0,corral-repl,,"""d9d88948ce6611e5b101005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""""","""True""",1,23235679,,,sortbyabundance,"""""",32.0,,26689588,1454937879.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_sorting/1.1.3.2,1.1.3.2,,2016-02-08 13:24:46.135403,60032,5.0
2016-02-08 12:15:03.980325,slurm_normal,1454933728.0,0,1.0,main_w1_handler1,2215219,11745785,False,14364921,fasta,,6001423.roundup,slurm,,132112168.0,corral-repl,,"""951aed36ce5d11e58d91005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""""","""True""",1,23234486,,,sortbyabundance,"""""",32.0,,26689588,1454933724.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_sorting/1.1.3.2,1.1.3.2,,2016-02-08 12:15:30.854460,60032,4.0
2016-02-08 13:37:50.118323,slurm_normal,1454938868.0,0,1.0,main_w1_handler1,2215219,11746595,False,12009134,fasta,,6002820.roundup,slurm,,132112168.0,corral-repl,,"""22abfaf4ce6911e59898005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""""","""True""",1,23235829,,,sortbyabundance,"""""",32.0,,26689588,1454938863.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_sorting/1.1.3.2,1.1.3.2,,2016-02-08 13:41:10.882645,60032,5.0
2016-02-08 13:48:51.624971,slurm_normal,1454939532.0,0,1.0,main_w2_handler0,2215219,11747188,False,13542202,fasta,,6002995.roundup,slurm,,132112168.0,corral-repl,,"""adf22ce0ce6a11e5a1e0005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""""","""True""",1,23236456,,,sortbyabundance,"""""",32.0,,26689588,1454939527.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_sorting/1.1.3.2,1.1.3.2,,2016-02-08 13:52:14.803725,60032,5.0
