create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile_control,infile_control_filetype,infile_treatment,infile_treatment_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bdgcmp_options.__current_case__,parameters.bdgcmp_options.bdgcmp_options_selector,parameters.bdgcmp_options.pseudocount,parameters.chromInfo,parameters.dbkey,parameters.infile_control.values,parameters.infile_treatment.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-09 17:42:19.236105,slurm_normal,1515520725.0,0,,1.0,main_w3_handler1,1934684,17984537,False,2550276335,bedgraph,1002168351,bedgraph,,12060546,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33233485}]","[{'src': 'hda', 'id': 33233492}]",32.0,,43087692.0,1515520077.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2018-01-09 17:58:48.391543,46725.0,648.0
2018-01-09 19:01:40.038426,slurm_normal,1515525686.0,0,,1.0,main_w4_handler1,1934684,17985011,False,2589171060,bedgraph,763955697,bedgraph,,12061348,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33234133}]","[{'src': 'hda', 'id': 33234496}]",32.0,,43087692.0,1515525051.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2018-01-09 19:21:28.985706,46725.0,635.0
2017-11-08 22:32:03.319048,slurm_normal,1510180718.0,0,,1.0,main_w4_handler1,2934619,17388047,False,296624712,bedgraph,1718642580,bedgraph,,11449646,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 32133561}]","[{'src': 'hda', 'id': 32133560}]",32.0,,41648724.0,1510180350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-08 22:38:43.991658,46988.0,368.0
2017-11-08 22:32:52.165478,slurm_normal,1510180823.0,0,,1.0,main_w4_handler0,2934619,17388065,False,376112596,bedgraph,1813815828,bedgraph,,11449657,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 32153286}]","[{'src': 'hda', 'id': 32153285}]",32.0,,41648724.0,1510180405.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-08 22:40:32.415258,46988.0,418.0
2018-01-10 18:50:15.436699,slurm_normal,1515610579.0,0,,1.0,main_w4_handler1,2922150,17995554,False,390268523,bedgraph,1507236683,bedgraph,,12072290,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 29252062}]","[{'src': 'hda', 'id': 29252061}]",32.0,,41648724.0,1515610228.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2018-01-10 18:56:36.504906,46988.0,351.0
2018-01-10 18:47:46.343938,slurm_normal,1515610521.0,0,,1.0,main_w4_handler0,2922150,17995521,False,426636993,bedgraph,1731927367,bedgraph,,12072275,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 29252165}]","[{'src': 'hda', 'id': 29252164}]",32.0,,41648724.0,1515610071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2018-01-10 18:55:34.050595,46988.0,450.0
2017-11-09 15:01:04.061614,slurm_normal,1510239871.0,0,,1.0,main_w3_handler1,3307182,17397623,False,550956203,bedgraph,569238061,bedgraph,,11459352,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005166}]","[{'src': 'hda', 'id': 32005168}]",32.0,,41648362.0,1510239674.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-09 15:04:33.645831,59928.0,197.0
2017-11-09 15:15:33.406806,slurm_normal,1510241167.0,0,,1.0,main_w4_handler0,3307182,17397767,False,2059712468,bedgraph,2017325599,bedgraph,,11459574,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005171}]","[{'src': 'hda', 'id': 32005169}]",32.0,,41648362.0,1510240550.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-09 15:26:15.125251,59928.0,617.0
2018-02-08 19:28:08.607104,slurm_normal,1518118167.0,0,7680.0,1.0,main_w4_handler0,2922150,18320537,False,61269994,bedgraph,201117492,bedgraph,,12404359,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 33735646}]","[{'src': 'hda', 'id': 33735645}]",32.0,,43532373.0,1518118098.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2018-02-08 19:29:29.279377,46988.0,69.0
2017-11-09 16:34:06.394947,slurm_normal,1510245619.0,0,,1.0,main_w3_handler0,3307182,17399210,False,1531015342,bedgraph,876192031,bedgraph,,11460574,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005995}]","[{'src': 'hda', 'id': 32005990}]",32.0,,41648362.0,1510245262.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-09 16:40:21.389780,59928.0,357.0
2017-11-09 16:35:41.785291,slurm_normal,1510245830.0,0,,1.0,main_w3_handler1,3307182,17399234,False,1036824640,bedgraph,1179637253,bedgraph,,11460666,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm6""","[{'src': 'hda', 'id': 32005177}]","[{'src': 'hda', 'id': 32005994}]",32.0,,41648362.0,1510245485.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.1.20160309.0,2.1.1.20160309.0,,2017-11-09 16:43:52.788001,59928.0,345.0
