create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageType,parameters.advancedOpt.colors,parameters.advancedOpt.outFileNameData,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotType,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.outFileFormat,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.scaleRegions.__current_case__,parameters.scaleRegions.endLabel,parameters.scaleRegions.showScaleRegionsOpt,parameters.scaleRegions.startLabel,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-13 18:18:49.846054,slurm_normal,1460571726.0,0,1.0,main_w2_handler1,2478539,12444543,False,,6642550.roundup,slurm,,527890,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,,false,false,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5601e3a2c307dfb08'}]",1,png,false,yes,0,,no,,32.0,,29576347,1460571571.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-04-13 18:22:09.326973,70907.0,155.0
2016-04-13 18:39:51.549683,slurm_normal,1460572846.0,0,1.0,main_w1_handler2,2478539,12444767,False,,6642746.roundup,slurm,,527890,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5601e3a2c307dfb08'}]",0,,,no,0,,no,,32.0,,29576347,1460572825.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-04-13 18:40:48.663755,70907.0,21.0
2016-04-12 01:48:30.004283,slurm_normal,1460425738.0,0,1.0,main_w1_handler0,2662005,12425058,False,,6625471.roundup,slurm,,114281,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,sum,,False,False,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24265016,,1,png,False,yes,1,TES,yes,TSS,32.0,,29491800,1460425733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-04-12 01:49:04.461586,3720.0,5.0
2016-04-12 00:41:40.664065,slurm_normal,1460421762.0,0,1.0,main_w1_handler2,2662005,12424600,False,,6624989.roundup,slurm,,76584,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,sum,,False,False,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24264386,,0,,,no,1,TES,yes,TSS,32.0,,29491800,1460421747.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-04-12 00:42:47.747151,3720.0,15.0
2016-04-12 01:19:33.843952,slurm_normal,1460424030.0,0,1.0,main_w2_handler0,2662005,12424873,False,,6625281.roundup,slurm,,83588,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,sum,,False,False,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24264756,,0,,,no,1,TES,yes,TSS,32.0,,29491800,1460424024.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-04-12 01:20:32.461813,3720.0,6.0
2016-04-12 01:17:10.303734,slurm_normal,1460423892.0,0,1.0,main_w2_handler0,2662005,12424859,False,,6625266.roundup,slurm,,81448,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,sum,,False,False,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24264733,,0,,,no,1,TES,yes,TSS,32.0,,29491800,1460423870.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-04-12 01:18:15.737020,3720.0,22.0
2016-04-12 01:07:11.191825,slurm_normal,1460423271.0,0,1.0,main_w1_handler1,2662005,12424804,False,,6625201.roundup,slurm,,85974,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,sum,,False,False,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24264658,,0,,,no,1,TES,yes,TSS,32.0,,29491800,1460423257.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-04-12 01:07:53.231281,3720.0,14.0
2016-04-12 01:28:15.761970,slurm_normal,1460424533.0,0,1.0,main_w1_handler0,2662005,12424917,False,,6625334.roundup,slurm,,107874,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,sum,,False,False,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24264845,,0,,,no,1,TES,yes,TSS,32.0,,29491800,1460424526.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-04-12 01:28:56.413218,3720.0,7.0
2016-04-12 01:51:54.162062,slurm_normal,1460425960.0,0,1.0,main_w1_handler1,2662005,12425072,False,,6625503.roundup,slurm,,175071,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,sum,,False,False,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24265036,,0,,,no,1,TES,yes,TSS,32.0,,29491800,1460425953.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-04-12 01:52:42.004823,3720.0,7.0
2016-04-12 01:10:59.020447,slurm_normal,1460423502.0,0,1.0,main_w1_handler1,2662005,12424829,False,,6625230.roundup,slurm,,82119,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,sum,,False,False,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",24264693,,0,,,no,1,TES,yes,TSS,32.0,,29491800,1460423490.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.2.0,2.2.2.0,,2016-04-12 01:11:45.641749,3720.0,12.0
