destination_id,fastq_input1,fastq_input1_filetype,fastq_input2,fastq_input2_filetype,galaxy_slots,handler,job_runner_name,memtotal,parameters.analysis_type.algorithmic_options.algorithmic_options_selector,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.io_options.io_options_selector,parameters.analysis_type.scoring_options.scoring_options_selector,parameters.fastq_input.fastq_input_selector,parameters.reference_source.index_a,parameters.reference_source.ref_file,parameters.rg.rg_selector,processor_count,ref_file,ref_file_filetype,overlapping_jobs,runtime
slurm_multi_dynamic_walltime,3120090064.0,uncompressed,3023664700.0,uncompressed,6.0,main_w3_handler2,slurm,132112168.0,,illumina,,,paired,auto,,do_not_set,32.0,60497880.0,uncompressed,2,1849.0
jetstream_tacc_multi,44791916.0,uncompressed,44791916.0,uncompressed,10.0,main_w3_handler2,pulsar_jetstream_tacc,30717400.0,do_not_set,full,do_not_set,set,paired,auto,,do_not_set,10.0,9303.0,uncompressed,0,16.0
slurm_multi_dynamic_walltime,404151117.0,uncompressed,,none,6.0,main_w3_handler2,slurm,132112168.0,,illumina,,,single,,hg19,set,32.0,,none,0,131.0
jetstream_tacc_multi,42234704.0,uncompressed,42234704.0,uncompressed,10.0,main_w4_handler2,pulsar_jetstream_tacc,30717400.0,do_not_set,full,do_not_set,set,paired,auto,,do_not_set,10.0,9303.0,uncompressed,0,14.0
jetstream_tacc_multi,43027222.0,uncompressed,43027222.0,uncompressed,10.0,main_w3_handler2,pulsar_jetstream_tacc,30717412.0,do_not_set,full,do_not_set,set,paired,auto,,do_not_set,10.0,9303.0,uncompressed,0,13.0
jetstream_tacc_multi,16678186.0,uncompressed,16678186.0,uncompressed,10.0,main_w4_handler2,pulsar_jetstream_tacc,30717400.0,,illumina,,,paired_collection,,dm6,do_not_set,10.0,,none,0,8.0
jetstream_tacc_multi,16523806.0,uncompressed,16523806.0,uncompressed,10.0,main_w3_handler2,pulsar_jetstream_tacc,30717400.0,,illumina,,,paired_collection,,dm6,do_not_set,10.0,,none,0,7.0
jetstream_tacc_multi,14023514.0,uncompressed,14023514.0,uncompressed,10.0,main_w4_handler2,pulsar_jetstream_tacc,30717400.0,,illumina,,,paired_collection,,dm6,do_not_set,10.0,,none,0,18.0
jetstream_tacc_multi,14110166.0,uncompressed,14110166.0,uncompressed,10.0,main_w3_handler2,pulsar_jetstream_tacc,30717400.0,,illumina,,,paired_collection,,dm6,do_not_set,10.0,,none,0,11.0
jetstream_tacc_multi,14422744.0,uncompressed,14422744.0,uncompressed,10.0,main_w3_handler2,pulsar_jetstream_tacc,30717400.0,,illumina,,,paired_collection,,dm6,do_not_set,10.0,,none,0,20.0
jetstream_tacc_multi,16683166.0,uncompressed,16683166.0,uncompressed,10.0,main_w3_handler2,pulsar_jetstream_tacc,30717400.0,,illumina,,,paired_collection,,dm6,do_not_set,10.0,,none,0,11.0
jetstream_tacc_multi,7942159.0,uncompressed,7942159.0,uncompressed,10.0,main_w3_handler2,pulsar_jetstream_tacc,30717280.0,,illumina,,,paired,,hg38,do_not_set,10.0,,none,0,80.0
jetstream_tacc_multi,5852002.0,uncompressed,5852002.0,uncompressed,10.0,main_w3_handler2,pulsar_jetstream_tacc,30717280.0,,illumina,,,paired,,hg38,do_not_set,10.0,,none,0,30.0
jetstream_tacc_multi,74537.0,uncompressed,74537.0,uncompressed,10.0,main_w4_handler2,pulsar_jetstream_tacc,30717400.0,do_not_set,full,do_not_set,set,paired,auto,,do_not_set,10.0,10673.0,uncompressed,0,8.0
jetstream_tacc_multi,74537.0,uncompressed,74537.0,uncompressed,10.0,main_w4_handler2,pulsar_jetstream_tacc,30717400.0,do_not_set,full,do_not_set,set,paired_collection,auto,,do_not_set,10.0,10673.0,uncompressed,0,8.0
jetstream_tacc_multi,12567981.0,uncompressed,12567981.0,uncompressed,10.0,main_w4_handler2,pulsar_jetstream_tacc,30717400.0,do_not_set,full,do_not_set,set,paired,auto,,do_not_set,10.0,10673.0,uncompressed,0,9.0
jetstream_tacc_multi,218733.0,uncompressed,218733.0,uncompressed,10.0,main_w3_handler2,pulsar_jetstream_tacc,30717400.0,do_not_set,full,do_not_set,set,paired,auto,,do_not_set,10.0,10673.0,uncompressed,0,6.0
jetstream_tacc_multi,2288866.0,uncompressed,,none,10.0,main_w4_handler2,pulsar_jetstream_tacc,30717400.0,,illumina,,,single,,hg38,do_not_set,10.0,,none,0,109.0
jetstream_iu_multi,53570554.0,uncompressed,,none,10.0,main_w4_handler2,pulsar_jetstream_iu,30717280.0,,illumina,,,single,,hg38,do_not_set,10.0,,none,0,276.0
jetstream_iu_multi,53570554.0,uncompressed,,none,10.0,main_w3_handler2,pulsar_jetstream_iu,30717280.0,,illumina,,,single,,hg38,do_not_set,10.0,,none,0,82.0
slurm_multi,17446251178.0,uncompressed,17446251178.0,uncompressed,6.0,main_w3_handler2,slurm,132112168.0,,illumina,,,paired,,hg19,do_not_set,32.0,,none,6,9079.0
jetstream_tacc_multi,28833157.0,uncompressed,28822703.0,uncompressed,10.0,main_w3_handler2,pulsar_jetstream_tacc,30717400.0,,illumina,,,paired,auto,,set,10.0,4424.0,uncompressed,0,21.0
slurm_multi_dynamic_walltime,27292507.0,uncompressed,,none,6.0,main_w3_handler2,slurm,132112168.0,,illumina,,,single,auto,,do_not_set,32.0,14903.0,uncompressed,0,14.0
slurm_multi_dynamic_walltime,8169525.0,uncompressed,,none,6.0,main_w4_handler2,slurm,132112168.0,,illumina,,,single,auto,,do_not_set,32.0,14903.0,uncompressed,0,7.0
slurm_multi_dynamic_walltime,17774583.0,uncompressed,,none,6.0,main_w4_handler2,slurm,132112168.0,,illumina,,,single,auto,,do_not_set,32.0,14903.0,uncompressed,0,10.0
slurm_multi_dynamic_walltime,26487439.0,uncompressed,,none,6.0,main_w4_handler2,slurm,132112168.0,,illumina,,,single,auto,,do_not_set,32.0,14903.0,uncompressed,0,13.0
slurm_multi_dynamic_walltime,12146679.0,uncompressed,,none,6.0,main_w4_handler2,slurm,132112168.0,,illumina,,,single,auto,,do_not_set,32.0,14903.0,uncompressed,0,8.0
slurm_multi_dynamic_walltime,14113171.0,uncompressed,,none,6.0,main_w4_handler2,slurm,132112168.0,,illumina,,,single,auto,,do_not_set,32.0,14903.0,uncompressed,0,8.0
slurm_multi_dynamic_walltime,17820171.0,uncompressed,,none,6.0,main_w4_handler2,slurm,132112168.0,,illumina,,,single,auto,,do_not_set,32.0,14903.0,uncompressed,0,9.0
slurm_multi_dynamic_walltime,13939423.0,uncompressed,,none,6.0,main_w3_handler2,slurm,132112168.0,,illumina,,,single,auto,,do_not_set,32.0,14903.0,uncompressed,0,8.0
slurm_multi_dynamic_walltime,11237969.0,uncompressed,,none,6.0,main_w4_handler2,slurm,132112168.0,,illumina,,,single,auto,,do_not_set,32.0,14903.0,uncompressed,0,8.0
