	fastq_input1	fastq_input11	fastq_input11_filetype	fastq_input12	fastq_input12_filetype	fastq_input1_filetype	fastq_input2	fastq_input2_filetype	parameters.analysis_type.algorithmic_options.algorithmic_options_selector	parameters.analysis_type.analysis_type_selector	parameters.analysis_type.io_options.io_options_selector	parameters.analysis_type.scoring_options.A	parameters.analysis_type.scoring_options.B	parameters.analysis_type.scoring_options.E	parameters.analysis_type.scoring_options.O	parameters.analysis_type.scoring_options.U	parameters.analysis_type.scoring_options.scoring_options_selector	parameters.fastq_input.fastq_input_selector	parameters.reference_source.index_a	parameters.reference_source.ref_file	parameters.rg.rg_selector	ref_file	ref_file_filetype	runtime
1179	21501671.0		none		none	uncompressed		none		illumina								single		hg19	do_not_set		none	103.0
1180	26487439.0		none		none	uncompressed		none		illumina								single		hg19	do_not_set		none	17.0
1181	32239388.0		none		none	uncompressed	32076587.0	uncompressed		illumina								paired		hg19	do_not_set		none	14.0
1182	24143463.0		none		none	uncompressed	24144275.0	uncompressed		illumina								paired		hg38canon	set		none	14.0
1183	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg38canon	set		none	95.0
1184	25389640.0		none		none	uncompressed	25390880.0	uncompressed		illumina								paired		hg38canon	set		none	15.0
1185	270614958.0		none		none	uncompressed	251350376.0	uncompressed		illumina								paired		hg19	set		none	99.0
1186	251350376.0		none		none	uncompressed	270614958.0	uncompressed		illumina								paired		hg19	set		none	120.0
1187	270614958.0		none		none	uncompressed	251350376.0	uncompressed		illumina								paired		hg19	set		none	23.0
1188	286959488.0		none		none	uncompressed	287837428.0	uncompressed		illumina								paired		hg19	set		none	99.0
1189	120631856461.0		none		none	uncompressed	120631856461.0	uncompressed		illumina								paired	auto		do_not_set	864.0	uncompressed	42894.0
1190	24143463.0		none		none	uncompressed	24144275.0	uncompressed		illumina								paired		hg19	do_not_set		none	71.0
1191	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg19	do_not_set		none	101.0
1192	25389640.0		none		none	uncompressed	25390880.0	uncompressed		illumina								paired		hg19	do_not_set		none	98.0
1193	355406557.0		none		none	uncompressed	335530298.0	uncompressed		illumina								paired		vicPac1	set		none	190.0
1194	269482848.0		none		none	uncompressed	251350376.0	uncompressed		illumina								paired		hg19	set		none	98.0
1195		11705788.0	uncompressed	8015856.0	uncompressed	none		none	do_not_set	full	do_not_set	1.0	4.0	1,1	3,3	17.0	set	paired_collection	auto		do_not_set	10673.0	uncompressed	9.0
1196		7587160.0	uncompressed	7547898.0	uncompressed	none		none	do_not_set	full	do_not_set	1.0	4.0	1,1	3,3	17.0	set	paired_collection	auto		do_not_set	10673.0	uncompressed	15.0
1197		13570220.0	uncompressed	13570220.0	uncompressed	none		none	do_not_set	full	do_not_set	1.0	4.0	1,1	3,3	17.0	set	paired_collection	auto		do_not_set	10673.0	uncompressed	13.0
1198		10179040.0	uncompressed	10179040.0	uncompressed	none		none	do_not_set	full	do_not_set	1.0	4.0	1,1	3,3	17.0	set	paired_collection	auto		do_not_set	10673.0	uncompressed	9.0
1199	193026444.0		none		none	uncompressed	193026444.0	uncompressed		illumina								paired		eschColi_K12	do_not_set		none	67.0
1200	1939573.0		none		none	compressed	2038409.0	compressed		illumina								paired		hg38	set		none	115.0
1201	4404499.0		none		none	compressed	4236137.0	compressed		illumina								paired		hg38	set		none	119.0
1202	24143463.0		none		none	uncompressed	24144275.0	uncompressed		illumina								paired		hg19	do_not_set		none	104.0
1203	25389640.0		none		none	uncompressed	25390880.0	uncompressed		illumina								paired		hg19	do_not_set		none	107.0
1204	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg19	do_not_set		none	139.0
1205	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg19	do_not_set		none	20.0
1206	7044814822.0		none		none	uncompressed		none		pacbio								single	auto		do_not_set	1559177.0	uncompressed	1631.0
1207	589347610.0		none		none	uncompressed	589347610.0	uncompressed		illumina								paired	auto		set	20333338.0	uncompressed	309.0
1208	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg19	do_not_set		none	91.0
1209	24143463.0		none		none	uncompressed	24144275.0	uncompressed		illumina								paired		hg19	do_not_set		none	100.0
1210	25389640.0		none		none	uncompressed	25390880.0	uncompressed		illumina								paired		hg19	do_not_set		none	15.0
1211	25389640.0		none		none	uncompressed	25390880.0	uncompressed		illumina								paired		hg19	do_not_set		none	20.0
1212	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg19	do_not_set		none	18.0
1213	24143463.0		none		none	uncompressed	24144275.0	uncompressed		illumina								paired		hg19	do_not_set		none	17.0
1214	7044814822.0		none		none	uncompressed		none		pacbio								single	auto		do_not_set	151509336.0	uncompressed	5774.0
1215	23249529169.0		none		none	uncompressed	23249529169.0	uncompressed		pacbio								paired	auto		do_not_set	1559177.0	uncompressed	8357.0
1216	8505110483.0		none		none	uncompressed	8516831055.0	uncompressed		illumina								paired	auto		set_id_auto	392887002.0	uncompressed	5332.0
1217	25389640.0		none		none	uncompressed	25390880.0	uncompressed		illumina								paired		hg19	do_not_set		none	17.0
1218	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg19	do_not_set		none	18.0
1219	38164079.0		none		none	uncompressed	38152911.0	uncompressed		illumina								paired	auto		set	4424.0	uncompressed	12.0
1220	24143463.0		none		none	uncompressed	24144275.0	uncompressed		illumina								paired		hg19	do_not_set		none	16.0
1221	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg19	set		none	24.0
1222	25389640.0		none		none	uncompressed	25390880.0	uncompressed		illumina								paired		hg19	set		none	98.0
1223	24143463.0		none		none	uncompressed	24144275.0	uncompressed		illumina								paired		hg19	set		none	18.0
1224	24143463.0		none		none	uncompressed	24144275.0	uncompressed		illumina								paired		hg19	do_not_set		none	101.0
1225	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg19	do_not_set		none	71.0
1226	25389640.0		none		none	uncompressed	25390880.0	uncompressed		illumina								paired		hg19	do_not_set		none	18.0
1227	24143463.0		none		none	uncompressed	24144275.0	uncompressed		illumina								paired		hg19	set_id_auto		none	106.0
1228	25389640.0		none		none	uncompressed	25390880.0	uncompressed		illumina								paired		hg19	set_id_auto		none	17.0
1229	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg19	set_id_auto		none	107.0
1230	21501671.0		none		none	uncompressed		none		illumina								single	auto		do_not_set	15002.0	uncompressed	10.0
1231	48123671.0		none		none	uncompressed	48116893.0	uncompressed		illumina								paired	auto		set	4424.0	uncompressed	17.0
1232	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg19	set		none	113.0
1233		12289814.0	uncompressed	12289814.0	uncompressed	none		none	do_not_set	full	do_not_set	1.0	4.0	1,1	3,3	17.0	set	paired_collection	auto		do_not_set	10673.0	uncompressed	10.0
1234	25389640.0		none		none	uncompressed	25390880.0	uncompressed		illumina								paired		hg19	set		none	117.0
1235	24143463.0		none		none	uncompressed	24144275.0	uncompressed		illumina								paired		hg19	set		none	114.0
1236	589347610.0		none		none	uncompressed	589347610.0	uncompressed		illumina								paired	auto		set	20333338.0	uncompressed	266.0
1237	589347610.0		none		none	uncompressed	589347610.0	uncompressed		illumina								paired	auto		set	20333338.0	uncompressed	269.0
1238	21501671.0		none		none	uncompressed		none		illumina								single	auto		do_not_set	14903.0	uncompressed	10.0
1239	261473075.0		none		none	uncompressed	261473075.0	uncompressed		illumina								paired	auto		do_not_set	16451.0	uncompressed	83.0
1240	7975314687.0		none		none	compressed		none		illumina								single		hg19	do_not_set		none	6097.0
1241	261473075.0		none		none	uncompressed	261473075.0	uncompressed		illumina								paired	auto		do_not_set	16451.0	uncompressed	79.0
1242	21894809.0		none		none	uncompressed	21897293.0	uncompressed		illumina								paired	auto		set	4424.0	uncompressed	9.0
1243		44791916.0	uncompressed	44791916.0	uncompressed	none		none	do_not_set	full	do_not_set	1.0	3.0	1,1	6,6	17.0	set	paired_collection	auto		do_not_set	9334.0	uncompressed	14.0
1244	44791916.0		none		none	uncompressed	44791916.0	uncompressed	do_not_set	full	do_not_set	1.0	2.0	1,1	6,6	17.0	set	paired	auto		do_not_set	9303.0	uncompressed	16.0
1245	42234704.0		none		none	uncompressed	42234704.0	uncompressed		illumina								paired	auto		do_not_set	9303.0	uncompressed	13.0
1246	940705760.0		none		none	uncompressed	892909580.0	uncompressed		illumina								paired	auto		do_not_set	5400900.0	uncompressed	348.0
1247	209604469.0		none		none	uncompressed	208371351.0	uncompressed		illumina								paired	auto		set	4424.0	uncompressed	40.0
1248		100094212.0	uncompressed	95609308.0	uncompressed	none		none		illumina								paired_collection		hg19	do_not_set		none	115.0
1249	940705760.0		none		none	uncompressed	892909580.0	uncompressed		illumina								paired	auto		do_not_set	5400900.0	uncompressed	12.0
1250	129488183.0		none		none	uncompressed	120798207.0	uncompressed		illumina								paired		hg_g1k_v37	do_not_set		none	17.0
1251	149448119.0		none		none	uncompressed	148356583.0	uncompressed		illumina								paired		hg_g1k_v37	do_not_set		none	160.0
1252	3311739485.0		none		none	uncompressed		none		illumina								single	auto		do_not_set	1579393.0	uncompressed	529.0
1253	940705760.0		none		none	uncompressed	892909580.0	uncompressed		illumina								paired	auto		do_not_set	5400900.0	uncompressed	411.0
1254	3335568107.0		none		none	uncompressed		none		illumina								single	auto		do_not_set	41867.0	uncompressed	551.0
1255	6808645.0		none		none	uncompressed	6808645.0	uncompressed		illumina								paired		hg38	do_not_set		none	115.0
1256	124446846.0		none		none	uncompressed	123517714.0	uncompressed		illumina								paired		hg_g1k_v37	do_not_set		none	193.0
1257	6917499755.0		none		none	uncompressed		none		illumina								single		sacCer3	set_id_auto		none	664.0
1258	107022742.0		none		none	uncompressed	98843784.0	uncompressed		illumina								paired		hg_g1k_v37	do_not_set		none	184.0
1259	20835264202.0		none		none	uncompressed		none		illumina								single		hg19	do_not_set		none	6234.0
1260	6719384735.0		none		none	uncompressed		none		illumina								single		sacCer3	set_id_auto		none	721.0
1261	6353002.0		none		none	uncompressed	6353002.0	uncompressed		illumina								paired		hg38	do_not_set		none	134.0
1262	4404499.0		none		none	compressed	4236137.0	compressed		illumina								paired		hg38	set		none	58.0
1263	6355676.0		none		none	uncompressed	6355676.0	uncompressed		illumina								paired		hg38	do_not_set		none	124.0
1264	7944303.0		none		none	uncompressed	7944303.0	uncompressed		illumina								paired		hg38	do_not_set		none	46.0
1265	1939573.0		none		none	compressed	2038409.0	compressed		illumina								paired		hg38	set		none	126.0
1266	769581645.0		none		none	uncompressed		none		illumina								single		hg19	set		none	383.0
1267	7905584.0		none		none	uncompressed	7905584.0	uncompressed		illumina								paired		hg38	do_not_set		none	36.0
1268	4404499.0		none		none	compressed	4236137.0	compressed		illumina								paired		hg38	set		none	14.0
1269	1736232116.0		none		none	uncompressed		none		illumina								single		hg19_rCRS_pUC18_phiX174	do_not_set		none	853.0
1270	75509568.0		none		none	uncompressed		none		illumina								single		mm10	do_not_set		none	112.0
1271	1736232116.0		none		none	uncompressed		none		illumina								single		hg19_rCRS_pUC18_phiX174	do_not_set		none	859.0
1272	19301473233.0		none		none	uncompressed		none		illumina								single		hg19	do_not_set		none	5611.0
1273	20835264202.0		none		none	uncompressed		none		illumina								single		hg19	do_not_set		none	6173.0
1274	17275585875.0		none		none	uncompressed		none		illumina								single		hg19_rCRS_pUC18_phiX174	do_not_set		none	6544.0
1275	25389640.0		none		none	uncompressed	25390880.0	uncompressed		illumina								paired		hg19	do_not_set		none	99.0
1276	32247479.0		none		none	uncompressed	32246969.0	uncompressed		illumina								paired		hg19	set		none	96.0
1277	24143463.0		none		none	uncompressed	24144275.0	uncompressed		illumina								paired		hg19	do_not_set		none	107.0
1278	25389640.0		none		none	uncompressed	25390880.0	uncompressed		illumina								paired		hg19	do_not_set		none	106.0
