create_time,destination_id,exit_code,handler,history_id,id,imported,infile_control_cond1,infile_control_cond1_filetype,infile_control_cond2,infile_control_cond2_filetype,infile_pileup_cond1,infile_pileup_cond1_filetype,infile_pileup_cond2,infile_pileup_cond2_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.depth1,parameters.depth2,parameters.infile_control_cond1,parameters.infile_control_cond2,parameters.infile_pileup_cond1,parameters.infile_pileup_cond2,parameters.maxgap,parameters.minlen,parameters.outputs,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-25 17:16:58.936110,slurm_normal,,main_w1_handler1,2295829,11943021,False,3462280794,bedgraph,2767139140,bedgraph,2767139140,bedgraph,2138045294,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6172366.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",23469156,23469155,23469155,23484921,"""100""","""200""","[""--ofile-both-conditions""]",,26819022,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-25 17:40:42.668886,16545,1423.732776
2016-02-16 16:55:59.498888,slurm_normal,,main_w1_handler1,2391887,11848906,False,7004272892,bedgraph,6310870185,bedgraph,3620112776,bedgraph,3425399031,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6092908.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""1.0""","""mm9""","""60179306""","""57217054""",23356613,23356610,23356614,23356612,"""60""","""120""","[""--ofile-cond1""]",,28423136,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-16 17:53:39.971216,54005,3460.4723280000003
2016-03-02 08:38:29.054057,slurm_normal,,main_w1_handler1,2295829,11987024,False,3462280794,bedgraph,2767139140,bedgraph,2767139140,bedgraph,2138045294,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6218777.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",23469156,23469155,23469155,23484921,"""100""","""200""","[""--ofile-both-conditions""]",,26819022,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-03-02 08:55:22.710772,16545,1013.6567150000001
2016-02-15 20:45:00.223014,slurm_normal,,main_w1_handler0,2391887,11837301,False,7004272892,bedgraph,6310870185,bedgraph,3620112776,bedgraph,3425399031,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6081521.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""1.0""","""mm9""","""60179306""","""57217054""",23356613,23356610,23356614,23356612,"""60""","""120""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,28366108,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-15 21:26:32.653898,54005,2492.4308840000003
2016-01-25 16:21:29.975136,slurm_normal,,main_w1_handler0,2557147,11597979,False,1524683284,bedgraph,2517375882,bedgraph,4041583895,bedgraph,3475098982,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5863110.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",22997684,22997315,22997683,22997314,"""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,27628847,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-25 16:42:34.267898,76207,1264.292762
2016-03-02 10:10:04.360933,slurm_normal,,main_w1_handler1,2295829,11989833,False,3462280794,bedgraph,2767139140,bedgraph,2767139140,bedgraph,2138045294,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6219734.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",23469156,23469155,23469155,23484921,"""100""","""200""","[""--ofile-both-conditions""]",,26819022,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-03-02 10:28:23.571558,16545,1099.2106250000002
2016-01-22 15:34:57.184638,slurm_normal,,main_w2_handler1,2557147,11581286,False,2515724045,bedgraph,1378692020,bedgraph,2721980931,bedgraph,4819268818,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5846903.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",22997329,22997354,22997328,22997353,"""100""","""146""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,27628847,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-22 16:19:34.431525,76207,2677.2468870000002
2016-01-22 15:33:36.077419,slurm_normal,,main_w2_handler0,2557147,11581278,False,2517375882,bedgraph,1524683284,bedgraph,3475098982,bedgraph,4041583895,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5846891.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",22997315,22997684,22997314,22997683,"""100""","""146""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,27628847,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-22 16:19:28.202479,76207,2752.1250600000003
2016-01-27 15:50:40.665969,slurm_normal,,main_w2_handler1,2557147,11615475,False,2517375882,bedgraph,1524683284,bedgraph,3475098982,bedgraph,4041583895,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5880014.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",22997315,22997684,22997314,22997683,"""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,27781696,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-27 16:12:09.085397,76207,1288.4194280000002
2016-01-28 21:48:19.671900,slurm_normal,,main_w1_handler2,2529237,11626478,False,3843420810,bedgraph,3488661909,bedgraph,2133784686,bedgraph,2959198087,bedgraph,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5890312.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""1.0""","""mm9""","""36228000""","""51264356""",23073628,23073293,23073657,23073724,"""50""","""100""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",,26702590,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-28 22:14:23.863043,74818,1564.191143
