create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_1,input_11,input_11_filetype,input_12,input_12_filetype,input_1_filetype,input_2,input_2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,own_file,own_file_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.analysis_type.__current_case__,parameters.analysis_type.alignment_options.L,parameters.analysis_type.alignment_options.N,parameters.analysis_type.alignment_options.__current_case__,parameters.analysis_type.alignment_options.align_mode.__current_case__,parameters.analysis_type.alignment_options.align_mode.align_mode_selector,parameters.analysis_type.alignment_options.align_mode.score_min_ete,parameters.analysis_type.alignment_options.align_mode.score_min_loc,parameters.analysis_type.alignment_options.alignment_options_selector,parameters.analysis_type.alignment_options.dpad,parameters.analysis_type.alignment_options.gbar,parameters.analysis_type.alignment_options.i,parameters.analysis_type.alignment_options.ignore_quals,parameters.analysis_type.alignment_options.n_ceil,parameters.analysis_type.alignment_options.no_1mm_upfront,parameters.analysis_type.alignment_options.nofw,parameters.analysis_type.alignment_options.norc,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.effort_options.D,parameters.analysis_type.effort_options.R,parameters.analysis_type.effort_options.__current_case__,parameters.analysis_type.effort_options.effort_options_selector,parameters.analysis_type.input_options.__current_case__,parameters.analysis_type.input_options.input_options_selector,parameters.analysis_type.input_options.int_quals,parameters.analysis_type.input_options.qupto,parameters.analysis_type.input_options.qv_encoding,parameters.analysis_type.input_options.skip,parameters.analysis_type.input_options.solexa_quals,parameters.analysis_type.input_options.trim3,parameters.analysis_type.input_options.trim5,parameters.analysis_type.other_options.__current_case__,parameters.analysis_type.other_options.non_deterministic,parameters.analysis_type.other_options.other_options_selector,parameters.analysis_type.other_options.seed,parameters.analysis_type.presets,parameters.analysis_type.reporting_options.__current_case__,parameters.analysis_type.reporting_options.reporting_options_selector,parameters.analysis_type.sam_options.__current_case__,parameters.analysis_type.sam_options.sam_options_selector,parameters.analysis_type.scoring_options.__current_case__,parameters.analysis_type.scoring_options.scoring_options_selector,parameters.chromInfo,parameters.dbkey,parameters.library.__current_case__,parameters.library.input_1,parameters.library.input_2,parameters.library.paired_options.I,parameters.library.paired_options.X,parameters.library.paired_options.__current_case__,parameters.library.paired_options.dovetail,parameters.library.paired_options.fr_rf_ff,parameters.library.paired_options.no_contain,parameters.library.paired_options.no_discordant,parameters.library.paired_options.no_mixed,parameters.library.paired_options.no_overlap,parameters.library.paired_options.paired_options_selector,parameters.library.type,parameters.library.unaligned_file,parameters.read_group.__current_case__,parameters.read_group.read_group_selector,parameters.reference_genome.__current_case__,parameters.reference_genome.index,parameters.reference_genome.own_file,parameters.reference_genome.source,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-10-25 00:30:36.409285,slurm_multi_dynamic_walltime,,main_w2_handler2,2162278,10719407,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14657932642.0,,,,,fastqsanger,,,4981411,slurm,,corral-repl,507413778.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,21724711,,,,,,,,,,,,single,False,1,no,1,,21726258.0,history,,25869002,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-10-25 00:51:15.334710,57816,1238.9254250000001
2015-11-27 13:19:25.324648,slurm_multi_dynamic_walltime,,main_w2_handler2,2518461,11022822,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,2682374948.0,fastqsanger,2684842412.0,fastqsanger,,,,5280425,slurm,,corral-repl,19727554323.0,fasta,,1,yes,pulsar_stampede_normal,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",2,hdca:9895,,,,1.0,,,,,,,no,paired_collection,False,1,no,1,,22185185.0,history,,26436075,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-11-27 13:32:44.440904,21426,799.116256
2015-09-07 03:22:43.132514,slurm_multi_dynamic_walltime,,main_w2_handler2,2429139,10269146,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",282689844.0,,,,,fastqsanger,,,4555573,slurm,,corral-repl,2357817311.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,21025825,,,,,,,,,,,,single,True,1,no,1,,21015728.0,history,,25045925,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-09-07 04:13:26.641476,68199,3043.5089620000003
2015-05-19 19:51:24.245292,slurm_multi_dynamic_walltime,,main_w2_handler2,2101557,9498722,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4657326926.0,,,,,fastqsanger,,,3820295,slurm,,corral-repl,277661302.0,fasta,,0,no,,"""678f0eb0fe6011e4aaae005056a52a46""",1,18,1,0.0,1.0,local,,"G,20,8",yes,15,4,"S,1,0.5",False,"L,0,0.15",False,False,False,full,,,1.0,no,1.0,no,,,,,,,,1.0,,no,,,2.0,a,1.0,no,1.0,no,"""/galaxy-repl/main/files/010/195/dataset_10195902.dat""","""An.gambiae-P4_ForPhil""",0,17370251,,,,,,,,,,,,single,False,1,no,1,,19130179.0,history,,22577919,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-05-19 22:00:46.213767,53939,7761.968475000001
2015-12-05 14:27:46.696960,slurm_multi_dynamic_walltime,,main_w2_handler2,2513686,11095774,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7822570.0,,,,,fastqsanger,,,5353321,slurm,,corral-repl,3624599.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,22317312,,,,,,,,,,,,single,False,1,no,1,,22296891.0,history,,26606169,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-12-05 14:28:39.913314,68062,53.216354
2015-05-19 20:11:06.769643,slurm_multi_dynamic_walltime,,main_w2_handler2,2101557,9498811,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",845225495.0,,,,,fastqsanger,,,3821542,slurm,,corral-repl,277661302.0,fasta,,0,no,,"""279ae6d2fe6311e4ab96005056a51846""",1,18,1,0.0,1.0,local,,"G,20,8",yes,15,4,"S,1,0.5",False,"L,0,0.15",False,False,False,full,,,1.0,no,0.0,yes,False,100000000,--phred33,0,False,3,20,1.0,,no,,,2.0,a,1.0,no,1.0,no,"""/galaxy-repl/main/files/009/583/dataset_9583907.dat""","""P3-PEST_chr7""",0,17370259,,,,,,,,,,,,single,False,1,no,1,,19130179.0,history,,22577919,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-05-20 02:12:33.558817,53939,21686.789174
2015-09-22 16:22:36.300813,slurm_multi_dynamic_walltime,,main_w2_handler2,2447377,10382991,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",55228755.0,,,,,fastqsanger,,,4664208,slurm,,corral-repl,,,,0,no,,,1,20,0,0.0,1.0,local,,"G,20,8",yes,20,4,"S,1,0.5",False,"L,0,0.15",True,False,False,full,15,2,0.0,yes,1.0,no,,,,,,,,0.0,False,yes,0,,2.0,a,1.0,no,1.0,no,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,21207757,,,,,,,,,,,,single,True,1,no,0,hg19,,indexed,,25104197,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-09-22 16:34:34.877356,68374,718.576543
2015-12-05 14:27:28.168062,slurm_multi_dynamic_walltime,,main_w2_handler2,2513686,11095773,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7886009.0,,,,,fastqsanger,,,5353320,slurm,,corral-repl,3624599.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,22317310,,,,,,,,,,,,single,False,1,no,1,,22296891.0,history,,26606169,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-12-05 14:29:28.182204,68062,120.014142
2015-04-29 18:58:00.352774,slurm_multi,,main_w2_handler2,2286031,9362210,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",26259769.0,,,,,fastqsanger,,,3698531,slurm,,corral-repl,4444271.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/rhizEtli_CFN_42.len""","""rhizEtli_CFN_42""",0,19499164,,,,,,,,,,,,single,False,1,no,1,,19512412.0,history,,22757989,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-04-29 18:59:18.992350,37607,78.639576
2015-09-03 05:19:56.692832,slurm_multi_dynamic_walltime,,main_w2_handler2,2419453,10249095,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",335602279.0,,,,,fastqsanger,,,4536956,slurm,,corral-repl,2357817311.0,fasta,,0,no,,,0,,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,no_presets,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,20983512,,,,,,,,,,,,single,True,1,no,1,,20979783.0,history,,24995275,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.4,0.4,,2015-09-03 06:09:38.828892,68199,2982.1360600000003
