bamInput,bamInput_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.bamInput|__identifier__,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.scaleFactor,parameters.scaling.type,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
13999869267,bam,2017-01-06 10:53:03.634857,slurm_multi,,main_w4_handler2,2917373,14702221,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8872340,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27829490}]",,"""1""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""bedgraph""","""""",1,,,,,no,,34822209.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-01-06 10:57:21.182656,81867,257.547799
2856069346,bam,2017-01-18 06:09:58.849093,slurm_multi,,main_w4_handler2,2955684,14796030,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8958756,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27958085}]",,"""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,,35369557.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-01-18 06:19:52.647669,54621,593.798576
2037497206,bam,2017-08-03 09:09:00.273319,slurm_multi,,main_w4_handler2,3180200,16495713,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10565354,slurm,,corral-repl,,0,no,"""62715c7a782b11e79471005056ba55fb""",,,"[{'src': 'hda', 'id': 30743841}]",,"""5""","""/galaxy-repl/localdata/chrom/Schizosaccharomyces_pombe_1.1.len""","""Schizosaccharomyces_pombe_1.1""","""bedgraph""","""""",0,,,,1.0,rpkm,,,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-08-03 09:28:00.309855,96567,1140.036536
4945300124,bam,2016-12-21 04:05:33.876849,slurm_multi,,main_w3_handler2,2917373,14620468,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8797105,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27676342}]",,"""1""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""bigwig""","""""",1,,,,,no,,34822209.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2016-12-21 04:20:37.725670,81867,903.848821
2011301426,bam,2017-08-03 08:39:53.133886,slurm_multi,,main_w4_handler2,3180200,16495620,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10565195,slurm,,corral-repl,,0,no,"""50b12064782711e7bbd8005056ba55fb""",,,"[{'src': 'hda', 'id': 30729759}]",,"""5""","""/galaxy-repl/localdata/chrom/Schizosaccharomyces_pombe_1.1.len""","""Schizosaccharomyces_pombe_1.1""","""bedgraph""","""""",0,,,,1.0,rpkm,,,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-08-03 08:54:40.877613,96567,887.743727
2225626133,bam,2017-02-16 09:57:06.717776,slurm_multi,,main_w4_handler2,2990401,15054859,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9211123,slurm,,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 28345239}]",,"""10""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,,36030381.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-02-16 10:32:28.340080,99854,2121.622304
5363280567,bam,2017-08-02 12:48:37.697037,slurm_multi,,main_w3_handler2,3180200,16487674,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10559277,slurm,,corral-repl,,0,no,"""e16db678778011e7a09d005056ba55fb""",,,"[{'src': 'hda', 'id': 30723095}]","""MergeSamFiles on data 1047 and data 1046: Merged BAM dataset""","""1""","""/galaxy-repl/localdata/chrom/Schizosaccharomyces_pombe_1.1.len""","""Schizosaccharomyces_pombe_1.1""","""bedgraph""","""""",0,,,,1.0,rpkm,,,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-08-02 16:37:40.461313,96567,13742.764276000002
2146439070,bam,2017-02-16 11:51:53.854705,slurm_multi,,main_w4_handler2,2990401,15056259,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9211940,slurm,,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 28345235}]",,"""10""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,,36030381.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-02-16 12:07:29.362655,99854,935.50795
2856069346,bam,2017-01-18 11:15:20.743297,slurm_multi,,main_w4_handler2,2955684,14797784,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8960586,slurm,,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 27958085}]",,"""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,,35404619.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-01-18 11:22:16.231234,54621,415.48793700000004
2984579373,bam,2017-10-25 07:46:36.035007,slurm_multi,,main_w4_handler2,3293678,17207298,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11267962,slurm,,corral-repl,,0,no,"""90b5e056b95811e7b8a1005056ba2773""",,,"[{'src': 'hda', 'id': 31869315}]",,"""3""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Schizosaccharomyces_pombe_1.1.len""","""Schizosaccharomyces_pombe_1.1""","""bedgraph""","""""",2,0.0,12000000,specific,1.0,1x,,,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-10-25 08:27:07.166967,96567,2431.13196
