create_time,destination_id,exit_code,fasta,fasta_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.calc,parameters.chromInfo,parameters.countends,parameters.cutoff,parameters.dbkey,parameters.fasta.values,parameters.output,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-05 13:37:30.760142,slurm_normal,,736752432,fasta,main_w4_handler1,3051903,15494692,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9622348.roundup,slurm,,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.2""","""?""","[{'src': 'hda', 'id': 29079420}]","""""",,37120695,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-05 13:38:23.155561,97888,52.395419000000004
2017-04-08 12:13:08.621242,slurm_normal,,72092563887,align,main_w4_handler0,3063778,15529886,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9656546.roundup,slurm,,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.2""","""?""","[{'src': 'hda', 'id': 29119803}]","""""",,37212168,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-08 12:19:25.977659,97888,377.356417
2017-04-12 09:14:28.846153,slurm_normal,,11907710365,align,main_w3_handler1,3067928,15563707,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9687290.roundup,slurm,,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.2""","""?""","[{'src': 'hda', 'id': 29184374}]","""""",,37286907,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-12 09:19:43.383386,97888,314.537233
2017-04-12 09:42:24.476745,slurm_normal,,11907710365,align,main_w3_handler1,3067928,15563901,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9687505.roundup,slurm,,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.2""","""?""","[{'src': 'hda', 'id': 29184374}]","""""",,37286907,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-12 09:47:27.641496,97888,303.164751
2017-04-02 18:16:47.349409,slurm_normal,,4378675683,align,main_w4_handler0,3051903,15462955,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9593217.roundup,slurm,,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.2""","""?""","[{'src': 'hda', 'id': 29027600}]","""""",,37043856,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-02 18:20:22.995050,97888,215.645641
2017-04-03 10:29:05.486701,slurm_normal,,736752432,fasta,main_w4_handler1,3051903,15470064,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9599643.roundup,slurm,,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.2""","""?""","[{'src': 'hda', 'id': 29030792}]","""""",,37066078,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-03 10:29:59.569772,97888,54.083071000000004
2017-04-02 16:35:38.318654,slurm_normal,,15825100641,align,main_w4_handler1,3051903,15462580,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9592868.roundup,slurm,,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.2""","""?""","[{'src': 'hda', 'id': 29026212}]","""""",,37043856,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-02 16:39:59.222951,97888,260.90429700000004
2017-04-05 07:57:50.855295,slurm_normal,,736752432,fasta,main_w4_handler0,3051903,15492217,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9620078.roundup,slurm,,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.2""","""?""","[{'src': 'hda', 'id': 29030792}]","""""",,37120695,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-05 07:58:42.430482,97888,51.575187
2017-04-02 16:49:29.520445,slurm_normal,,15825100641,align,main_w3_handler0,3051903,15462633,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9592918.roundup,slurm,,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.2""","""?""","[{'src': 'hda', 'id': 29026212}]","""""",,37043856,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-02 16:53:50.652106,97888,261.131661
2017-04-08 09:10:23.501305,slurm_normal,,72092563887,align,main_w3_handler1,3063778,15529403,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9656143.roundup,slurm,,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""true""","""0.0""","""?""","[{'src': 'hda', 'id': 29119803}]","""""",,37210840,error,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_dist_seqs/1.20.0,1.20.0,,2017-04-08 09:14:38.060172,97888,254.55886700000002
