create_time,destination_id,exit_code,genomic_feature,genomic_feature_filetype,genomic_interval,genomic_interval_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.genomic_feature.values,parameters.genomic_interval.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-12 13:01:02.538721,slurm_normal,,1010276937,bed,643110,interval,main_w4_handler1,2487731,13830755,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8052759.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f8c6bc02a4899d5c'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b51e009b85f5bef952'}]",,31841585,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-12 13:04:31.717829,142,209.179108
2016-09-22 19:43:01.449933,slurm_normal,,1402217245,bed,168418,bed,main_w4_handler0,2829654,13920030,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8142187.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b527182a3391cef3d3'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5cb9a94530832833d'}]",,32712034,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-22 19:48:46.899246,70266,345.449313
2016-09-07 14:03:02.910263,slurm_normal,,1402217245,bed,11076023,bed,main_w4_handler1,2813138,13798361,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8024042.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fe76b881198e5e5f'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b50174ab6f2acf1b24'}]",,31887632,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-08 05:36:08.383627,52630,55985.473364000005
2016-09-12 05:49:17.769162,slurm_normal,,1010276937,bed,643113,interval,main_w4_handler0,2487731,13828169,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8050128.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f8c6bc02a4899d5c'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5aab9afd390d9a1bc'}]",,31841585,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-12 05:52:05.930026,142,168.160864
2016-09-13 15:59:39.956050,slurm_normal,,1402217245,bed,16886,bed,main_w3_handler0,2817023,13842942,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8065667.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c289b819c3396495'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b62649b96e61f33a'}]",,32712034,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-13 16:03:02.970334,70266,203.014284
2016-09-12 05:45:04.728193,slurm_normal,,1010276937,bed,643113,interval,main_w3_handler0,2487731,13828154,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8050118.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f8c6bc02a4899d5c'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5aab9afd390d9a1bc'}]",,31841585,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-12 05:48:00.880535,142,176.152342
2016-09-12 15:25:06.505033,slurm_normal,,1010276937,bed,643113,interval,main_w3_handler1,2487731,13832525,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8054582.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f8c6bc02a4899d5c'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5aab9afd390d9a1bc'}]",,31841585,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-12 15:28:24.422398,142,197.91736500000002
2016-09-18 20:49:29.109705,slurm_normal,,1402217245,bed,15812,bed,main_w3_handler1,2817199,13876239,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8099460.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b58d92d55327d03d84'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b53342743fd424192d'}]",,32918865,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-18 20:52:47.831740,71114,198.722035
2016-09-11 21:59:23.355082,slurm_normal,,1402217245,bed,13259,bed,main_w3_handler1,2817023,13826997,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8048895.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c289b819c3396495'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5478966f5a101faf7'}]",,32712034,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-11 22:01:54.440324,70266,151.08524200000002
2016-09-12 23:30:14.104827,slurm_normal,,1010276937,bed,643110,interval,main_w4_handler0,2487731,13837345,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8059558.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f8c6bc02a4899d5c'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b51e009b85f5bef952'}]",,31841585,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-12 23:33:31.171620,142,197.06679300000002
