create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.alpha,parameters.advancedOpt.averageTypeSummaryPlot,parameters.advancedOpt.colorList,parameters.advancedOpt.colorMap,parameters.advancedOpt.endLabel,parameters.advancedOpt.heatmapHeight,parameters.advancedOpt.heatmapWidth,parameters.advancedOpt.missingDataColor,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotTitle,parameters.advancedOpt.referencePointLabel,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.sortRegions,parameters.advancedOpt.sortUsing,parameters.advancedOpt.startLabel,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.whatToShow,parameters.advancedOpt.xAxisLabel,parameters.advancedOpt.yAxisLabel,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.advancedOpt.zMax,parameters.advancedOpt.zMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.dpi,parameters.output.outFileFormat,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-04 15:00:53.795746,slurm_normal,,main_w3_handler1,2568633,17944505,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12020686,slurm,,133412534,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33164659}]",1,200,png,false,false,yes,,42600773,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2018-01-04 15:04:14.333280,76958,200.53753400000002
2017-11-20 09:53:29.543989,slurm_normal,,main_w4_handler0,3330013,17515938,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11575763,slurm,,499669069,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,true,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 32393714}]",0,,,,,no,,42062784,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-11-20 09:56:50.325672,21426,200.78168300000002
2017-11-08 08:29:46.058876,slurm_normal,,main_w3_handler1,3312874,17377882,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11439301,slurm,,27730175,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],,25.0,7.5,black,false,,TSS,,,yes,descend,mean,,0.0,0.0,kmeans,5,,no,"plot, heatmap and colorbar",distance from TSS (bp),,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32124401}]",1,200,pdf,false,false,yes,,41691766,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-11-08 08:34:40.894388,78577,294.835512
2017-12-05 02:20:48.117630,slurm_normal,,main_w4_handler1,3353121,17697758,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11762395,slurm,,13253294,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 32729304}]",1,300,png,false,false,yes,,42460838,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-12-05 02:23:27.300523,27202,159.182893
2017-12-05 03:51:55.249405,slurm_normal,,main_w4_handler1,3353121,17698312,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11762899,slurm,,31498561,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 32729428}]",1,300,png,false,false,yes,,42460838,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-12-05 03:55:09.509076,27202,194.25967100000003
2017-08-30 00:52:59.280573,slurm_normal,,main_w4_handler1,3231224,16689126,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10761154.roundup,slurm,,14640503,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['Reds'],,25.0,7.5,black,false,,TSS,,,yes,descend,mean,,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 31038555}]",1,200,png,false,false,yes,,40032748,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-08-30 00:56:24.626015,61851,205.34544200000002
2017-05-11 08:23:13.058409,slurm_normal,,main_w4_handler0,3106695,15810298,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9914599.roundup,slurm,,39717297,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29560166}]",0,,,,,no,,37899537,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-05-11 08:25:39.747119,105676,146.68871000000001
2017-07-11 06:07:12.081903,slurm_normal,,main_w4_handler0,3188549,16305564,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10378341.roundup,slurm,,224820403,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30382053}]",0,,,,,no,,39188781,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-07-11 15:07:06.274859,107805,32394.192956000003
2017-08-31 20:01:23.719880,slurm_normal,,main_w4_handler0,2898196,16706633,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10779339.roundup,slurm,,585229703,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,true,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 31062415}]",1,200,png,false,false,yes,,40079494,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-08-31 20:05:39.709441,95123,255.989561
2017-09-16 22:36:30.760961,slurm_normal,,main_w3_handler1,3252896,16845635,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10913374.roundup,slurm,,591419000,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],,25.0,7.5,black,false,,,,,yes,no,max,,1.0,,,,,yes,"plot, heatmap and colorbar",,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31277470}]",0,,,,,no,,39436679,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-09-17 05:51:21.621455,27830,26090.860494
