create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.brief,parameters.chromInfo,parameters.dbkey,parameters.gapextend,parameters.gapopen,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.out_format1,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-03-15 14:26:03.121986,slurm_normal,,main_w1_handler1,2634388,12140480,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",59160,fasta,19423,fasta,6359267.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.5""","""10.0""",23845962,,23845963,,"""simple""",,28822194,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2016-03-15 14:27:33.293679,79823.0,90.171693
2017-04-07 08:59:58.968215,slurm_normal,,main_w3_handler1,3050219,15516423,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4649189,fasta,4844,fasta,9643181.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""10""","""10.0""",,"[{'src': 'hda', 'id': 29110795}]",,"[{'src': 'hda', 'id': 29112903}]","""srs""",,37086505,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2017-04-07 09:01:58.156120,103511.0,119.187905
2017-01-24 09:59:17.736280,slurm_normal,,main_w3_handler0,2892417,14855436,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",419890973,fasta,1026,fasta,9015487.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 27265021}]",,"[{'src': 'hda', 'id': 27266092}]","""srs""",,35107751,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2017-01-24 09:59:39.892207,92443.0,22.155927000000002
2017-01-24 09:59:03.930713,slurm_normal,,main_w4_handler1,2892417,14855433,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",419890973,fasta,1026,fasta,9015481.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 27265021}]",,"[{'src': 'hda', 'id': 27266079}]","""srs""",,35107751,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2017-01-24 10:00:24.474834,92443.0,80.544121
2017-04-07 08:51:56.849451,slurm_normal,,main_w3_handler0,3050219,15516361,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4649189,fasta,4844,fasta,9643116.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""10""","""10.0""",,"[{'src': 'hda', 'id': 29110795}]",,"[{'src': 'hda', 'id': 29112903}]","""srs""",,37086505,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2017-04-07 08:52:48.328064,103511.0,51.478613
2018-02-21 10:49:12.903523,slurm_normal,,main_w4_handler0,3305915,18459380,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",275513317,fasta,931,fasta,12554535,slurm,,corral-repl,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 31987990}]",,"[{'src': 'hda', 'id': 33976379}]","""srs""",,43670078,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2018-02-21 10:50:06.328159,92443.0,53.42463600000001
2016-11-23 09:19:23.390704,slurm_normal,,main_w3_handler0,2905295,14412317,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4918812,fasta,9468,fasta,8617213.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",,"[{'src': 'hda', 'id': 27380163}]",,"[{'src': 'hda', 'id': 27380164}]","""srs""",,34416478,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2016-11-23 09:20:19.917810,,56.527106
2017-04-07 09:24:32.245413,slurm_normal,,main_w3_handler1,3050219,15516671,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4649189,fasta,4844,fasta,9643391.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""10""","""10.0""",,"[{'src': 'hda', 'id': 29110795}]",,"[{'src': 'hda', 'id': 29112903}]","""srs""",,37086505,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2017-04-07 09:25:38.407082,103511.0,66.161669
2015-05-01 05:17:02.732835,slurm_normal,,main_w2_handler1,2289760,9373420,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",34453,fasta,34453,fasta,3709230.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.5""","""10.0""",19532921,,19532921,,"""srs""",,22813480,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2015-05-01 05:19:47.549869,,164.817034
2015-05-01 05:17:59.823507,slurm_normal,,main_w1_handler0,2289760,9373422,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",34453,fasta,34453,fasta,3709237.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""5""","""10.0""",19532921,,19532921,,"""srs""",,22813480,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: water107/5.0.0,5.0.0,,2015-05-01 05:21:45.826412,,226.00290500000003
