create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input1,input10,input10_filetype,input1_filetype,input2,input2_filetype,input3,input3_filetype,input4,input4_filetype,input5,input5_filetype,input6,input6_filetype,input7,input7_filetype,input8,input8_filetype,input9,input9_filetype,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.combine_inputs,parameters.dbkey,parameters.root_name,parameters.type_of_data.__current_case__,parameters.type_of_data.input.values,parameters.type_of_data.type_of_data_selector,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-10 09:22:26.148440,slurm_normal,,main_w4_handler0,3065587,15539233,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49242209,49242209,36196682.0,tabular,tabular,187933112.0,tabular,14328054.0,tabular,241943553.0,tabular,61240878.0,tabular,3456047.0,tabular,1188178.0,tabular,214301946.0,tabular,553528.0,tabular,tabular,9664591.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",1,"[{'src': 'hda', 'id': 29141183}, {'src': 'hda', 'id': 29141184}, {'src': 'hda', 'id': 29141187}, {'src': 'hda', 'id': 29141188}, {'src': 'hda', 'id': 29141189}, {'src': 'hda', 'id': 29141190}, {'src': 'hda', 'id': 29141191}, {'src': 'hda', 'id': 29141192}, {'src': 'hda', 'id': 29141193}, {'src': 'hda', 'id': 29141194}]",text,,37097171,error,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.0,2.6.0,,2017-04-10 09:25:43.133072,50564,196.984632
2017-03-11 00:20:36.715562,slurm_normal,,main_w4_handler0,3026081,15267931,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4222448446,4222448446,,,tabular,,,,,,,,,,,,,,,,,tabular,9413806.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",1,"[{'src': 'hda', 'id': 28714873}]",text,,36555952,error,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.0,2.6.0,,2017-03-11 00:24:20.323851,101427,223.608289
2016-12-10 22:44:49.782511,slurm_normal,,main_w3_handler0,2913197,14540585,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7161114416,7161114416,,,tabular,,,,,,,,,,,,,,,,,tabular,8723437.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""Root""",1,"[{'src': 'hda', 'id': 27543408}]",text,,34726037,error,toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.0,2.6.0,,2016-12-10 22:46:53.683455,89783,123.90094400000001
