chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,gene_annotation_model,gene_annotation_model_filetype,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.params.__current_case__,parameters.params.anchor_length,parameters.params.bowtie2_settings.__current_case__,parameters.params.bowtie2_settings.b2_settings,parameters.params.bowtie2_settings.preset.__current_case__,parameters.params.bowtie2_settings.preset.b2_preset,parameters.params.bowtie2_settings.preset.b2_preset_select,parameters.params.bowtie_n,parameters.params.coverage_search.__current_case__,parameters.params.coverage_search.max_coverage_intron,parameters.params.coverage_search.min_coverage_intron,parameters.params.coverage_search.use_search,parameters.params.fusion_search.__current_case__,parameters.params.fusion_search.anchor_len,parameters.params.fusion_search.do_search,parameters.params.fusion_search.ignore_chromosomes,parameters.params.fusion_search.min_dist,parameters.params.fusion_search.multipairs,parameters.params.fusion_search.multireads,parameters.params.fusion_search.read_mismatches,parameters.params.indel_search.__current_case__,parameters.params.indel_search.allow_indel_search,parameters.params.indel_search.max_deletion_length,parameters.params.indel_search.max_insertion_length,parameters.params.library_type,parameters.params.max_intron_length,parameters.params.max_multihits,parameters.params.max_segment_intron,parameters.params.microexon_search,parameters.params.min_intron_length,parameters.params.min_segment_intron,parameters.params.output_unmapped,parameters.params.own_junctions.__current_case__,parameters.params.own_junctions.gene_model_ann.__current_case__,parameters.params.own_junctions.gene_model_ann.gene_annotation_model,parameters.params.own_junctions.gene_model_ann.use_annotations,parameters.params.own_junctions.no_novel_juncs,parameters.params.own_junctions.raw_juncs.__current_case__,parameters.params.own_junctions.raw_juncs.use_juncs,parameters.params.own_junctions.use_junctions,parameters.params.read_edit_dist,parameters.params.read_mismatches,parameters.params.read_realign_edit_dist,parameters.params.seg_length,parameters.params.seg_mismatches,parameters.params.settingsType,parameters.params.splice_mismatches,parameters.readGroup.__current_case__,parameters.readGroup.specReadGroup,parameters.refGenomeSource.__current_case__,parameters.refGenomeSource.genomeSource,parameters.refGenomeSource.index,parameters.refGenomeSource.ownFile,parameters.singlePaired.__current_case__,parameters.singlePaired.input1,parameters.singlePaired.input1.values,parameters.singlePaired.input2,parameters.singlePaired.input2.values,parameters.singlePaired.mate_inner_distance,parameters.singlePaired.mate_std_dev,parameters.singlePaired.report_discordant_pairs,parameters.singlePaired.sPaired,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-10-08 09:13:16.820838,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2464537,10526510,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5325553922,fastqsanger,5325553922.0,fastqsanger,4809333,slurm,,corral-repl,,,,0,no,,"""cd6c02466d9c11e58546005056a52a46""","""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",1,8,1.0,Yes,0.0,Yes,sensitive,No,0.0,20000,50,Yes,1.0,20,Yes,,10000000,2,2,2,1.0,Yes,3,3,fr-unstranded,500000,20,500000,Yes,70,50,False,1.0,,,,,,,No,2,2,1000,25,2,full,0,1,no,0,indexed,rn5,,1,21067235.0,,21067963.0,,300,20,Yes,paired,,25520580,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.9,0.9,,2015-10-10 06:20:34.310497,68982,162437.489659
,,2016-01-11 17:39:18.117585,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2556653,11462726,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10969552185,fastqsanger,10969552185.0,fastqsanger,5727365,slurm,,corral-repl,72911235.0,fasta,,1,yes,pulsar_stampede_normal,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,5,1.0,Yes,0.0,Yes,fast,Yes,0.0,20000,50,Yes,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,50,50,False,1.0,,,,,,,No,3,3,1000,25,2,full,0,1,no,1,history,,22773500.0,1,22773507.0,,22773513.0,,200,20,Yes,paired,,27233424,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.9,0.9,,2016-01-11 21:36:36.230384,73563,14238.112799
,,2015-08-09 23:26:03.445650,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2404736,10088114,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7096831176,fastqsanger,7096831176.0,fastqsanger,4364166,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/bosTau7.len""","""bosTau7""",1,8,1.0,Yes,0.0,Yes,sensitive,No,0.0,20000,50,Yes,1.0,20,Yes,,10000000,2,2,2,1.0,Yes,5,5,fr-firststrand,500000,20,500000,Yes,70,50,True,1.0,,,,,,,No,2,2,0,25,2,full,0,1,no,0,indexed,bosTau7,,1,20726984.0,,20727011.0,,100,20,Yes,paired,,24602332,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.9,0.9,,2015-08-10 11:44:24.870953,67320,44301.425303
,,2016-05-24 00:52:59.109892,slurm_multi_dynamic_walltime,,,,main_w1_handler2,2691409,12968936,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",15599291778,fastqsanger,15599291778.0,fastqsanger,7156639,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,1.0,,,No,1.0,20,Yes,,10000000,2,2,2,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,false,1.0,,,,,,,No,2,2,1000,25,2,full,0,1,no,0,indexed,papHam1,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5db1ca49c00a128ab'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b587a25a94a812c622'}]",300,20,Yes,paired,,29982953,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.9,0.9,,2016-05-25 02:07:18.157243,83681,90859.047351
,,2016-01-12 15:48:03.450595,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2556653,11478461,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10969552185,fastqsanger,10969552185.0,fastqsanger,5741594,slurm,,corral-repl,72911235.0,fasta,,1,yes,pulsar_stampede_normal,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,6,1.0,Yes,0.0,Yes,fast,Yes,0.0,20000,50,Yes,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,50,50,False,1.0,,,,,,,No,3,3,1000,25,2,full,0,1,no,1,history,,22773500.0,1,22773507.0,,22773513.0,,250,20,Yes,paired,,27351971,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.9,0.9,,2016-01-12 20:09:33.452984,73563,15690.002389000001
,,2016-01-08 18:38:39.704758,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2556653,11423524,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10969552185,fastqsanger,10969552185.0,fastqsanger,5686743,slurm,,corral-repl,72911235.0,fasta,,1,yes,pulsar_stampede_normal,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,5,1.0,Yes,0.0,Yes,sensitive,Yes,0.0,20000,50,Yes,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,50,50,False,1.0,,,,,,,No,3,3,1000,25,2,full,1,1,no,1,history,,22773500.0,1,22773507.0,,22773513.0,,200,20,Yes,paired,,27233424,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.9,0.9,,2016-01-08 23:37:17.041642,73563,17917.336884
,,2015-06-29 06:52:13.543060,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2351872,9756243,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4767696847,fastqsanger,4765144189.0,fastqsanger,4059567,slurm,,corral-repl,3273481150.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,1.0,,,No,1.0,20,Yes,,10000000,2,2,2,0.0,No,,,fr-unstranded,500000,20,500000,No,70,50,False,1.0,,,,,,,No,2,2,1000,25,2,full,0,1,no,1,history,,20092109.0,1,20091854.0,,20091968.0,,300,20,Yes,paired,,23772389,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.9,0.9,,2015-06-29 13:28:09.134155,41362,23755.591095
,,2015-10-19 10:57:54.342843,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2462031,10637753,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7478549608,fastqsanger,,,4902209,slurm,,corral-repl,,,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,1.0,Yes,0.0,Yes,very-sensitive,No,1.0,,,No,1.0,20,Yes,,10000000,2,2,2,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,True,1.0,,,,,,,No,2,2,1000,25,2,full,0,1,no,0,indexed,mm10,,0,21487148.0,,,,,,,single,,25637824,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.9,0.9,,2015-10-19 12:35:28.305675,67110,5853.962832
,,2015-12-21 14:56:09.601160,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2540658,11284920,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1600132875,fastqsanger,,,5569141,slurm,,corral-repl,3437193678.0,fasta,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,1,history,,22596210.0,0,22517425.0,,,,,,,single,,26845513,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.9,0.9,,2015-12-21 21:12:09.375461,74899,22559.774301
,,2016-01-08 13:47:47.425543,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2556653,11416302,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10969552185,fastqsanger,10969552185.0,fastqsanger,5682903,slurm,,corral-repl,72911235.0,fasta,,1,yes,pulsar_stampede_normal,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,5,1.0,Yes,0.0,Yes,sensitive,Yes,0.0,20000,50,Yes,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,500000,20,500000,Yes,50,50,False,1.0,,,,,,,No,3,3,1000,25,2,full,1,1,no,1,history,,22773500.0,1,22773507.0,,22773513.0,,200,20,Yes,paired,,27233424,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.9,0.9,,2016-01-08 18:10:17.019745,73563,15749.594202
