chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input_file,parameters.out_prefix,parameters.outputFormat,parameters.sortOrder,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-07-06 15:26:47.386423,slurm_normal,,main_w1_handler2,2348040,9796559,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7571969594,sam,4098461.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20194579,"""Fix Mate""","""True""","""coordinate""",,23811188,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/rgPicFixMate/1.56.0,1.56.0,,2015-07-06 15:49:41.074662,65051,1373.688239
2323288.0,len,2015-08-28 09:45:55.568878,slurm_normal,,main_w1_handler0,2413497,10215327,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7075239515,bam,4485654.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/012/221/dataset_12221620.dat""","""?""",20933853,"""Fix Mate""","""True""","""queryname""",,24389626,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/rgPicFixMate/1.56.0,1.56.0,,2015-08-28 10:37:18.477243,67002,3082.9083650000002
