create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.auto_mean_filter_off,parameters.chromInfo,parameters.dbkey,parameters.fit_type,parameters.many_contrasts,parameters.outlier_filter_off,parameters.outlier_replace_off,parameters.pdf,parameters.rep_factorName,rep_factorName_0|rep_factorLevel_0|countsFile,rep_factorName_0|rep_factorLevel_0|countsFile1,rep_factorName_0|rep_factorLevel_0|countsFile1_filetype,rep_factorName_0|rep_factorLevel_0|countsFile2,rep_factorName_0|rep_factorLevel_0|countsFile2_filetype,rep_factorName_0|rep_factorLevel_0|countsFile3,rep_factorName_0|rep_factorLevel_0|countsFile3_filetype,rep_factorName_0|rep_factorLevel_0|countsFile_filetype,rep_factorName_0|rep_factorLevel_1|countsFile,rep_factorName_0|rep_factorLevel_1|countsFile1,rep_factorName_0|rep_factorLevel_1|countsFile1_filetype,rep_factorName_0|rep_factorLevel_1|countsFile2,rep_factorName_0|rep_factorLevel_1|countsFile2_filetype,rep_factorName_0|rep_factorLevel_1|countsFile3,rep_factorName_0|rep_factorLevel_1|countsFile3_filetype,rep_factorName_0|rep_factorLevel_1|countsFile_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-27 03:07:28.701012,slurm_normal,,main_w3_handler1,2870724,14185975,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8398707.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""","""false""","""false""","""false""","""true""","[{""__index__"": 0, ""factorName"": ""FactorName"", ""rep_factorLevel"": [{""__index__"": 0, ""factorLevel"": ""FactorLevel"", ""countsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b5d76a247bd18d4ac1""}]}}, {""__index__"": 1, ""factorLevel"": ""FactorLevel"", ""countsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b590cdf0a3b0aa985c""}]}}]}]",1411893785,1411893785,tabular,,,,,tabular,1411893785,1411893785,tabular,,,,,tabular,,33932127,error,toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2/2.1.8.4,2.1.8.4,,2016-10-27 03:20:29.536463,,780.835451
2016-11-10 18:35:27.695507,slurm_normal,,main_w3_handler1,2886464,14309190,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8517499.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""1""","""false""","""false""","""false""","""true""","[{""__index__"": 0, ""factorName"": ""usp"", ""rep_factorLevel"": [{""__index__"": 0, ""factorLevel"": ""wt"", ""countsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b5689fed98589dded1""}, {""src"": ""hda"", ""id"": ""bbd44e69cb8906b51bd2466dd48efd3f""}, {""src"": ""hda"", ""id"": ""bbd44e69cb8906b57fc85ef37a6e22d7""}]}}, {""__index__"": 1, ""factorLevel"": ""mutant"", ""countsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b57dcb4cfa2678bcd8""}, {""src"": ""hda"", ""id"": ""bbd44e69cb8906b5dd8c6ed7f3739640""}, {""src"": ""hda"", ""id"": ""bbd44e69cb8906b5110a6170fcdb32c2""}]}}]}]",923628399,923628399,bedgraph,965597996.0,bedgraph,987512314.0,bedgraph,bedgraph,855778152,855778152,bedgraph,1050271607.0,bedgraph,885772595.0,bedgraph,bedgraph,,34151632,error,toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2/2.1.8.4,2.1.8.4,,2016-11-10 19:39:14.225215,9277.0,3826.529708
2016-11-11 14:53:31.056304,reserved,,main_w3_handler0,2890218,14317076,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8525180.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""1""","""false""","""false""","""false""","""false""","[{""__index__"": 0, ""factorName"": ""usp"", ""rep_factorLevel"": [{""__index__"": 0, ""factorLevel"": ""wt"", ""countsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b58e46a9ae7213d4af""}, {""src"": ""hda"", ""id"": ""bbd44e69cb8906b58c4563d6ea397af1""}, {""src"": ""hda"", ""id"": ""bbd44e69cb8906b5d6695acdc81e76e7""}]}}, {""__index__"": 1, ""factorLevel"": ""mutant"", ""countsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b578662afe37691a38""}, {""src"": ""hda"", ""id"": ""bbd44e69cb8906b5e7c0336bf0087274""}, {""src"": ""hda"", ""id"": ""bbd44e69cb8906b52dca6b46ba2f52d5""}]}}]}]",923628399,923628399,bedgraph,965597996.0,bedgraph,987512314.0,bedgraph,bedgraph,855778152,855778152,bedgraph,1050271607.0,bedgraph,885772595.0,bedgraph,bedgraph,,32443707,error,toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2/2.1.8.4,2.1.8.4,,2016-11-11 15:15:46.646810,5254.0,1335.590506
2016-11-11 14:53:11.086137,reserved,,main_w4_handler1,2890218,14317068,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8525151.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""1""","""false""","""false""","""false""","""true""","[{""__index__"": 0, ""factorName"": ""usp"", ""rep_factorLevel"": [{""__index__"": 0, ""factorLevel"": ""wt"", ""countsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b58e46a9ae7213d4af""}, {""src"": ""hda"", ""id"": ""bbd44e69cb8906b58c4563d6ea397af1""}, {""src"": ""hda"", ""id"": ""bbd44e69cb8906b5d6695acdc81e76e7""}]}}, {""__index__"": 1, ""factorLevel"": ""mutant"", ""countsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b578662afe37691a38""}, {""src"": ""hda"", ""id"": ""bbd44e69cb8906b5e7c0336bf0087274""}, {""src"": ""hda"", ""id"": ""bbd44e69cb8906b52dca6b46ba2f52d5""}]}}]}]",923628399,923628399,bedgraph,965597996.0,bedgraph,987512314.0,bedgraph,bedgraph,855778152,855778152,bedgraph,1050271607.0,bedgraph,885772595.0,bedgraph,bedgraph,,32443707,error,toolshed.g2.bx.psu.edu/repos/iuc/deseq2/deseq2/2.1.8.4,2.1.8.4,,2016-11-11 15:14:03.221034,5254.0,1252.1348970000001
