bgzip,bgzip_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.bgzip.values,parameters.chromInfo,parameters.dbkey,parameters.input1.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
3528,bgzip,2018-02-22 17:12:49.677924,slurm_normal,,main_w3_handler0,3438292,18486506,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8398,tabular,12581743,slurm,,corral-repl,,"[{'src': 'hda', 'id': 34017627}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34017601}]",,43814140,error,CONVERTER_bed_to_tabix_0,1.0.0,,2018-02-22 17:14:02.791004,60364,73.11308000000001
889,bgzip,2018-02-22 00:27:53.932544,slurm_normal,,main_w4_handler1,3437651,18475788,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1724,bed,12570512,slurm,,corral-repl,,"[{'src': 'hda', 'id': 34002086}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34001738}]",,43591797,error,CONVERTER_bed_to_tabix_0,1.0.0,,2018-02-22 00:38:14.205555,91771,620.273011
