create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.annotations,parameters.chr,parameters.chromInfo,parameters.dbkey,parameters.filter.__current_case__,parameters.filter.specificEffects,parameters.generate_stats,parameters.input.values,parameters.inputFormat,parameters.noLog,parameters.offset,parameters.outputConditional.__current_case__,parameters.outputConditional.outputFormat,parameters.snpDb.__current_case__,parameters.snpDb.extra_annotations,parameters.snpDb.genomeSrc,parameters.snpDb.genomeVersion,parameters.snpDb.genome_version,parameters.snpDb.regulation,parameters.spliceSiteSize,parameters.udLength,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-05-01 05:04:06.503747,slurm_normal,,main_w3_handler0,3092931,15713447,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8814660020,tabular,9824862.roundup,slurm,,corral-repl,,"[""-lof""]","""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,"""true""","[{'src': 'hda', 'id': 29414899}]","""vcf""","""true""","""default""",0,vcf,0.0,"['-motif', '-nextprot']",cached,GRCh37.74,,"['CD4', 'GM06990', 'GM12878', 'H1ESC', 'HeLa-S3', 'HepG2', 'HMEC', 'HSMM', 'HUVEC', 'IMR90', 'K562b', 'K562', 'NH-A', 'NHEK']","""2""","""5000""",,37673465,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2017-05-01 05:45:30.095523,104924.0,2483.591776
2017-05-24 15:31:04.718593,slurm_normal,,main_w4_handler0,3125290,15929241,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11616162,vcf,10026950.roundup,slurm,,corral-repl,,"[""-lof"", ""-classic"", ""-hgvs"", ""-sequenceOntology""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,"""true""","[{'src': 'hda', 'id': 29754269}]","""vcf""","""true""","""default""",0,vcf,0.0,"['-motif', '-nextprot']",cached,GRCh37.74,,"['CD4', 'GM06990', 'GM12878', 'H1ESC', 'HeLa-S3', 'HepG2', 'HMEC', 'HSMM', 'HUVEC', 'IMR90', 'K562b', 'K562', 'NH-A', 'NHEK']","""2""","""5000""",,38187162,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2017-05-24 15:36:22.921501,72640.0,318.20290800000004
2017-08-15 09:51:51.727920,slurm_normal,,main_w3_handler1,3222446,16583556,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2643067375,vcf,10654790.roundup,slurm,,corral-repl,,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,"""true""","[{'src': 'hda', 'id': 30877578}]","""vcf""","""true""","""default""",0,vcf,,,,,,,"""2""","""5000""",,39874931,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2017-08-15 10:09:38.729605,,1067.0016850000002
2017-06-15 13:31:06.131389,slurm_normal,,main_w4_handler0,3125290,16109049,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11616162,vcf,10192436.roundup,slurm,,corral-repl,,"[""-lof"", ""-classic"", ""-hgvs"", ""-sequenceOntology""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,"""true""","[{'src': 'hda', 'id': 29754269}]","""vcf""","""true""","""default""",0,vcf,0.0,"['-motif', '-nextprot']",cached,GRCh37.74,,"['CD4', 'GM06990', 'GM12878', 'H1ESC', 'HeLa-S3', 'HepG2', 'HMEC', 'HSMM', 'HUVEC', 'IMR90', 'K562b', 'K562', 'NH-A', 'NHEK']","""2""","""5000""",,38187162,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2017-06-15 13:36:41.484011,72640.0,335.352622
2017-06-15 22:14:52.660721,reserved,,main_w4_handler0,3157450,16112636,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11616162,vcf,10195288.roundup,slurm,,corral-repl,,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,"""true""","[{'src': 'hda', 'id': 30047332}]","""vcf""","""true""","""default""",0,vcf,,,,,,,"""2""","""5000""",,38237302,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2017-06-15 22:19:06.256190,5254.0,253.595469
2017-05-24 15:24:37.760269,slurm_normal,,main_w4_handler0,3125290,15929165,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11616162,vcf,10026861.roundup,slurm,,corral-repl,,"[""-lof"", ""-classic"", ""-hgvs"", ""-sequenceOntology""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,"""true""","[{'src': 'hda', 'id': 29754269}]","""vcf""","""true""","""default""",0,vcf,0.0,"['-motif', '-nextprot']",cached,GRCh37.74,,"['CD4', 'GM06990', 'GM12878', 'H1ESC', 'HeLa-S3', 'HepG2', 'HMEC', 'HSMM', 'HUVEC', 'IMR90', 'K562b', 'K562', 'NH-A', 'NHEK']","""2""","""5000""",,38187162,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2017-05-24 15:29:25.098646,72640.0,287.33837700000004
2016-11-29 23:49:18.579564,slurm_normal,,main_w3_handler1,2802356,14449396,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",301345648,tabular,8645446.roundup,slurm,,corral-repl,,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,"""true""","[{'src': 'hda', 'id': 27438750}]","""vcf""","""true""","""default""",0,vcf,0.0,"['-motif', '-nextprot']",cached,GRCh37.74,,"['CD4', 'GM06990', 'GM12878', 'H1ESC', 'HeLa-S3', 'HepG2', 'HMEC', 'HSMM', 'HUVEC', 'IMR90', 'K562b', 'K562', 'NH-A', 'NHEK']","""2""","""5000""",,34526988,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2016-11-29 23:57:27.528252,89058.0,488.948688
2017-06-15 16:37:19.386405,slurm_normal,,main_w3_handler1,3125290,16110789,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11616162,vcf,10194023.roundup,slurm,,corral-repl,,"[""-lof"", ""-classic"", ""-hgvs"", ""-sequenceOntology""]","""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,"""true""","[{'src': 'hda', 'id': 29754269}]","""vcf""","""true""","""default""",0,vcf,0.0,"['-motif', '-nextprot']",cached,GRCh37.74,,"['CD4', 'GM06990', 'GM12878', 'H1ESC', 'HeLa-S3', 'HepG2', 'HMEC', 'HSMM', 'HUVEC', 'IMR90', 'K562b', 'K562', 'NH-A', 'NHEK']","""2""","""5000""",,38187162,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2017-06-15 16:56:39.918681,72640.0,1160.5322760000001
2017-03-03 08:57:13.532837,slurm_normal,,main_w3_handler1,3017715,15197377,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7253799,vcf,9347786.roundup,slurm,,corral-repl,,,"""""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,no,"""true""","[{'src': 'hda', 'id': 28600278}]","""vcf""","""true""","""default""",0,vcf,,,,,,,"""2""","""5000""",,36408608,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2017-03-03 08:59:20.914016,,127.381179
2016-11-30 00:20:38.267475,slurm_normal,,main_w3_handler0,2802356,14449556,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",301345648,tabular,8645582.roundup,slurm,,corral-repl,,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,"""true""","[{'src': 'hda', 'id': 27438750}]","""vcf""","""true""","""default""",0,vcf,0.0,"['-motif', '-nextprot']",cached,GRCh37.74,,"['CD4', 'GM06990', 'GM12878', 'H1ESC', 'HeLa-S3', 'HepG2', 'HMEC', 'HSMM', 'HUVEC', 'IMR90', 'K562b', 'K562', 'NH-A', 'NHEK']","""2""","""5000""",,34526988,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2016-11-30 00:24:58.094990,89058.0,259.827515
2016-11-11 20:05:57.950887,slurm_normal,,main_w3_handler1,2755105,14320845,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",18789086,vcf,8528966.roundup,slurm,,corral-repl,,"[""-canon"", ""-lof"", ""-hgvs""]","""chr""","""/galaxy-repl/localdata/chrom/hg38Patch2.len""","""hg38Patch2""",0,no,"""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c64323f0fbb56c2b'}]","""vcf""","""true""","""default""",0,vcf,2.0,,named,,GRCh38.76,,"""2""","""5000""",,33949906,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2016-11-11 20:11:21.915563,72640.0,323.964676
2017-06-18 19:33:20.932686,slurm_normal,,main_w3_handler0,3125290,16126677,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11821035,vcf,10207287.roundup,slurm,,corral-repl,,"[""-lof"", ""-classic"", ""-hgvs"", ""-sequenceOntology""]","""""","""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""",0,no,"""true""","[{'src': 'hda', 'id': 30071496}]","""vcf""","""true""","""default""",0,vcf,0.0,"['-motif', '-nextprot']",cached,GRCh37.75,,"['CD4', 'GM06990', 'GM12878', 'H1ESC', 'HeLa-S3', 'HepG2', 'HMEC', 'HSMM', 'HUVEC', 'IMR90', 'K562b', 'K562', 'NH-A', 'NHEK']","""2""","""5000""",,38187162,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2017-06-18 19:37:44.777198,72640.0,263.844512
2017-06-18 19:23:48.613537,slurm_normal,,main_w4_handler1,3125290,16126623,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11821035,vcf,10207229.roundup,slurm,,corral-repl,,"[""-lof"", ""-classic"", ""-hgvs"", ""-sequenceOntology""]","""""","""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""",0,no,"""true""","[{'src': 'hda', 'id': 30071496}]","""vcf""","""true""","""default""",0,vcf,0.0,"['-motif', '-nextprot']",cached,GRCh37.74,,"['CD4', 'GM06990', 'GM12878', 'H1ESC', 'HeLa-S3', 'HepG2', 'HMEC', 'HSMM', 'HUVEC', 'IMR90', 'K562b', 'K562', 'NH-A', 'NHEK']","""2""","""5000""",,38187162,error,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.0.0,4.0.0,,2017-06-18 19:27:24.972294,72640.0,216.35875700000003
