chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.assume_sorted,parameters.chromInfo,parameters.comments,parameters.dbkey,parameters.duplicate_scoring_strategy,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.optical_duplicate_pixel_distance,parameters.read_name_regex,parameters.remove_duplicates,parameters.validation_stringency,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-11-15 10:23:01.560046,slurm_normal_16gb,,main_w1_handler2,2506856,10907283,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",865731994,bam,5160743.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/bosTau7.len""",[],"""bosTau7""","""SUM_OF_BASE_QUALITIES""",22010386,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""False""","""LENIENT""",,25994101,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-11-15 10:27:01.244564,651.0,239.68451800000003
,,2015-11-23 19:13:31.406092,slurm_normal_16gb,,main_w1_handler2,2513466,10986423,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2506875734,bam,5246437.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/?.len""",[],"""?""","""SUM_OF_BASE_QUALITIES""",22126906,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,25190917,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-11-23 19:23:11.731013,69259.0,580.324921
,,2015-03-16 18:51:06.635083,slurm_normal_single_16gb,,main_w2_handler0,2175431,8959899,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1897438559,bam,3187160.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/?.len""",[],"""?""","""SUM_OF_BASE_QUALITIES""",18869106,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""False""","""LENIENT""",,20547674,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-03-16 18:57:20.524752,30030.0,373.889669
,,2015-03-03 14:20:27.953590,rodeo_normal,,main_w1_handler1,2225212,8851180,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",474956038,bam,2987934.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/mm9.len""",[],"""mm9""","""SUM_OF_BASE_QUALITIES""",18710321,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""False""","""LENIENT""",,21076497,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-03-03 14:25:38.327818,46451.0,310.374228
,,2015-08-15 13:44:40.669922,slurm_normal_16gb,,main_w2_handler0,2409385,10124903,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1580274409,bam,4398365.roundup,slurm,,corral-repl,,"""a9b7914e435311e58f62005056a51846""","""True""","""/galaxy-repl/localdata/chrom/mm9.len""","[{""comment"": ""SNP Output 2.2"", ""__index__"": 0}]","""mm9""","""SUM_OF_BASE_QUALITIES""",20783952,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,24195317,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-08-15 19:33:33.837428,47982.0,20933.167506
,,2015-08-19 05:48:29.509114,slurm_normal_16gb,,main_w2_handler0,2411662,10146362,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1635074722,bam,4418212.roundup,slurm,,corral-repl,,"""d7d7fb38463511e59fba005056a52a46""","""True""","""/galaxy-repl/main/files/012/203/dataset_12203125.dat""",[],"""dm6_iso_all""","""SUM_OF_BASE_QUALITIES""",20819163,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""False""","""LENIENT""",,24737192,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-08-19 08:51:12.498977,58185.0,10962.989863
,,2015-10-23 07:39:57.341529,slurm_normal_16gb,,main_w2_handler1,2482075,10696557,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",856219002,bam,4960847.roundup,slurm,,corral-repl,,"""25256d20795911e5bafc005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","[{""comment"": ""SNP output 1.1"", ""__index__"": 0}]","""hg19""","""SUM_OF_BASE_QUALITIES""",21693958,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,25182108,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-10-23 10:50:03.895970,66615.0,11406.554441
,,2015-12-06 07:27:51.300364,slurm_normal_16gb,,main_w1_handler1,2529890,11102201,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",242196699,bam,5363536.roundup,slurm,,corral-repl,,"""bb6398269bea11e594e9005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/mm9.len""","[{""comment"": ""SNP Output 1.2"", ""__index__"": 0}]","""mm9""","""SUM_OF_BASE_QUALITIES""",22325957,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,26611606,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-12-06 12:47:22.291422,74340.0,19170.991058
,,2015-10-12 14:28:30.567903,slurm_normal_16gb,,main_w1_handler1,2461476,10548620,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9816035215,bam,4821863.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""SUM_OF_BASE_QUALITIES""",21408713,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""LENIENT""",,25631509,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-10-12 14:38:09.346540,29344.0,578.778637
,,2015-12-13 10:32:47.956316,slurm_normal_16gb,,main_w1_handler2,2532105,11165990,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",645364940,bam,5435558.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/dm3.len""",[],"""dm3""","""SUM_OF_BASE_QUALITIES""",22427643,,,"""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""True""","""SILENT""",,26770469,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MarkDuplicates/1.126.0,1.126.0,,2015-12-13 10:35:48.377212,74984.0,180.420896
