chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB1,inputB1_filetype,inputB2,inputB2_filetype,inputB3,inputB3_filetype,inputB4,inputB4_filetype,inputB5,inputB5_filetype,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.count,parameters.dbkey,parameters.fraction,parameters.header,parameters.inputA,parameters.inputA.values,parameters.inputB,parameters.inputB.values,parameters.invert,parameters.once,parameters.overlap_mode,parameters.reciprocal,parameters.split,parameters.strand,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-07 16:50:58.356376,slurm_normal,,main_w1_handler0,2652603,13098924,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7885712,bed,1390805261,1390805261,bed,,,,,,,,,bed,7282880.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""false""","""hg38""","""0.5""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5647866cc01389b80'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b515d6c4c9419d6952'}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,30574998,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-06-07 16:53:06.884836,64006,128.52846
,,2016-04-13 03:37:46.581546,slurm_normal,,main_w2_handler1,2645667,12436430,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",593019385,bed,1091445356,1091445356,bed,,,,,,,,,bed,6636113.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""true""","""Homo_sapiens_nuHg19_mtrCRS""","""0.5""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5af9d6a527e3fe74f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54031edf9875e1493'}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,29495124,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-04-13 03:38:50.746995,79460,64.16544900000001
,,2016-04-22 15:53:22.871558,slurm_normal,,main_w1_handler2,2677438,12569617,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9198,bed,5344174107,5344174107,bam,,,,,,,,,bam,6755073.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""true""","""hg_g1k_v37""","""0.52""","""true""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b506048f89f892b169'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58dc30365ae8bf2e3'}]","""false""","""true""","[""-wb""]","""true""","""false""","""""",,29539513,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-04-22 15:54:08.588136,76422,45.716578000000005
,,2016-03-20 16:20:32.353551,slurm_normal,,main_w1_handler0,2639541,12204068,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",26927282,vcf,13898039460,13898039460,bam,,,,,,,,,bam,6415981.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/TRAC.len""","""False""","""TRAC""","""""","""False""",23930468,,"""23926879""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",,29077252,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-03-20 16:22:23.159684,68732,110.806133
,,2016-04-22 15:59:45.924293,slurm_normal,,main_w1_handler2,2677438,12570164,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9198,bed,5344174107,5344174107,bam,,,,,,,,,bam,6755130.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""false""","""hg_g1k_v37""","""0.52""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b506048f89f892b169'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58dc30365ae8bf2e3'}]","""false""","""true""","[""-wb""]","""true""","""false""","""""",,29539513,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-04-22 16:00:26.367083,76422,40.44279
,,2016-03-10 14:12:27.922422,slurm_normal,,main_w2_handler1,1372215,12095876,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6752,bed,2995678625,2995678625,bam,,,,,,,,,bam,6320244.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/panTro4.len""","""False""","""panTro4""","""0.5""","""False""",23713907,,"""23778093""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",,27460700,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-03-10 14:13:25.950388,32813,58.027966000000006
,,2016-03-07 15:14:21.519470,slurm_normal,,main_w1_handler1,1372215,12056138,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6752,bed,2814273221,2814273221,bam,,,,,,,,,bam,6279522.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/panTro4.len""","""False""","""panTro4""","""0.5""","""False""",23713907,,"""23709122""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",,27460700,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-03-07 15:15:45.915854,32813,84.39638400000001
,,2016-06-08 10:36:13.104151,slurm_normal,,main_w1_handler1,2716567,13105778,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3124287,vcf,26270226601,26270226601,bed,7572857398.0,vcf,,,,,,,bed,7291981.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bc043d1436f58046'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bdf224b76f2a1a6c'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5daa362f81d8d6470'}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,30723747,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-06-08 10:37:14.449170,85019,61.345019
,,2016-03-07 11:50:44.103522,slurm_normal,,main_w1_handler2,1372215,12050955,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6752,bed,2814273221,2814273221,bam,,,,,,,,,bam,6276595.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/panTro4.len""","""False""","""panTro4""","""0.5""","""False""",23713907,,"""23709122""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",,27460700,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-03-07 11:51:49.236365,32813,65.13284300000001
,,2016-06-02 12:45:18.570236,slurm_normal,,main_w2_handler0,2652603,13049327,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6327102,bed,973008375,973008375,bed,,,,,,,,,bed,7235375.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""false""","""hg38""","""""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5208f84999c2c1cf3'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b2718df9ad835c59'}]","""false""","""true""","[""-wa""]","""false""","""false""","""""",,30574998,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-06-02 13:04:17.344172,64006,1138.773936
,,2016-03-20 16:29:21.332577,slurm_normal,,main_w1_handler2,2639541,12204107,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",26927282,vcf,13898039460,13898039460,bam,,,,,,,,,bam,6416033.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/TRAC.len""","""False""","""TRAC""","""""","""False""",23930468,,"""23926879""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",,29077252,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-03-20 16:32:11.012235,68732,169.67965800000002
,,2016-05-27 06:36:14.708405,slurm_normal,,main_w1_handler1,2658961,12999007,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",84438,bed,553759435,553759435,bam,,,,,,,,,bam,7186125.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""0.2""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51e9ddd34f4229a40'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d1d6d88db21f413b'}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,30210765,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-05-27 06:37:28.299814,82030,73.591409
,,2016-06-07 16:56:37.947029,slurm_normal,,main_w2_handler0,2652603,13098967,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7885712,bed,1234918095,1234918095,bed,,,,,,,,,bed,7282949.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""false""","""hg38""","""0.5""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5647866cc01389b80'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59b746e81cc88a74a'}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,30574998,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-06-07 16:57:38.431098,64006,60.484069000000005
,,2016-01-08 20:12:09.256459,slurm_normal,,main_w2_handler0,2517665,11425212,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4826514,bed,1925059967,1925059967,bam,,,,,,,,,bam,5687790.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""""","""False""",22791039,,"""22174221""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",,26785092,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-01-08 20:13:15.815604,74111,66.559145
,,2016-06-07 16:52:03.176191,slurm_normal,,main_w1_handler1,2652603,13098934,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7885712,bed,1713936991,1713936991,bed,,,,,,,,,bed,7282893.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""false""","""hg38""","""0.5""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5647866cc01389b80'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a295d4d68df25243'}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,30574998,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-06-07 16:54:24.861934,64006,141.685743
,,2016-05-13 14:12:25.808520,slurm_normal,,main_w1_handler0,2700893,12884725,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",599402,bed,999681341,999681341,bam,,,,,,,,,bam,7083720.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""true""","""mm9""","""""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c418afb9fda1a9c8'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57308dfe1e8a2d434'}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,28776799,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-05-13 14:13:35.021021,67495,69.212501
,,2016-05-03 14:36:29.369018,slurm_normal,,main_w2_handler1,2687946,12758450,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",924140,bed,2645108427,2645108427,bed,,,,,,,,,bed,6953862.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""true""","""hg19""","""1""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53ac1958a01c9f699'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b506d5e14acf69996d'}]","""false""","""false""","[""-wo""]","""false""","""false""","""-s""",,29539513,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-05-03 14:37:40.151953,76422,70.78293500000001
,,2016-06-08 10:38:05.322627,slurm_normal,,main_w1_handler1,2716567,13105803,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3124287,vcf,7572857398,7572857398,vcf,,,,,,,,,vcf,7291998.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bc043d1436f58046'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5daa362f81d8d6470'}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,30723747,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-06-08 10:39:40.550504,85019,95.227877
,,2016-06-09 13:08:33.313378,slurm_normal,,main_w2_handler0,2480912,13120743,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1008787,bed,259889478,259889478,gff3,,,,,,,,,gff3,7304840.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","""?""","""""","""true""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a5cd0039507aeaf1'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f7e8d56d8baffa83'}]","""false""","""false""","[""-wa""]","""false""","""false""","""""",,30471634,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-06-09 13:09:36.474523,71005,63.161145000000005
,,2016-04-22 16:05:48.349616,slurm_normal,,main_w2_handler1,2677438,12571304,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9198,bed,5344174107,5344174107,bam,,,,,,,,,bam,6755196.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""false""","""hg_g1k_v37""","""0.52""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b506048f89f892b169'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58dc30365ae8bf2e3'}]","""false""","""false""","[""-wb""]","""false""","""false""","""""",,29539513,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-04-22 16:06:32.819638,76422,44.470022
