create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.option,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-06-16 08:43:25.165211,slurm_normal,,main_w2_handler0,2740646,13180752,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5725854075,bed,7365284.roundup,slurm,,corral-repl,,"""637f357e339e11e68967005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8805d77cf2f0f6b'}]","""""",,30898864,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-16 08:45:54.492791,21292,149.32758
2016-12-16 16:26:22.545822,slurm_normal,,main_w4_handler1,2932177,14594373,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",852186206,bed,8772803.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 27662858}]","""""",,34879291,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-12-16 16:30:34.847758,86671,252.301936
2016-10-04 09:45:24.530220,slurm_normal,,main_w4_handler0,2826140,14003213,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4637914797,bed,8221993.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","[{'src': 'hda', 'id': 'bbd44e69cb8906b560bdc45660664306'}]","""""",,33054968,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-10-04 09:50:15.647483,79607,291.11726300000004
2016-12-17 20:15:35.806463,slurm_normal,,main_w3_handler0,2932177,14599982,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1200689315,bed,8778215.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27671968}]","""""",,34879291,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-12-17 20:32:06.711805,86671,990.905342
2016-12-17 20:15:37.938980,slurm_normal,,main_w4_handler1,2932177,14599988,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",886277559,bed,8778209.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27671974}]","""""",,34879291,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-12-17 20:28:14.530481,86671,756.591501
2017-02-17 22:05:19.002376,slurm_normal,,main_w3_handler1,2975097,15071341,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1402217245,bed,9229330.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28143219}]","""""",,35696643,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2017-02-18 10:54:11.153623,52630,46132.151247
2017-02-14 18:15:24.579917,slurm_normal,,main_w3_handler1,2813231,15037071,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4486683642,bed,9193399.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28348064}]","""-chrThenScoreD""",,35214981,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2017-02-14 18:40:57.546472,85575,1532.9665550000002
2016-06-29 11:17:23.797624,slurm_normal,,main_w1_handler0,2753019,13286259,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",746430481,bed,7481171.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ffcf1b8011f27d21'}]","""""",,30904963,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-06-29 11:19:42.778932,53876,138.981308
2016-08-31 20:08:36.510434,slurm_normal,,main_w3_handler1,2807218,13758455,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",665574598,bed,7979637.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59150f2382ef136aa'}]","""""",,32502527,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-08-31 20:24:15.839286,50065,939.3288520000001
2016-12-16 16:10:49.057209,slurm_normal,,main_w3_handler1,2932177,14594203,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",852186206,bed,8772715.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 27662858}]","""""",,34879291,error,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.24.0,2.24.0,,2016-12-16 16:23:36.365067,86671,767.307858
