chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.chromInfo,parameters.dbkey,parameters.refGenomeSource.__current_case__,parameters.refGenomeSource.genomeSource,parameters.refGenomeSource.index,parameters.refGenomeSource.indexParams.__current_case__,parameters.refGenomeSource.indexParams.indexSettings,parameters.refGenomeSource.ownFile.values,parameters.singlePaired.__current_case__,parameters.singlePaired.sInput1,parameters.singlePaired.sInput1.values,parameters.singlePaired.sPaired,parameters.singlePaired.sParams.__current_case__,parameters.singlePaired.sParams.sAlignLimit,parameters.singlePaired.sParams.sAllValAligns,parameters.singlePaired.sParams.sBestOption.__current_case__,parameters.singlePaired.sParams.sBestOption.sBest,parameters.singlePaired.sParams.sBestOption.sdMaxBacktracks,parameters.singlePaired.sParams.sBestOption.sdStrata,parameters.singlePaired.sParams.sBestOption.snMaxBacktracks,parameters.singlePaired.sParams.sMaqSoapAlign,parameters.singlePaired.sParams.sMaxFile,parameters.singlePaired.sParams.sMismatchQual,parameters.singlePaired.sParams.sMismatchSeed,parameters.singlePaired.sParams.sOffrate,parameters.singlePaired.sParams.sRounding,parameters.singlePaired.sParams.sSeed,parameters.singlePaired.sParams.sSeedLen,parameters.singlePaired.sParams.sSettingsType,parameters.singlePaired.sParams.sSkip,parameters.singlePaired.sParams.sSuppressAlign,parameters.singlePaired.sParams.sTrimH,parameters.singlePaired.sParams.sTrimL,parameters.singlePaired.sParams.sTryHard,parameters.singlePaired.sParams.sUnmappedFile,parameters.singlePaired.sParams.sValAlign,parameters.suppressHeader,runner_name,sInput1,sInput1_filetype,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-05-08 14:35:17.918525,slurm_multi_dynamic_walltime,,main_w3_handler2,3030986,15780151,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9886391,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,indexed,/galaxy/data/hg19/bowtie_index/hg19,,,,0,,"[{'src': 'hda', 'id': 29516084}]",single,1,-1,doAllValAligns,0,noBest,,,125,-1,true,70,0,-1,round,-1,30,full,0,-1,0,0,noTryHard,false,1,"""false""",,2875977140,fastqsanger,37833281,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper/1.1.2,1.1.2,,2017-05-08 14:40:40.464846,102000,322.54632100000003
,,2016-02-10 00:19:30.001881,slurm_multi_dynamic_walltime,,main_w2_handler2,2570541,11768019,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6023817,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,indexed,/galaxy/data/mm9/bowtie_index/mm9,,,,0,22964146.0,,single,1,-1,doAllValAligns,0,noBest,,,125,-1,False,70,2,-1,round,-1,28,full,0,-1,0,0,noTryHard,False,-1,"""False""",,8861352289,fastqsanger,27562728,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper/1.1.2,1.1.2,,2016-02-10 01:20:22.145486,54005,3652.143605
,,2017-10-11 14:06:43.777072,slurm_multi,,main_w4_handler2,2039995,17078436,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11134263.roundup,slurm,,corral-repl,3199905909.0,fasta,,0.0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,history,,0.0,indexPreSet,"[{'src': 'hda', 'id': 16913530}]",0,,"[{'src': 'hda', 'id': 31636756}]",single,1,-1,doAllValAligns,1,doBest,800,doStrata,,-1,false,70,2,-1,round,-1,28,full,0,-1,0,0,noTryHard,false,2,"""false""",,23847876,fastqsanger,40847503,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper/1.1.2,1.1.2,,2017-10-11 17:30:13.053607,50891,12209.276535
,,2017-05-08 13:36:57.509681,slurm_multi_dynamic_walltime,,main_w4_handler2,3030986,15779460,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9885777,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,indexed,/galaxy/data/hg19/bowtie_index/hg19,,,,0,,"[{'src': 'hda', 'id': 29516084}]",single,1,-1,doAllValAligns,0,noBest,,,125,-1,true,70,0,-1,round,-1,30,full,0,-1,0,0,noTryHard,false,1,"""false""",,2875977140,fastqsanger,37833281,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper/1.1.2,1.1.2,,2017-05-08 13:47:18.667277,102000,621.157596
,,2016-04-06 21:15:28.650616,slurm_multi_dynamic_walltime,,main_w2_handler2,2645321,12356710,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6561274,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,indexed,/galaxy/data/mm9/bowtie_index/mm9,,,,0,24163805.0,,single,1,-1,doAllValAligns,0,noBest,,,125,2,False,70,2,-1,round,-1,20,full,0,-1,0,0,noTryHard,False,40,"""False""",,762105722,fastqsanger,28867719,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper/1.1.2,1.1.2,,2016-04-07 01:41:30.323985,34556,15961.673369
12.0,len,2015-05-19 00:35:36.160540,slurm_multi_dynamic_walltime,,main_w2_handler2,2281774,9491300,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3813824,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/main/files/011/316/dataset_11316547.dat""","""?""",0,indexed,/galaxy/data/hg19/bowtie_index/hg19,,,,0,19696575.0,,single,1,-1,doAllValAligns,0,noBest,,,125,-1,False,70,2,-1,round,-1,28,full,0,-1,0,0,doTryHard,False,100,"""False""",,132128022,fastqsanger,22847842,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper/1.1.2,1.1.2,,2015-05-19 00:56:02.322102,51090,1226.161562
,,2016-02-10 14:54:50.317197,slurm_multi_dynamic_walltime,,main_w2_handler2,2570541,11778601,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6030850,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,indexed,/galaxy/data/mm9/bowtie_index/mm9,,,,0,23264213.0,,single,1,-1,doAllValAligns,0,noBest,,,125,-1,False,70,2,-1,round,-1,28,full,0,-1,0,0,noTryHard,False,99999,"""False""",,1956354925,fastqsanger,27148950,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper/1.1.2,1.1.2,,2016-02-10 15:34:25.358082,54005,2375.0408850000003
,,2017-10-11 14:06:44.959143,slurm_multi,,main_w3_handler2,2039995,17078437,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11134264.roundup,slurm,,corral-repl,3199905909.0,fasta,,0.0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",1,history,,0.0,indexPreSet,"[{'src': 'hda', 'id': 16913530}]",0,,"[{'src': 'hda', 'id': 31636757}]",single,1,-1,doAllValAligns,1,doBest,800,doStrata,,-1,false,70,2,-1,round,-1,28,full,0,-1,0,0,noTryHard,false,2,"""false""",,21187721,fastqsanger,40847503,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper/1.1.2,1.1.2,,2017-10-11 17:15:40.967868,50891,11336.008725000002
,,2016-04-02 08:49:18.154275,slurm_multi_dynamic_walltime,,main_w2_handler2,2651811,12319538,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6526460,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,indexed,hg38canon,,,,0,24114560.0,,single,1,-1,doAllValAligns,1,doBest,800,noStrata,,-1,False,10000,0,-1,round,-1,22,full,0,-1,0,0,noTryHard,False,4,"""True""",,3804008178,fastqsanger,29373295,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper/1.1.2,1.1.2,,2016-04-02 14:10:35.507547,44863,19277.353272
,,2017-11-10 16:10:12.667981,slurm_multi,,main_w3_handler2,3315514,17411770,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11473635,slurm,,corral-repl,,,,0.0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,indexed,/galaxy/data/hg19/bowtie_index/hg19,,,,0,,"[{'src': 'hda', 'id': 32230428}]",single,1,-1,doAllValAligns,0,noBest,,,125,-1,false,70,3,-1,round,-1,5,full,0,-1,0,0,doTryHard,false,3,"""false""",,2141756955,fastqsanger,41729902,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie_wrappers/bowtie_wrapper/1.1.2,1.1.2,,2017-11-10 16:12:03.217188,50714,110.54920700000001
