bamInput,bamInput_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.bamInput.values,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.scaleFactor,parameters.scaling.type,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2444547015,bam,2016-10-20 17:12:47.301022,slurm_multi,,main_w3_handler2,2851323,14132955,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8347327,slurm,,corral-repl,,0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59176708827c14dfb'}]","""1""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",0,1.0,rpkm,,31708225,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.5.0,2.3.5.0,,2016-10-20 17:36:10.542019,70029,1403.240997
2444547015,bam,2016-10-20 18:44:18.674183,slurm_multi,,main_w4_handler2,2851323,14133977,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8348615,slurm,,corral-repl,,0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59176708827c14dfb'}]","""1""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",0,1.0,rpkm,,31708225,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.5.0,2.3.5.0,,2016-10-20 19:52:02.607959,70029,4063.9337760000003
