create_time,destination_id,exit_code,fastq_input1,fastq_input1_filetype,fastq_input2,fastq_input2_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.description_length,parameters.fastq_input.__current_case__,parameters.fastq_input.fastq_input1,parameters.fastq_input.fastq_input1.values,parameters.fastq_input.fastq_input2,parameters.fastq_input.fastq_input2.values,parameters.fastq_input.fastq_input_selector,parameters.fastq_input.filter_chimeras.__current_case__,parameters.fastq_input.filter_chimeras.abundance_cutoff,parameters.fastq_input.filter_chimeras.abundance_ratio,parameters.fastq_input.filter_chimeras.dissimilarity_control,parameters.fastq_input.filter_chimeras.filter_chimeras_selector,parameters.fastq_input.filter_chimeras.min_chimeric_length,parameters.match_length,parameters.mismatches_allowed,parameters.prefix_length,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-04 10:53:52.180875,slurm_normal,,929203919,fasta,933705168.0,fasta,main_w4_handler1,2840187,14003548,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8222338.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f503ebcf1be0a128'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a754168e41f2b317'}]",paired,,,,,,,"""false""","""0.05""","""0""",,33445217,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2016-10-04 10:59:41.374219,91389.0,349.193344
2017-02-17 03:00:32.660447,slurm_normal,,10649461481,fasta,10649461481.0,fasta,main_w4_handler0,2997589,15063341,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9218795.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",0,,"[{'src': 'hda', 'id': 28392684}]",,"[{'src': 'hda', 'id': 28392683}]",paired,,,,,,,"""true""","""""","""0""",,36074625,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-02-17 03:02:26.463776,100275.0,113.803329
2017-12-03 08:21:01.611801,slurm_normal,,106459821,fasta,,,main_w3_handler0,3319449,17679749,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11742386,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 32212814}]",,,single,1.0,,,,false,,"""true""","""""","""0""",,42420243,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-12-03 08:21:27.226120,88606.0,25.614319000000002
2017-03-17 07:08:53.443599,slurm_normal,,17259930231,fastqsanger,,,main_w3_handler0,2806770,15321214,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9462198.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 28152684}]",,,single,1.0,,,,false,,"""true""","""0.0""","""0""",,36632592,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-03-17 07:09:58.960305,89282.0,65.516706
2016-09-01 06:03:29.089842,slurm_normal,,5389622662,fastqsanger,,,main_w3_handler0,2802419,13760484,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7981846.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e8665310e727c819'}]",,,single,1.0,,,,false,,"""true""","""""","""0""",,32573845,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2016-09-01 06:05:42.807346,57553.0,133.71750400000002
2016-11-23 13:29:58.878184,slurm_normal,,7276245578,fastqsanger,,,main_w4_handler0,2905438,14414552,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8619323.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 27382428}]",,,single,1.0,,,,false,,"""true""","""""","""0""",,34276861,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2016-11-23 13:32:24.920740,91188.0,146.04255600000002
2018-02-19 19:09:45.740322,slurm_normal,,30344181920,fastqsanger,30428535194.0,fastqsanger,main_w4_handler0,3107233,18439172,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12533870,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",0,,"[{'src': 'hda', 'id': 33793868}]",,"[{'src': 'hda', 'id': 33793869}]",paired,,,,,,,"""true""","""""","""0""",,43826301,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2018-02-19 19:11:26.377433,105633.0,100.637111
2017-09-27 22:35:00.066909,slurm_normal,,3137079699,fastqsanger,,,main_w3_handler0,3107233,16953828,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11022106.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 31407631}]",,,single,1.0,,,,false,,"""true""","""""","""0""",,40872543,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-09-27 22:39:26.485697,105633.0,266.418788
2017-06-07 09:38:10.919831,slurm_normal,,2688235221,fasta,2688235221.0,fasta,main_w3_handler1,3026868,16038684,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10128881.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""50""",0,,"[{'src': 'hda', 'id': 29398265}]",,"[{'src': 'hda', 'id': 29398265}]",paired,,,,,,,"""true""","""2.0""","""10""",,36556879,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-06-07 09:40:23.010864,101854.0,132.091033
2018-02-12 13:44:42.818202,slurm_normal,,30344181920,fastqsanger,30428535194.0,fastqsanger,main_w3_handler0,3107233,18349749,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12434352,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",0,,"[{'src': 'hda', 'id': 33793868}]",,"[{'src': 'hda', 'id': 33793869}]",paired,,,,,,,"""true""","""""","""0""",,43826301,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2018-02-12 13:45:38.097452,105633.0,55.279250000000005
2017-02-17 03:03:17.002360,slurm_normal,,10649461481,fasta,,,main_w4_handler0,2997589,15063343,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9218802.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 28392683}]",,,single,1.0,,,,false,,"""true""","""""","""0""",,36074625,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-02-17 03:04:24.005440,100275.0,67.00308
2017-12-03 05:37:27.898236,slurm_normal,,106459821,fasta,,,main_w4_handler1,3319449,17679154,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11741850,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 32212814}]",,,single,1.0,,,,false,,"""true""","""""","""0""",,42420243,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-12-03 05:37:53.456959,88606.0,25.558723
2017-06-10 20:51:05.099893,slurm_normal,,40604344725,fastqsanger,39243677263.0,fastqsanger,main_w4_handler1,2789917,16072225,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10160260.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",0,,"[{'src': 'hda', 'id': 29963805}]",,"[{'src': 'hda', 'id': 29963799}]",paired,,,,,,,"""true""","""""","""0""",,38547021,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-06-10 20:52:37.934484,87650.0,92.834591
2017-03-29 11:15:33.627048,slurm_normal,,9126837434,fastqsanger,,,main_w4_handler1,2959797,15423123,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9555117.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 28966973}]",,,single,1.0,,,,false,,"""true""","""""","""0""",,36664241,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-03-29 11:19:09.841025,91188.0,216.213977
2017-12-03 08:21:50.918548,slurm_normal,,106459821,fasta,,,main_w3_handler0,3319449,17679752,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11742389,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 32212814}]",,,single,1.0,,,,false,,"""true""","""""","""0""",,42420243,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-12-03 08:22:15.619195,88606.0,24.700647
2017-08-16 12:55:57.737236,slurm_normal,,10164512016,fasta,,,main_w3_handler1,2999845,16593390,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10665282.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 30891560}]",,,single,1.0,,,,false,,"""true""","""""","""0""",,38526956,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-08-16 12:57:42.853721,100375.0,105.11648500000001
2017-05-24 08:02:53.234148,slurm_normal,,82399740,fasta,,,main_w3_handler0,2980929,15924724,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10022693.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 29747461}]",,,single,0.0,1,1,1,true,30,"""false""","""""","""0""",,38181297,error,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-05-24 08:04:48.777907,74240.0,115.54375900000001
