create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.field1,parameters.field1.__class__,parameters.field1.value,parameters.field2,parameters.field2.__class__,parameters.field2.value,parameters.fill_empty_columns.__current_case__,parameters.fill_empty_columns.fill_empty_columns_switch,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.partial,parameters.unmatched,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-09-01 14:22:20.384269,slurm_normal_16gb,,main_w1_handler1,2418655,10236945,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11680254847,tabular,11284457725,tabular,4517843.roundup,slurm,,corral-repl,,"""d354c54e50b411e5af2d005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,,UnvalidatedValue,1,0,no_fill,20973327,,20973326,,"""""","""""",,24306351,error,join1,2.0.2,,2015-09-01 16:19:47.289241,46374,7046.904972
2014-12-24 13:16:37.287811,rodeo_normal,,main_w2_handler1,1913223,8463991,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",413,tabular,4942994172,interval,2371856.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2""",,,"""2""",,,0,no_fill,18061875,,18047673,,"""-p""","""-u""",,20053988,error,join1,2.0.2,,2014-12-24 13:19:18.995326,23526,161.707515
2014-12-24 15:30:04.811530,rodeo_normal,,main_w2_handler0,1913223,8464254,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",939,tabular,3326476360,interval,2372367.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2""",,,"""3""",,,0,no_fill,18062425,,18062385,,"""-p""","""-u""",,20053988,error,join1,2.0.2,,2014-12-24 18:14:50.603235,23526,9885.791705000001
2016-09-02 20:35:05.067360,slurm_normal_16gb,,main_w3_handler0,2061243,13772453,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1177271,gg,1182065,gg,7993723.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""2""",,,0,no_fill,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54d6052917a06f75b'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52d8e9ca7ab12e981'}]","""""","""""",,32745063,error,join1,2.0.2,,2016-09-02 21:24:21.493682,51104,2956.4263220000003
2016-02-04 11:10:18.737631,slurm_normal_16gb,,main_w2_handler0,2584576,11709088,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10939556521,tabular,8500611379,tabular,5967281.roundup,slurm,,corral-repl,,"""dcdc40d8cb2f11e5a5aa005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,,UnvalidatedValue,1,0,no_fill,23184278,,23184276,,"""""","""""",,28025327,error,join1,2.0.2,,2016-02-04 11:41:26.623371,77829,1867.8857400000002
2015-08-26 14:08:30.277110,slurm_normal_16gb,,main_w1_handler1,2418655,10204202,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11930778312,tabular,11533152795,tabular,4474871.roundup,slurm,,corral-repl,,"""e6a1f35a4bfb11e5ad62005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,,UnvalidatedValue,1,0,no_fill,20915253,,20915252,,"""""","""""",,24306351,error,join1,2.0.2,,2015-08-26 16:37:10.722243,46374,8920.445133000001
2015-09-01 18:55:32.956140,slurm_normal_16gb,,main_w1_handler2,2425426,10239412,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11930778312,tabular,11533152795,tabular,4520359.roundup,slurm,,corral-repl,,"""fd4b73f450da11e580ad005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,,UnvalidatedValue,1,0,no_fill,20976760,,20976759,,"""""","""""",,24306351,error,join1,2.0.2,,2015-09-01 21:09:36.237089,46374,8043.280949000001
2015-06-15 21:03:01.658388,slurm_normal_16gb,,main_w2_handler1,2319831,9657827,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",279127875,tabular,24393582266,sam,3968246.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""1""",,,0,no_fill,20013384,,19956244,,"""""","""""",,23645185,error,join1,2.0.2,,2015-06-15 21:10:04.628543,51511,422.97015500000003
2015-06-15 20:47:54.128151,slurm_normal_16gb,,main_w2_handler1,2319831,9657762,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",279127875,tabular,24393582266,sam,3968164.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,,"""1""",,,0,no_fill,20013384,,19956244,,"""""","""""",,23645185,error,join1,2.0.2,,2015-06-15 20:55:19.074874,51511,444.946723
2016-02-04 11:10:19.544424,slurm_normal_16gb,,main_w1_handler1,2584576,11709089,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10939556521,tabular,8500611379,tabular,5967361.roundup,slurm,,corral-repl,,"""dcdc40d8cb2f11e5a5aa005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,1,,UnvalidatedValue,1,0,no_fill,23184280,,23184277,,"""""","""""",,28025327,error,join1,2.0.2,,2016-02-04 11:47:01.624344,77829,2202.07992
