chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.dnarna,parameters.input,parameters.input.values,parameters.out_order,parameters.outcontrol.__current_case__,parameters.outcontrol.out_seqnos,parameters.outcontrol.outform,parameters.outname,parameters.range.__current_case__,parameters.range.mode,parameters.range.seq_range_end,parameters.range.seq_range_start,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-12-05 08:08:25.113609,slurm_normal,,main_w2_handler0,2529151,11093810,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1501316021,fasta,5350997.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""DNA""",22314861,,"""ALIGNED""",2,OFF,clustal,"""Clustal_run""",0,complete,,,,26604475,error,toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw/0.1,0.1,,2015-12-05 08:12:04.377662,74827.0,219.26405300000002
,,2015-02-26 19:25:44.311592,rodeo_normal,,main_w2_handler1,2217127,8822575,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2521279875,fasta,2933772.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""DNA""",18634084,,"""ALIGNED""",2,OFF,clustal,"""Clustal_run""",0,complete,,,,21418732,error,toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw/0.1,0.1,,2015-02-26 19:29:57.467430,53428.0,253.15583800000002
,,2017-01-30 12:41:26.620301,slurm_normal,,main_w4_handler0,2937157,14904192,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",520222551,fasta,9060353.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""DNA""",,"[{'src': 'hda', 'id': 28136866}]","""ALIGNED""",2,OFF,clustal,"""Clustal_run""",0,complete,,,,35402671,error,toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw/0.1,0.1,,2017-01-30 12:46:33.526808,88083.0,306.90650700000003
,,2016-12-20 11:55:28.587830,slurm_normal,,main_w4_handler1,2922877,14614860,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",867660379,fasta,8809228.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""DNA""",,"[{'src': 'hda', 'id': 27536906}]","""ALIGNED""",2,OFF,clustal,"""Clustal_run_all""",0,complete,,,,34716217,error,toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw/0.1,0.1,,2016-12-22 18:34:41.940693,83430.0,196753.352863
,,2018-01-09 22:46:32.474499,slurm_normal,,main_w4_handler0,3383185,17986711,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3275617,fasta,12063119,slurm,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""DNA""",,"[{'src': 'hda', 'id': 33237441}]","""ALIGNED""",2,OFF,clustal,"""Clustal_run-80-UCHT1: CD28 removed""",0,complete,,,,42590566,error,toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw/0.1,0.1,,2018-01-09 22:56:51.260992,91624.0,618.7864930000001
,,2015-10-29 06:18:03.331139,slurm_normal,,main_w1_handler2,2487562,10761338,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7625297562,fasta,5020265.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""DNA""",21791032,,"""ALIGNED""",0,,fasta,"""Clustal_run""",0,complete,,,,25938263,error,toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw/0.1,0.1,,2015-10-29 06:22:18.996339,70526.0,255.66520000000003
,,2016-12-20 11:55:24.559915,slurm_normal,,main_w4_handler0,2922877,14614856,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",607008735,fasta,8791391.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""DNA""",,"[{'src': 'hda', 'id': 27536687}]","""ALIGNED""",2,OFF,clustal,"""Clustal_run_all""",0,complete,,,,34716217,error,toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw/0.1,0.1,,2016-12-20 12:01:47.492896,83430.0,382.93298100000004
,,2016-12-20 11:55:34.600516,slurm_normal,,main_w4_handler1,2922877,14614871,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",250439911,fasta,8813348.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""DNA""",,"[{'src': 'hda', 'id': 27552838}]","""ALIGNED""",2,OFF,clustal,"""Clustal_run_all""",0,complete,,,,34716217,error,toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw/0.1,0.1,,2016-12-23 12:02:42.457011,83430.0,259627.856495
,,2016-07-15 03:20:41.824708,slurm_normal,,main_w2_handler1,2709566,13416710,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",175585359,fasta,7628914.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""DNA""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5121baf3d82274e4e'}]","""ALIGNED""",2,OFF,clustal,"""Clustal_run""",0,complete,,,,30327370,error,toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw/0.1,0.1,,2016-07-15 07:36:52.897973,84749.0,15371.073265
,,2015-05-12 10:04:08.211704,slurm_normal,,main_w2_handler0,1413034,9452069,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3066491870,fasta,3777406.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""DNA""",19674473,,"""ALIGNED""",0,,fasta,"""Clustal_run_461_241_1""",0,complete,,,,23027909,error,toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw/0.1,0.1,,2015-05-12 10:08:46.531286,33888.0,278.319582
