candidate,candidate_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.align,parameters.alignment.__current_case__,parameters.alignment.source,parameters.alignment.template.values,parameters.candidate.values,parameters.chromInfo,parameters.dbkey,parameters.reverse.__current_case__,parameters.reverse.flip,parameters.reverse.threshold,parameters.scoring.__current_case__,parameters.scoring.adjust,parameters.search.__current_case__,parameters.search.ksize,parameters.search.method,runner_name,session_id,state,template,template_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
180658,fasta,2017-05-03 16:43:58.130916,slurm_normal,,main_w4_handler1,2946172,15737631,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9847310.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29454044}]","[{'src': 'hda', 'id': 29453996}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37738076,error,21564343,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-05-03 16:44:21.730095,82702.0,23.599179000000003
164928112,fasta,2017-04-18 11:58:53.040736,slurm_normal,,main_w3_handler1,3077160,15613367,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9732103.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29256167}]","[{'src': 'hda', 'id': 29257992}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37330514,error,1564812819,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-18 12:02:37.048728,80831.0,224.007992
46801555,fasta,2017-03-20 17:23:34.613059,slurm_normal,,main_w3_handler0,1609768,15345829,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9485097.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28740489}]","[{'src': 'hda', 'id': 28563029}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,36628338,error,747397400,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-03-20 17:24:41.936884,28561.0,67.323825
164330793,fasta,2017-06-20 01:28:42.358260,slurm_normal,,main_w4_handler1,2885491,16138381,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10218080.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 30077560}]","[{'src': 'hda', 'id': 30073413}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37775719,error,1564812819,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-06-20 01:32:46.848862,94144.0,244.49060200000002
634287,fasta,2017-04-22 00:22:00.912811,slurm_normal,,main_w3_handler1,3082534,15648430,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9765852.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29315068}]","[{'src': 'hda', 'id': 29314816}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37486914,error,1564812819,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-22 00:26:01.060956,101716.0,240.14814500000003
158117345,fasta,2017-04-18 11:50:31.158251,slurm_normal,,main_w3_handler1,3077160,15613250,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9732044.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 29256167}]","[{'src': 'hda', 'id': 29257995}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,37330514,error,1564812819,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-04-18 11:54:44.818826,80831.0,253.66057500000002
41414694,fasta,2017-03-20 17:23:35.089772,slurm_normal,,main_w4_handler0,1609768,15345830,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9485101.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28740489}]","[{'src': 'hda', 'id': 28563031}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,36628338,error,747397400,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-03-20 17:24:36.656799,28561.0,61.567027
6323235,fasta,2017-06-22 15:24:59.241279,slurm_normal,,main_w4_handler1,3166425,16165792,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10243136.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 30123446}]","[{'src': 'hda', 'id': 30128841}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,38718813,error,6777894,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-06-22 19:48:41.300364,107526.0,15822.059085
37615295,fasta,2017-03-20 17:23:35.558079,slurm_normal,,main_w3_handler0,1609768,15345831,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9485098.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 28740489}]","[{'src': 'hda', 'id': 28563033}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,36628338,error,747397400,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-03-20 17:24:25.948764,28561.0,50.390685000000005
24783701,fasta,2017-06-12 18:54:32.819404,slurm_normal,,main_w4_handler1,3151395,16084898,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10171482.roundup,slurm,,corral-repl,,"""needleman""",1,history,"[{'src': 'hda', 'id': 30001223}]","[{'src': 'hda', 'id': 30001304}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,0,no,0,8,kmer,,38613992,error,342420011,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_align_seqs/1.20.0,1.20.0,,2017-06-12 18:58:10.240614,107543.0,217.42121
