bait_bed,bait_bed_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.bait_bed,parameters.chromInfo,parameters.dbkey,parameters.input_file,parameters.out_prefix,parameters.target_bed,runner_name,session_id,state,target_bed,target_bed_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
5141399879,bed,2015-02-15 11:46:23.706800,rodeo_normal,,main_w2_handler1,2122923,8729161,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2932,sam,2765354.roundup,slurm,,corral-repl,,18517271,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18499429,"""Picard HS Metrics""",18517271,,21266242,error,5141399879,bed,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardHsMetrics/1.56.0,1.56.0,,2015-02-15 11:47:14.508060,41856,50.801260000000006
55692188026,bed,2015-09-13 10:55:47.014573,slurm_normal,,main_w1_handler0,2210340,10309989,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1572374257,bam,4594672.roundup,slurm,,corral-repl,,21003479,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21064080,"""Picard HS Metrics""",21003479,,25154555,error,55692188026,bed,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardHsMetrics/1.56.0,1.56.0,,2015-09-13 10:56:37.262292,59804,50.247719000000004
