create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,lib_file,lib_file_filetype,library_folder_id,map_file,map_file_filetype,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.lib_file,parameters.lib_file.values,parameters.map_file,parameters.map_file.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-09-30 16:15:52.795658,slurm_normal,,main_w1_handler2,2444622,10471957,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4748038.roundup,slurm,3157608038,fasta,,482354863,bam,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21335378,,21340901,,,24452114,error,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/get_read_pipeline/1.0,1.0,,2015-09-30 16:21:02.575269,22983,309.77961100000005
2016-05-26 03:41:33.490189,slurm_normal,,main_w1_handler1,2119276,12989159,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7175083.roundup,slurm,121182577,fasta,,3001780644,bam,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b6412e64277bbfc3'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b582efed31ce9590e9'}]",,30434297,error,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/get_read_pipeline/1.0,1.0,,2016-05-26 03:45:23.757502,40792,230.267313
2016-05-26 03:07:08.337241,slurm_normal,,main_w1_handler0,2119276,12989107,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7175018.roundup,slurm,121182577,fasta,,3001780644,bam,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b6412e64277bbfc3'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b582efed31ce9590e9'}]",,30434297,error,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/get_read_pipeline/1.0,1.0,,2016-05-26 03:15:12.379088,40792,484.041847
2016-11-12 15:36:41.242653,slurm_normal,,main_w4_handler1,2788638,14324765,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8532556.roundup,slurm,1985769264,fasta,,1155439372,bam,corral-repl,,"""/galaxy-repl/localdata/chrom/arabidopsis.len""","""arabidopsis""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5695b1bc76c24a3c9'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b549c5346ca1862380'}]",,34058220,error,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/get_read_pipeline/1.0,1.0,,2016-11-12 16:07:38.166077,42102,1856.923424
2016-06-01 01:22:20.642206,slurm_normal,,main_w1_handler0,2119276,13035729,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7215118.roundup,slurm,121182577,fasta,,3001780644,bam,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b6412e64277bbfc3'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b582efed31ce9590e9'}]",,30434297,error,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/get_read_pipeline/1.0,1.0,,2016-06-01 01:27:01.611509,40792,280.969303
2016-11-13 01:44:06.489815,slurm_normal,,main_w3_handler0,2788638,14326955,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8534407.roundup,slurm,1985769264,fasta,,1155582301,bam,corral-repl,,"""/galaxy-repl/localdata/chrom/arabidopsis.len""","""arabidopsis""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5695b1bc76c24a3c9'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c2913e4f3c65e477'}]",,34058220,error,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/get_read_pipeline/1.0,1.0,,2016-11-13 02:04:24.801048,42102,1218.3112330000001
2015-09-30 14:58:10.654979,slurm_normal,,main_w1_handler2,2444622,10470737,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4746936.roundup,slurm,3157608038,fasta,,482354863,bam,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21335378,,21340901,,,24452114,error,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/get_read_pipeline/1.0,1.0,,2015-09-30 15:03:39.133201,22983,328.478222
2016-11-12 15:37:15.961696,slurm_normal,,main_w4_handler0,2788638,14324770,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8532557.roundup,slurm,1641289917,fasta,,1155439372,bam,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c4fe8e9275228406'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b549c5346ca1862380'}]",,34058220,error,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/get_read_pipeline/1.0,1.0,,2016-11-12 16:06:22.898132,42102,1746.9364360000002
2015-10-03 22:30:33.826667,slurm_normal,,main_w2_handler0,2444622,10496959,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4772793.roundup,slurm,3157608038,fasta,,482354863,bam,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21335378,,21340901,,,24452114,error,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/get_read_pipeline/1.0,1.0,,2015-10-03 22:35:13.281816,22983,279.455149
2017-07-24 15:25:54.997291,slurm_normal,,main_w4_handler0,3200484,16405849,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10470605.roundup,slurm,867388653,fasta,,10243410069,bam,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30582205}]",,"[{'src': 'hda', 'id': 30583733}]",,39465083,error,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/get_read_pipeline/1.0,1.0,,2017-07-24 15:35:05.827796,109301,550.830505
