create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.outgroup,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-12-14 21:01:32.652190,slurm_normal,,main_w1_handler1,1439812,11178602,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",690242016,maf,5446560.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/012/565/dataset_12565569.dat""","""mell""",21936136,"""mrap""",,26183676,error,toolshed.g2.bx.psu.edu/repos/devteam/indels_3way/indels_3way/1.0.3,1.0.3,,2015-12-14 21:15:50.707374,34613,858.055184
2015-12-30 00:36:09.173197,slurm_normal,,main_w1_handler2,1439812,11347224,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",690242016,maf,5620786.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/012/552/dataset_12552653.dat""","""mrap""",21936123,"""mrap""",,27058920,error,toolshed.g2.bx.psu.edu/repos/devteam/indels_3way/indels_3way/1.0.3,1.0.3,,2015-12-30 00:48:45.343233,34613,756.1700360000001
