create_time,destination_id,exit_code,forward_input,forward_input_filetype,handler,history_id,id,imported,info,input_sequences,input_sequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.chromInfo,parameters.dbkey,parameters.input_sequences|__identifier__,parameters.kraken_database,parameters.only_classified_output,parameters.quick_operation.__current_case__,parameters.quick_operation.min_hits,parameters.quick_operation.quick,parameters.single_paired.__current_case__,parameters.single_paired.check_names,parameters.single_paired.forward_input.values,parameters.single_paired.input_sequences.values,parameters.single_paired.reverse_input.values,parameters.single_paired.single_paired_selector,parameters.split_reads,reverse_input,reverse_input_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-07-28 22:44:53.776332,slurm_multi,,,,main_w3_handler2,3205807,16453523,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1634149564.0,fastqsanger,10521340,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,2,,,"[{'src': 'hda', 'id': 30666670}]",,no,"""false""",,,,39408830,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-07-29 06:13:51.976966,5254,26938.200634
2017-05-08 23:05:16.643102,slurm_multi,,767120503.0,fastq,main_w4_handler2,1833789,15785219,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,9891415,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 29514796}]",,"[{'src': 'hda', 'id': 29515092}]",yes,"""false""",767120503.0,fastq,,37830889,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-05-09 03:12:55.791842,46250,14859.14874
2017-03-12 08:17:36.402014,slurm_multi,,153871812.0,fastq,main_w4_handler2,3020447,15273128,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,9418475,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 28722607}]",,"[{'src': 'hda', 'id': 28722610}]",yes,"""false""",147982512.0,fastq,,36576111,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-03-12 10:01:06.292411,101458,6209.890397
2017-05-09 00:40:21.407335,slurm_multi,,,,main_w3_handler2,2967199,15785571,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",960000000.0,fastq,9891766,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",0,1,yes,2,,,"[{'src': 'hda', 'id': 29526271}]",,no,"""false""",,,,36713686,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-05-09 04:20:09.670393,98693,13188.263058
2017-02-26 11:01:47.393291,slurm_multi,,345969924.0,fastq,main_w3_handler2,3010401,15146206,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,9298855,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 28518117}]",,"[{'src': 'hda', 'id': 28518140}]",yes,"""true""",351391816.0,fastq,,34626741,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-02-26 12:38:50.538993,50564,5823.145702000001
2017-03-08 04:50:24.339052,slurm_multi,,1493637066.0,fastq,main_w4_handler2,3023103,15238797,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,9386868,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 28671290}]",,"[{'src': 'hda', 'id': 28671325}]",yes,"""false""",1493637066.0,fastq,,36502470,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-03-08 09:58:47.716599,101606,18503.377547
2017-01-28 04:37:40.372547,slurm_normal,,,,main_w4_handler1,2928515,14896294,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3787900236.0,fastq,9055192.roundup,slurm,,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,2,,,"[{'src': 'hda', 'id': 27616438}]",,no,"""false""",,,,35645398,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-01-28 13:01:02.258558,96811,30201.886011000002
2017-04-17 11:15:59.235867,slurm_multi,,,,main_w3_handler2,3020521,15604434,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",832765347.0,fasta,9724567,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",0,2,yes,2,,,"[{'src': 'hda', 'id': 29165110}]",,no,"""false""",,,,37373528,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-04-17 14:50:46.079820,101447,12886.843953000001
2017-05-08 15:00:29.748510,slurm_multi,,,,main_w4_handler2,2967199,15780590,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3356340964.0,fastq,9886830,slurm,,corral-repl,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",0,1,yes,2,,,"[{'src': 'hda', 'id': 29517991}]",,no,"""false""",,,,36713686,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-05-08 17:28:02.885441,98693,8853.136931000001
2017-01-28 17:03:18.436917,slurm_normal,,96516204.0,fastq,main_w4_handler0,2972732,14897845,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,9056707.roundup,slurm,,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 28127059}]",,"[{'src': 'hda', 'id': 28127069}]",yes,"""true""",96516204.0,fastq,,35461478,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.1,1.2.1,,2017-01-28 23:14:11.197048,98345,22252.760131000003
