bed_infile,bed_infile_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.bed_infile,parameters.bed_infile.values,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.infile,parameters.infile.values,parameters.winsize,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2719814542,bed,2016-04-28 09:18:59.149505,slurm_normal,,main_w2_handler0,2673643,12664875,False,2019995887,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6867100.roundup,slurm,,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b596315563cdce642e'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52b969bc3a3359ccd'}]","""200""",,29681263,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20140616.0,2.1.0.20140616.0,,2016-04-28 09:51:05.400163,82007,1926.2506580000002
566649460,bed,2016-01-07 13:33:59.047864,slurm_normal,,main_w2_handler0,2557625,11405387,False,884973009,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5672057.roundup,slurm,,corral-repl,,22775851,,"""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""?""",22773715,,"""200""",,27259316,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-07 20:49:41.766506,50791,26142.718642
