bamFile1,bamFile1_filetype,bamFile2,bamFile2_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.ignoreForNormalization,parameters.advancedOpt.maxFragmentLength,parameters.advancedOpt.minFragmentLength,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.advancedOpt.smoothLength,parameters.bamFile1.values,parameters.bamFile2.values,parameters.binSize,parameters.chromInfo,parameters.comparison.__current_case__,parameters.comparison.normalization.__current_case__,parameters.comparison.normalization.type,parameters.comparison.pseudocount,parameters.comparison.type,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.method,parameters.scaling.scaleFactor1,parameters.scaling.scaleFactor2,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
8042904,bam,1984483,bam,122800105.0,122800105.0,bed,bed,2017-03-11 18:56:19.687148,slurm_multi,,main_w3_handler2,3018561,15270880,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9416459,slurm,,corral-repl,,0,no,1,"[{'src': 'hda', 'id': 28719529}]",false,0.0,no,true,,0,0,1,,,yes,false,,"[{'src': 'hda', 'id': 28703822}]","[{'src': 'hda', 'id': 28703993}]","""50""","""/galaxy-repl/localdata/chrom/mm10.len""",6,1.0,no,,subtract,"""mm10""","""bedgraph""","""""",2,own,10.0,1.0,,35515428,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.3.6.0,2.3.6.0,,2017-03-11 19:06:29.596454,98128,609.909306
2856069346,bam,2588984225,bam,,,,,2017-01-18 11:38:45.891144,slurm_multi,,main_w4_handler2,2955684,14797994,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8960778,slurm,,corral-repl,,0,no,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 27958085}]","[{'src': 'hda', 'id': 27958086}]","""50""","""/galaxy-repl/localdata/chrom/hg19.len""",0,,,1.0,log2,"""hg19""","""bigwig""","""""",1,readCount,,,,35404619,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.3.6.0,2.3.6.0,,2017-01-18 11:45:27.596331,54621,401.705187
