bamfile,bamfile_filetype,create_time,destination_id,exit_code,flattened_gtf_in,flattened_gtf_in_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.bamfile.values,parameters.mode.flattened_gtf_in.values,parameters.mode.mode_select,parameters.mode.order,parameters.mode.paired,parameters.mode.qual,parameters.mode.stranded,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
5593290191,bam,2018-02-03 12:06:51.426507,slurm_normal,,1374475,gtf,main_w4_handler0,3414581,18246026,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12327118,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,"[{'src': 'hda', 'id': 33636217}]","[{'src': 'hda', 'id': 33635283}]",count,pos,true,10,yes,,43658209,error,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2018-02-03 12:31:04.020181,112333,1452.5936740000002
6175149307,bam,2018-01-31 20:56:19.084110,slurm_normal,,1276993,gff3,main_w3_handler0,3412008,18217009,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12297242,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,"[{'src': 'hda', 'id': 33597234}]","[{'src': 'hda', 'id': 33591926}]",count,pos,true,10,no,,43588200,error,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.20.1,1.20.1,,2018-01-31 21:23:46.898712,121031,1647.8146020000001
