corData,corData_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.corData.values,parameters.dbkey,parameters.outFileFormat,parameters.outFileNameData,parameters.plotTitle,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
452312671,deeptools_coverage_matrix,2017-01-30 04:30:23.807171,slurm_normal,,main_w3_handler0,2961824,14901821,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9058104.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28131021}]","""hg19""","""png""","""false""","""100 bp BIN""",,35462994,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-30 04:33:22.734553,50986,178.92738200000002
452312671,deeptools_coverage_matrix,2017-01-30 05:03:37.051428,slurm_normal,,main_w3_handler1,2961824,14901913,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9058190.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28131021}]","""hg19""","""png""","""false""","""100 bp BIN""",,35462994,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-30 05:05:49.010176,50986,131.958748
452312671,deeptools_coverage_matrix,2017-01-30 04:23:30.313543,slurm_normal,,main_w4_handler0,2961824,14901803,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9058087.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28131021}]","""hg19""","""png""","""false""","""""",,35462994,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-30 04:26:11.184298,50986,160.870755
1847608,deeptools_coverage_matrix,2017-01-19 11:55:23.571739,slurm_normal,,main_w3_handler0,1578492,14816661,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8975997.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 27995444}]","""?""","""png""","""false""","""""",,35262967,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-19 11:58:49.386212,30453,205.81447300000002
53960777,deeptools_coverage_matrix,2017-02-27 18:06:31.874299,slurm_normal,,main_w4_handler1,3012003,15156963,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9308735.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28536009}]","""hg19""","""png""","""false""","""""",,36304356,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-02-27 18:10:11.196009,42925,219.32171000000002
620303269,deeptools_coverage_matrix,2016-11-13 16:00:19.646936,slurm_normal,,main_w3_handler1,2811244,14329705,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8536672.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c517dfa3cfe04c88'}]","""hg19""","""png""","""false""","""""",,32783491,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2016-11-13 16:03:34.190240,60415,194.543304
1420066,deeptools_coverage_matrix,2017-01-10 18:42:47.592540,slurm_normal,,main_w4_handler1,1578492,14733526,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8896383.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 27866882}]","""?""","""png""","""false""","""""",,35288517,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-10 19:12:16.293247,30453,1768.7007070000002
705352015,deeptools_coverage_matrix,2017-01-30 17:01:15.619683,slurm_normal,,main_w4_handler1,2961824,14906712,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9062769.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28132979}]","""hg19""","""png""","""false""","""100 bp BIN""",,35462994,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-30 17:10:31.124256,50986,555.504573
452312671,deeptools_coverage_matrix,2017-01-30 04:37:24.104326,slurm_normal,,main_w3_handler0,2961824,14901847,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9058125.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28131021}]","""hg19""","""png""","""false""","""100 bp BIN""",,35462994,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-30 04:39:50.971994,50986,146.867668
452312671,deeptools_coverage_matrix,2017-01-30 04:49:25.788089,slurm_normal,,main_w3_handler0,2961824,14901866,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9058152.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 28131021}]","""hg19""","""png""","""false""","""100 bp BIN""",,35462994,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.6.0,2.3.6.0,,2017-01-30 04:51:39.921327,50986,134.133238
