create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.report,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-10-10 11:06:50.626846,slurm_normal,,main_w2_handler1,2462073,10540293,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2732407297,vcf,4814253.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21464948,,"""True""",,25605796,error,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2015-10-10 11:25:07.602125,11377,1096.975279
2016-03-31 10:37:42.359715,slurm_normal,,main_w1_handler0,2625426,12297337,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14333440556,vcf,6505144.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/014/738/dataset_14738919.dat""","""Ppolytes_v1""",24078226,,"""True""",,28873420,error,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2016-03-31 10:54:17.762042,80064,995.402327
2015-08-11 22:09:58.389974,slurm_normal,,main_w1_handler1,2210340,10095986,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3995540738,interval,4370967.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",20741356,,"""True""",,24610722,error,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2015-08-11 22:27:14.912938,59804,1036.522964
2017-12-21 03:20:49.219073,slurm_normal,,main_w3_handler0,3355979,17866338,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12962266834,vcf,11938471,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33028975}]","""true""",,41254459,error,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2017-12-21 03:55:53.929318,87394,2104.710245
2016-10-11 09:58:11.787423,slurm_normal,,main_w3_handler0,2846520,14052475,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8028693978,sam,8270128.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f8dd16067df9cea3'}]","""true""",,33492556,error,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2016-10-11 10:19:35.371613,90340,1283.58419
2015-08-09 02:31:06.793119,slurm_normal,,main_w1_handler2,2210340,10084921,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5161232083,tabular,4361758.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",20722944,,"""True""",,24592123,error,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2015-08-09 02:44:04.550734,59804,777.7576150000001
2016-10-19 20:48:48.279638,slurm_normal,,main_w4_handler0,2196193,14122909,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",60384955136,vcf,8337286.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b92d59559b64b931'}]","""true""",,33810600,error,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2016-10-19 21:03:46.896865,37892,898.6172270000001
2015-01-21 15:41:14.468536,rodeo_normal,,main_w2_handler0,2176172,8579861,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2653437031,pileup,2523532.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18258059,,"""True""",,20424153,error,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2015-01-21 15:50:47.768834,17286,573.300298
2015-10-10 14:55:10.195634,slurm_normal,,main_w2_handler0,2466865,10540939,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2732407297,vcf,4814877.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21466074,,"""True""",,25607855,error,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2015-10-10 15:12:21.706789,11377,1031.5111550000001
2015-08-07 01:09:36.632224,slurm_normal,,main_w2_handler0,2210340,10076093,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",16894224587,vcf,4353717.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",20702791,,"""True""",,24560531,error,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2015-08-07 01:28:52.619733,59804,1155.987509
2016-11-07 23:59:09.525328,slurm_normal,,main_w3_handler1,2196193,14278591,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3870977594,bedgraph,8487345.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532fd8a846c6c5347'}]","""true""",,34131620,error,toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0,1.0,,2016-11-08 01:41:54.345513,37892,6164.8201850000005
