create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.genes,parameters.input,parameters.input.values,parameters.region,parameters.type,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-03-04 13:51:58.062473,slurm_normal,,main_w2_handler1,1994270,12020234,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12462526156,bed,6249466.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""1""",23627390,,"""0""","""ENTREZGENE_ACC""",,28734093,error,hgv_linkToGProfile,1.0.0,,2016-03-04 13:57:50.083722,51544,352.021249
2018-01-26 18:26:21.198268,slurm_normal,,main_w3_handler1,3189308,18169419,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12195326069,zip,12250463,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""1""",,"[{'src': 'hda', 'id': 33488260}]","""0""","""ENTREZGENE_ACC""",,43121579,error,hgv_linkToGProfile,1.0.0,,2018-01-26 18:28:35.776265,108846,134.577997
2016-04-25 01:14:56.244678,slurm_normal,,main_w1_handler2,2627863,12595540,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12879616952,bam,6797971.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/venter1.len""","""venter1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b520497f786d7923b6'}]","""0""","""ENTREZGENE_ACC""",,28903910,error,hgv_linkToGProfile,1.0.0,,2016-04-25 01:20:10.547886,80245,314.30320800000004
2016-02-12 19:46:42.449869,slurm_normal,,main_w1_handler0,2473058,11813451,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",18091506558,sam,6061521.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",23247177,,"""0""","""ENTREZGENE_ACC""",,28131246,error,hgv_linkToGProfile,1.0.0,,2016-02-12 20:04:08.400744,60634,1045.950875
2017-08-31 01:29:58.318317,slurm_normal,,main_w3_handler1,3236967,16699623,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11781203592,sam,10772099.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",,"[{'src': 'hda', 'id': 31038689}]","""0""","""ENTREZGENE_ACC""",,39994306,error,hgv_linkToGProfile,1.0.0,,2017-08-31 01:36:11.320064,110233,373.001747
2016-03-03 01:03:18.809588,slurm_normal,,main_w1_handler1,1994270,12001461,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12462526156,bed,6230486.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""1""",23627390,,"""0""","""ENTREZGENE_ACC""",,28734093,error,hgv_linkToGProfile,1.0.0,,2016-03-03 01:08:41.014028,51544,322.20444000000003
