create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index,parameters.bias_correction.seq_source.index_source,parameters.chromInfo,parameters.dbkey,parameters.do_normalization,parameters.effective_length_correction,parameters.input,parameters.max_intron_len,parameters.min_isoform_fraction,parameters.multiread_correct,parameters.pre_mrna_fraction,parameters.reference_annotation.__current_case__,parameters.reference_annotation.reference_annotation_file,parameters.reference_annotation.reference_annotation_guide_file,parameters.reference_annotation.use_ref,reference_annotation_file,reference_annotation_file_filetype,reference_annotation_guide_file,reference_annotation_guide_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-01-11 16:43:39.774104,roundup_multi,,main_w2_handler2,2166469,8528797,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1803249801,bam,2451956,slurm,,corral-repl,,,,,1,No,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",18178268,"""300000""","""0.1""","""Yes""","""0.15""",1,18179720.0,,Use reference annotation,326780685.0,gtf,,,,20438069.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-11 17:15:14.378135,57844,1894.604031
2014-12-23 08:46:39.949592,roundup_multi,,main_w2_handler2,2156822,8459668,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19560,bam,2366885,slurm,,corral-repl,,0.0,no,"""174719ce8a8011e4a1a9005056a51846""",1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18052500,"""300000""","""0.1""","""No""","""0.15""",1,18052169.0,,Use reference annotation,3706949704.0,gtf,,,,20020471.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-23 09:42:47.533943,45616,3367.5843510000004
2014-12-28 17:27:30.186887,roundup_multi,,main_w2_handler2,2159391,8474174,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",653994592,bam,2389908,slurm,,corral-repl,,0.0,no,"""758523d48eb611e49b9b005056a52a46""",1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18083371,"""300000""","""0.1""","""No""","""0.15""",2,,18078762.0,Use reference annotation guide,,,52437654.0,gtf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-30 10:03:41.930379,54195,146171.743492
2014-12-30 10:47:22.968563,roundup_multi,,main_w2_handler2,2160844,8478889,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",470524522,bam,2398201,slurm,,corral-repl,,0.0,no,"""ce163230901011e49a30005056a52a46""",1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18095029,"""300000""","""0.1""","""No""","""0.15""",2,,18094797.0,Use reference annotation guide,,,52437654.0,gtf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-01 10:39:05.004081,54195,172302.03551800002
2014-12-30 10:47:55.398219,roundup_multi,,main_w2_handler2,2160844,8478897,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",210770397,bam,2401740,slurm,,corral-repl,,0.0,no,"""ce163230901011e49a30005056a52a46""",1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18095045,"""300000""","""0.1""","""No""","""0.15""",2,,18094797.0,Use reference annotation guide,,,52437654.0,gtf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-02 04:01:56.188331,54195,234840.79011200002
2015-01-11 16:43:34.643687,roundup_multi,,main_w2_handler2,2166469,8528794,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2676947618,bam,2451908,slurm,,corral-repl,,,,,1,No,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",18178223,"""300000""","""0.1""","""Yes""","""0.15""",1,18179720.0,,Use reference annotation,326780685.0,gtf,,,,20438069.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-11 16:53:10.733387,57844,576.0897
2015-01-11 16:43:36.198296,roundup_multi,,main_w2_handler2,2166469,8528795,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2869296311,bam,2451909,slurm,,corral-repl,,,,,1,No,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""No""","""""",18178263,"""300000""","""0.1""","""Yes""","""0.15""",1,18179720.0,,Use reference annotation,326780685.0,gtf,,,,20438069.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-11 16:54:27.906852,57844,651.708556
2014-12-30 11:41:01.695611,roundup_multi,,main_w2_handler2,2156822,8479132,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",158330,bam,2390494,slurm,,corral-repl,,0.0,no,"""901ab20a901811e4957b005056a51846""",1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18096618,"""300000""","""0.1""","""No""","""0.15""",1,18052169.0,,Use reference annotation,3706949704.0,gtf,,,,20020471.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-30 12:51:44.245814,45616,4242.550203000001
2014-12-30 10:47:51.230466,roundup_multi,,main_w2_handler2,2160844,8478896,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",343533498,bam,2400752,slurm,,corral-repl,,0.0,no,"""ce163230901011e49a30005056a52a46""",1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18095041,"""300000""","""0.1""","""No""","""0.15""",2,,18094797.0,Use reference annotation guide,,,52437654.0,gtf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-02 08:27:59.342171,54195,250808.11170500002
2015-02-20 14:19:20.792577,roundup_multi,,main_w2_handler2,2192694,8776254,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",803546707,bam,2849576,slurm,,corral-repl,,,,,1,No,,,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""","""No""","""""",18585411,"""300000""","""0.1""","""No""","""0.15""",1,18525723.0,,Use reference annotation,432840123.0,gtf,,,,21241052.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-02-20 15:15:03.301673,59072,3342.509096
2014-12-30 11:41:06.268573,roundup_multi,,main_w2_handler2,2156822,8479134,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",158329,bam,2390518,slurm,,corral-repl,,0.0,no,"""901ab20a901811e4957b005056a51846""",1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18096624,"""300000""","""0.1""","""No""","""0.15""",1,18052169.0,,Use reference annotation,3706949704.0,gtf,,,,20020471.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-30 13:00:07.104787,45616,4740.836214
2014-12-30 10:47:29.276288,roundup_multi,,main_w2_handler2,2160844,8478890,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",692944169,bam,2398269,slurm,,corral-repl,,0.0,no,"""ce163230901011e49a30005056a52a46""",1,No,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",18095031,"""300000""","""0.1""","""No""","""0.15""",2,,18094797.0,Use reference annotation guide,,,52437654.0,gtf,,,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-01-01 23:22:18.964660,54195,218089.688372
2014-12-30 11:40:59.602066,roundup_multi,,main_w2_handler2,2156822,8479131,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",43284,bam,2390487,slurm,,corral-repl,,0.0,no,"""901ab20a901811e4957b005056a51846""",1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""No""","""""",18096616,"""300000""","""0.1""","""No""","""0.15""",1,18052169.0,,Use reference annotation,3706949704.0,gtf,,,,20020471.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-12-30 12:52:59.766161,45616,4320.164095
