chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_1,input_1_filetype,input_2,input_2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,own_file,own_file_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.analysis_type.__current_case__,parameters.analysis_type.alignment_options.L,parameters.analysis_type.alignment_options.N,parameters.analysis_type.alignment_options.__current_case__,parameters.analysis_type.alignment_options.align_mode.__current_case__,parameters.analysis_type.alignment_options.align_mode.align_mode_selector,parameters.analysis_type.alignment_options.align_mode.score_min_ete,parameters.analysis_type.alignment_options.alignment_options_selector,parameters.analysis_type.alignment_options.dpad,parameters.analysis_type.alignment_options.gbar,parameters.analysis_type.alignment_options.i,parameters.analysis_type.alignment_options.ignore_quals,parameters.analysis_type.alignment_options.n_ceil,parameters.analysis_type.alignment_options.no_1mm_upfront,parameters.analysis_type.alignment_options.nofw,parameters.analysis_type.alignment_options.norc,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.effort_options.D,parameters.analysis_type.effort_options.R,parameters.analysis_type.effort_options.__current_case__,parameters.analysis_type.effort_options.effort_options_selector,parameters.analysis_type.input_options.__current_case__,parameters.analysis_type.input_options.input_options_selector,parameters.analysis_type.other_options.__current_case__,parameters.analysis_type.other_options.other_options_selector,parameters.analysis_type.presets,parameters.analysis_type.reporting_options.__current_case__,parameters.analysis_type.reporting_options.k,parameters.analysis_type.reporting_options.reporting_options_selector,parameters.analysis_type.sam_opt,parameters.analysis_type.sam_options.__current_case__,parameters.analysis_type.sam_options.sam_options_selector,parameters.analysis_type.scoring_options.__current_case__,parameters.analysis_type.scoring_options.ma,parameters.analysis_type.scoring_options.mp,parameters.analysis_type.scoring_options.np,parameters.analysis_type.scoring_options.rdg_read_extend,parameters.analysis_type.scoring_options.rdg_read_open,parameters.analysis_type.scoring_options.rfg_ref_extend,parameters.analysis_type.scoring_options.rfg_ref_open,parameters.analysis_type.scoring_options.scoring_options_selector,parameters.chromInfo,parameters.dbkey,parameters.library.__current_case__,parameters.library.aligned_file,parameters.library.input_1.values,parameters.library.input_2.values,parameters.library.paired_options.I,parameters.library.paired_options.X,parameters.library.paired_options.__current_case__,parameters.library.paired_options.dovetail,parameters.library.paired_options.fr_rf_ff,parameters.library.paired_options.no_contain,parameters.library.paired_options.no_discordant,parameters.library.paired_options.no_mixed,parameters.library.paired_options.no_overlap,parameters.library.paired_options.paired_options_selector,parameters.library.type,parameters.library.unaligned_file,parameters.reference_genome.__current_case__,parameters.reference_genome.index,parameters.reference_genome.own_file.values,parameters.reference_genome.source,parameters.rg.__current_case__,parameters.rg.rg_selector,parameters.save_mapping_stats,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-28 01:30:36.419181,slurm_multi_dynamic_walltime,,main_w4_handler2,3172671,16206526,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",27070793,fastqsanger,,,10282909,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,false,"[{'src': 'hda', 'id': 30171485}]",,,,,,,,,,,,single,false,0,hg38,,indexed,3,do_not_set,"""true""",,38931722,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2017-06-28 01:32:19.220794,108203,102.801613
,,2016-08-30 20:57:29.341249,slurm_multi_dynamic_walltime,,main_w3_handler2,2234574,13750898,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3827789486,fastqsanger,,,7971487,slurm,,corral-repl,5617978.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e6ef2ec313ec43ba'}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b529e922f3912fef53'}]",history,3,do_not_set,"""false""",,32505745,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-08-30 21:01:13.168445,60779,223.82719600000001
,,2016-07-02 15:31:28.441110,slurm_multi_dynamic_walltime,,main_w1_handler2,2736303,13313645,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3094810,fastqsanger,,,7517316,slurm,,corral-repl,,,,0,no,,1,20,0,0.0,0.0,end-to-end,"L,-0.6,-0.7",yes,15,4,"S,1,0.50",false,"L,0,0.15",false,false,false,full,20,3,0.0,yes,1.0,no,1.0,no,,1.0,10000,k,false,1.0,no,0.0,2,"6,2",1,3,5,3,5,yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b579aeca5e0e6abbf6'}]",,,,,,,,,,,,single,false,0,mm9,,indexed,3,do_not_set,"""false""",,30810736,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-07-03 12:32:08.376148,27915,75639.93503800001
,,2017-07-24 13:42:26.549011,slurm_multi_dynamic_walltime,,main_w3_handler2,3201071,16405002,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1425129533,fastqsanger,,,10469471,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,false,"[{'src': 'hda', 'id': 30588145}]",,,,,,,,,,,,single,false,0,hg19canon,,indexed,3,do_not_set,"""false""",,37775768,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2017-07-24 13:45:08.447067,103036,161.898056
,,2017-07-20 05:08:24.486876,slurm_multi_dynamic_walltime,,main_w4_handler2,3097412,16371357,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",67605704,fastqsanger,,,10436250,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,false,"[{'src': 'hda', 'id': 30533914}]",,,,,,,,,,,,single,false,0,hg19,,indexed,3,do_not_set,"""false""",,39390687,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2017-07-20 05:10:07.516875,105175,103.029999
,,2017-06-28 01:30:37.467626,slurm_multi_dynamic_walltime,,main_w4_handler2,3172671,16206528,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",30593718,fastqsanger,,,10282916,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,false,"[{'src': 'hda', 'id': 30189343}]",,,,,,,,,,,,single,false,0,hg38,,indexed,3,do_not_set,"""true""",,38931722,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2017-06-28 01:31:24.711052,108203,47.243426
13278423.0,len,2016-07-09 00:42:26.799632,slurm_multi_dynamic_walltime,,main_w2_handler2,2755746,13365513,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",150332969,fastqsanger,,,7575503,slurm,,corral-repl,205678655.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,--sensitive-local,,,,,,,,,,,,,,,,"""/galaxy-repl/main/files/016/442/dataset_16442726.dat""","""?""",0,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5deb64718a36a18d1'}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5490b7a01c8f08d88'}]",history,2,set_id_auto,"""true""",,31234577,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-07-09 00:50:40.358662,86876,493.55903
,,2017-03-28 15:01:52.026486,slurm_multi_dynamic_walltime,,main_w4_handler2,2973498,15415198,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",466923270,fastqsanger,,,9546820,slurm,,corral-repl,171196.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,true,"[{'src': 'hda', 'id': 28953815}]",,,,,,,,,,,,single,true,1,,"[{'src': 'hda', 'id': 28951554}]",history,3,do_not_set,"""false""",,36926736,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2017-03-28 17:18:10.364855,99061,8178.338369
,,2016-07-02 15:08:20.981457,slurm_multi_dynamic_walltime,,main_w2_handler2,2736303,13313509,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3094810,fastqsanger,,,7517089,slurm,,corral-repl,,,,0,no,,1,20,0,0.0,0.0,end-to-end,"L,-0.6,-0.6",yes,15,4,"S,1,0.50",false,"L,0,0.15",false,false,false,full,20,3,0.0,yes,1.0,no,1.0,no,,1.0,10000,k,false,1.0,no,0.0,2,"6,2",1,3,5,3,5,yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b579aeca5e0e6abbf6'}]",,,,,,,,,,,,single,false,0,mm9,,indexed,3,do_not_set,"""false""",,30810736,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-07-03 03:25:55.458812,27915,44254.477355
,,2016-11-04 18:36:41.117827,slurm_multi_dynamic_walltime,,main_w3_handler2,2881483,14255340,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1058518319,fastqsanger,1058518319.0,fastqsanger,8464187,slurm,,corral-repl,,,,0,no,,1,,,1.0,,,,no,,,,,,,,,full,,,1.0,no,1.0,no,1.0,no,,2.0,,a,false,1.0,no,1.0,,,,,,,,no,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,true,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54959473ff12bc9a5'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b6d00790aa51b39f'}]",,,1.0,,,,,,,no,paired,true,0,hg38,,indexed,3,do_not_set,"""true""",,34093919,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2016-11-06 05:05:25.552335,93854,124124.434508
,,2017-02-01 09:17:15.524029,slurm_multi_dynamic_walltime,,main_w4_handler2,2804944,14921124,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",502001260,fastqsanger,,,9076860,slurm,,corral-repl,13724148371.0,fasta,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,false,"[{'src': 'hda', 'id': 28108095}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 28044638}]",history,3,do_not_set,"""true""",,35598654,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2017-02-01 09:32:34.720195,89189,919.1961660000001
,,2017-05-22 07:45:40.115679,slurm_multi_dynamic_walltime,,main_w3_handler2,3111128,15903805,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8468607906,fastqsanger,,,10002349,slurm,,corral-repl,1202111.0,fasta,,1,yes,pulsar_stampede_normal,0,,,,,,,,,,,,,,,,simple,,,,,,,,,--very-sensitive-local,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,true,"[{'src': 'hda', 'id': 29705642}]",,,,,,,,,,,,single,false,1,,"[{'src': 'hda', 'id': 29712437}]",history,3,do_not_set,"""true""",,36940342,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2017-05-22 07:55:00.758684,50184,560.643005
,,2017-06-28 01:30:36.989658,slurm_multi_dynamic_walltime,,main_w3_handler2,3172671,16206527,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",33238327,fastqsanger,,,10282912,slurm,,corral-repl,,,,0,no,,0,,,,,,,,,,,,,,,,simple,,,,,,,,,no_presets,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,false,"[{'src': 'hda', 'id': 30189342}]",,,,,,,,,,,,single,false,0,hg38,,indexed,3,do_not_set,"""true""",,38931722,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2017-06-28 01:31:04.967297,108203,27.977639000000003
,,2017-05-26 20:50:03.038106,slurm_multi_dynamic_walltime,,main_w4_handler2,3114069,15948806,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3403,fastqsanger,,,10047245,slurm,,corral-repl,24875073845.0,fasta,,0,no,,1,22,1,0.0,0.0,end-to-end,"L,-0.6,-0.6",yes,15,4,"S,1,1.15",false,"L,0,0.15",false,false,false,full,,,1.0,no,1.0,no,1.0,no,,1.0,5000,k,false,1.0,no,1.0,,,,,,,,no,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,false,"[{'src': 'hda', 'id': 29775310}]",,,,,,,,,,,,single,true,1,,"[{'src': 'hda', 'id': 29788261}]",history,3,do_not_set,"""true""",,38032177,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.2.6.2,2.2.6.2,,2017-05-26 21:10:21.610388,61604,1218.572282
