create_time,destination_id,exit_code,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.effective_genome_size_options.__current_case__,parameters.effective_genome_size_options.effective_genome_size_options_selector,parameters.effective_genome_size_options.gsize,parameters.infile.values,parameters.keep_dup_options.__current_case__,parameters.keep_dup_options.keep_dup_options_selector,parameters.pvalue,parameters.tsize,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-05-03 02:42:42.803293,slurm_normal,,main_w4_handler0,1987500,15731326,False,1126781923,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9841794.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,2451960000,,"[{'src': 'hda', 'id': 29271309}]",1,1,"""1e-5""","""""",,37719191,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-05-03 02:43:30.320911,42527,47.517618000000006
2018-02-22 21:20:15.441216,slurm_normal,,main_w3_handler0,2416507,18489293,False,396206664,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12584572,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",5,user_defined,2000000000,"[{'src': 'hda', 'id': 34021263}]",1,1,"""1e-5""","""""",,43483425,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2018-02-22 21:21:40.113386,68106,84.67217000000001
2017-08-04 19:33:24.764835,slurm_normal,,main_w3_handler1,3189088,16506992,False,413463632,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10576929.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",5,user_defined,3150000000,"[{'src': 'hda', 'id': 30388732}]",1,1,"""1e-5""","""150""",,39210920,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-08-04 19:34:48.932724,17286,84.167889
2017-12-07 05:42:50.263685,slurm_normal,,main_w4_handler0,2949679,17729263,False,3444032943,bed,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11795651,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",5,user_defined,2452200000,"[{'src': 'hda', 'id': 32785293}]",1,1,"""1e-5""","""-1""",,42060945,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-12-07 05:43:33.380215,97753,43.116530000000004
2017-08-04 19:33:24.630524,slurm_normal,,main_w4_handler0,3189088,16506991,False,278742724,bam,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10576934.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",5,user_defined,3150000000,"[{'src': 'hda', 'id': 30388723}]",1,1,"""1e-5""","""150""",,39210920,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.1.20160309.0,2.1.1.20160309.0,,2017-08-04 19:35:40.236371,17286,135.605847
