create_time,destination_id,exit_code,geneMap,geneMap_filetype,handler,history_id,id,imported,info,input_mate1,input_mate1_filetype,input_mate2,input_mate2_filetype,input_singles,input_singles_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.adv.biasSpeedSamp,parameters.adv.consistentHits,parameters.adv.coverage,parameters.adv.dumpEq,parameters.adv.extraSensitive,parameters.adv.fldMax,parameters.adv.fldMean,parameters.adv.fldSD,parameters.adv.forgettingFactor,parameters.adv.gcSizeSamp,parameters.adv.incompatPrior,parameters.adv.initUniform,parameters.adv.maxOcc,parameters.adv.maxReadOcc,parameters.adv.minLen,parameters.adv.noBiasLengthThreshold,parameters.adv.noEffectiveLengthCorrection,parameters.adv.noFragLengthDist,parameters.adv.numAuxModelSamples,parameters.adv.numBiasSamples,parameters.adv.numBootstraps,parameters.adv.numGibbsSamples,parameters.adv.numPreAuxModelSamples,parameters.adv.perTranscriptPrior,parameters.adv.sensitive,parameters.adv.splitSpanningSeeds,parameters.adv.splitWidth,parameters.adv.strictIntersect,parameters.adv.useVBOpt,parameters.adv.vbPrior,parameters.adv.writeMappings,parameters.adv.writeUnmappedNames,parameters.chromInfo,parameters.dbkey,parameters.gcBias,parameters.geneMap.values,parameters.input_mate1|__identifier__,parameters.input_mate2|__identifier__,parameters.perfectHash,parameters.quasi_orphans.__current_case__,parameters.quasi_orphans.allowOrphans,parameters.quasi_orphans.type,parameters.refTranscriptSource.TranscriptSource,parameters.refTranscriptSource.__current_case__,parameters.refTranscriptSource.kmerLen,parameters.refTranscriptSource.ownFile.values,parameters.sasamp,parameters.seqBias,parameters.single_or_paired.__current_case__,parameters.single_or_paired.input_mate1.values,parameters.single_or_paired.input_mate2.values,parameters.single_or_paired.input_singles.values,parameters.single_or_paired.orientation,parameters.single_or_paired.single_or_paired_opts,parameters.single_or_paired.strandedness,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-02-27 19:53:01.406344,slurm_normal,,154156354.0,gtf,main_w4_handler1,2991003,15158410,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",173473917.0,fastqsanger,173611995.0,fastqsanger,,,9310133.roundup,slurm,,corral-repl,3274611272,fasta,,1,false,0.7,false,false,300,200,80,0.65,3,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,true,true,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""","[{'src': 'hda', 'id': 28450861}]",,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 28537986}]","""1""","""false""",1,"[{'src': 'hda', 'id': 28406145}]","[{'src': 'hda', 'id': 28406146}]",,I,paired,U,,35958793,error,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-02-27 19:55:37.615079,1213,156.20873500000002
2017-03-11 21:51:03.289891,slurm_normal,,1491423317.0,tabular,main_w4_handler1,3019604,15271394,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,985338416.0,fastqsanger,9416898.roundup,slurm,,corral-repl,559803495,fasta,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 28665883}]",,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 28665678}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 28668456}]",,single,U,,36490062,error,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-03-11 21:56:39.329075,101419,336.03918400000003
2017-03-08 14:00:50.240078,slurm_normal,,554176748.0,gff,main_w3_handler0,2950872,15243198,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6334285951.0,fastqsanger,6334285951.0,fastqsanger,,,9390367.roundup,slurm,,corral-repl,187843041,fasta,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 28090096}]","""FASTQsanger_7S2""","""FASTQsanger_7S2""","""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 28190772}]","""1""","""false""",1,"[{'src': 'hda', 'id': 27919869}]","[{'src': 'hda', 'id': 27919869}]",,I,paired,U,,35275797,error,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-03-08 14:23:29.506588,97818,1359.2665100000002
2017-04-22 22:18:55.221163,slurm_normal,,1175571066.0,gtf,main_w3_handler1,3083063,15652398,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,7389209496.0,fastq,9769302.roundup,slurm,,corral-repl,3234842113,fasta,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 29321574}]",,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29321723}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 29321888}]",,single,U,,37500632,error,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-04-22 22:21:08.425494,92061,133.204331
2017-04-09 15:26:00.326404,slurm_normal,,94926257.0,gtf,main_w3_handler1,3062535,15534559,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3019902031.0,fastqsanger,2911310885.0,fastqsanger,,,9660430.roundup,slurm,,corral-repl,602501611,fasta,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""false""","[{'src': 'hda', 'id': 29133064}]",,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29139826}]","""1""","""false""",1,"[{'src': 'hda', 'id': 29129170}]","[{'src': 'hda', 'id': 29129171}]",,I,paired,U,,37231562,error,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-04-09 15:30:50.932855,85095,290.606451
2017-05-15 18:09:42.232805,slurm_normal,,1530327528.0,gff3,main_w4_handler0,3106301,15841034,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,9622560402.0,fastqsanger,9941844.roundup,slurm,,corral-repl,46906937,fasta,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""","""false""","[{'src': 'hda', 'id': 29583497}]",,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29603764}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 29555572}]",,single,U,,37980692,error,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-05-15 18:25:05.093309,105593,922.8605040000001
2017-04-07 18:31:54.246680,slurm_normal,,1423548205.0,gtf,main_w3_handler1,3060527,15524892,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5173964280.0,fastqsanger,4640320621.0,fastqsanger,,,9651388.roundup,slurm,,corral-repl,314064661,fasta,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 29124805}]",,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29123380}]","""1""","""false""",1,"[{'src': 'hda', 'id': 29090281}]","[{'src': 'hda', 'id': 29090278}]",,I,paired,SF,,37073482,error,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-04-07 18:36:31.394466,94782,277.147786
2017-05-08 18:37:12.467455,slurm_normal,,,,main_w4_handler1,3096404,15783016,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,13491606586.0,fastqsanger,9889375.roundup,slurm,,corral-repl,363713977,fasta,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29521928}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 29461433}]",,single,U,,37298048,error,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-05-08 18:41:34.870165,86668,262.40271
2017-03-09 03:25:22.283228,slurm_normal,,,,main_w3_handler1,2950872,15249490,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5354100860.0,fastqsanger,5354100860.0,fastqsanger,,,9395927.roundup,slurm,,corral-repl,356854453,fasta,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 27906439}]","""1""","""false""",1,"[{'src': 'hda', 'id': 27919856}]","[{'src': 'hda', 'id': 27919857}]",,I,paired,U,,35275797,error,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-03-09 03:31:42.603945,97818,380.320717
2017-03-11 22:02:57.541660,slurm_normal,,,,main_w3_handler0,3019604,15271415,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,985338416.0,fastqsanger,9416923.roundup,slurm,,corral-repl,559803495,fasta,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 28665678}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 28668456}]",,single,U,,36490062,error,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-03-11 22:08:03.041868,101419,305.50020800000004
