create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.boxit,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.wordsize,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-30 09:25:18.588112,slurm_normal,,main_w3_handler1,2874413,14208401,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8449291,fasta,8449291,fasta,8419660.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52bc27b5847b7c61d'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52bc27b5847b7c61d'}]","""4""",,33985470,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2016-10-30 09:28:35.585680,,196.997568
2015-12-01 15:33:16.782748,slurm_normal,,main_w1_handler0,2522541,11053545,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5262427,fasta,5242734,fasta,5308225.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",22222741,,22222743,,"""2""",,26485510,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2015-12-01 15:34:50.039847,74359.0,93.25709900000001
2017-01-25 07:41:11.434721,slurm_normal,,main_w4_handler0,2940492,14863644,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1960650,fasta,1960654,fasta,9023194.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28072838}]",,"[{'src': 'hda', 'id': 28067675}]","""4""",,35556292,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2017-01-25 07:42:32.602983,97420.0,81.168262
2015-12-01 16:47:03.789202,slurm_normal,,main_w2_handler1,2522541,11054178,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5262427,fasta,5242734,fasta,5308780.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",22222741,,22222743,,"""8""",,26485510,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2015-12-01 16:48:49.708445,74359.0,105.91924300000001
2016-10-31 13:37:08.311193,slurm_normal,,main_w4_handler0,2699298,14216227,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",500872,fasta,624385,fasta,8426573.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51c0e5edcd1e2335c'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59727dffbcbe868ae'}]","""4""",,34000135,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2016-10-31 13:38:31.589952,84107.0,83.27875900000001
2017-02-23 10:44:26.997891,slurm_normal,,main_w3_handler1,3007104,15117020,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3865747,fasta,4359919,fasta,9271385.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28477172}]",,"[{'src': 'hda', 'id': 28477173}]","""10000""",,36240839,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2017-02-23 10:45:32.603897,,65.60600600000001
2016-10-30 09:27:49.189225,slurm_normal,,main_w3_handler1,2874413,14208408,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8449291,fasta,8449291,fasta,8419662.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52bc27b5847b7c61d'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52bc27b5847b7c61d'}]","""4""",,33985477,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2016-10-30 09:29:09.555715,48775.0,80.36649
2016-09-17 15:47:31.420547,slurm_normal,,main_w3_handler0,2699327,13871650,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4914267,fasta,281301,fasta,8094962.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5571d843d95669018'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5675cd9360f2fc933'}]","""4""",,33002663,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2016-09-17 15:48:48.224689,84107.0,76.804142
2016-06-17 19:17:38.906900,slurm_normal,,main_w2_handler1,2742394,13195221,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2164602,fasta,2175362,fasta,7379865.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5246396b1ec0783e1'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5030625a7694fb4d7'}]","""4""",,30932183,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2016-06-17 19:20:17.468361,,158.561461
2016-01-20 13:15:32.851763,slurm_normal,,main_w1_handler2,2571969,11559491,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",75876886,fasta,144037706,fasta,5825806.roundup,slurm,,corral-repl,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",22975124,,22975156,,"""4""",,27578214,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2016-01-20 13:16:53.223662,,80.371899
